distance,size,Sample.Label,Region.Label,Effort,Fragmentation
16,1,pc1,sc,2,yes
13,1,pc1,sc,2,yes
0,1,pc1,sc,2,yes
29,1,pc2,sc,2,yes
43,1,pc2,sc,2,yes
10,1,pc3,sc,2,no
35,1,pc3,sc,2,no
35,1,pc3,sc,2,no
30,1,pc3,sc,2,no
28,1,pc3,sc,2,no
31,1,pc3,sc,2,no
21,1,pc3,sc,2,no
19,1,pc3,sc,2,no
21,1,pc4,sc,2,no
37,1,pc4,sc,2,no
52,1,pc4,sc,2,no
19,1,pc4,sc,2,no
48,1,pc4,sc,2,no
42,1,pc5,sc,2,no
7,1,pc5,sc,2,no
40,1,pc5,sc,2,no
5,1,pc6,sc,2,no
5,1,pc6,sc,2,no
5,1,pc6,sc,2,no
7,1,pc6,sc,2,no
19,1,pc6,sc,2,no
12,1,pc6,sc,2,no
9,1,pc6,sc,2,no
21,1,pc7,sc,2,yes
40,1,pc7,sc,2,yes
27,1,pc7,sc,2,yes
14,1,pc7,sc,2,yes
14,1,pc7,sc,2,yes
34,1,pc7,sc,2,yes
21,1,pc7,sc,2,yes
17,1,pc7,sc,2,yes
17,1,pc7,sc,2,yes
17,1,pc7,sc,2,yes
18,1,pc8,sc,2,yes
18,1,pc8,sc,2,yes
28,1,pc8,sc,2,yes
24,1,pc8,sc,2,yes
0,1,pc9,sc,2,yes
0,1,pc9,sc,2,yes
0,1,pc10,sc,2,yes
0,1,pc10,sc,2,yes
15,1,pc11,sc,2,no
21,1,pc11,sc,2,no
15,1,pc11,sc,2,no
28,1,pc11,sc,2,no
0,1,pc12,sc,2,no
0,1,pc12,sc,2,no
31,1,pc13,sc,2,no
12,1,pc13,sc,2,no
34,1,pc13,sc,2,no
7,1,pc14,sc,2,yes
11,1,pc14,sc,2,yes
14,1,pc14,sc,2,yes
9,1,pc14,sc,2,yes
14,1,pc14,sc,2,yes
12,1,pc14,sc,2,yes
12,1,pc15,sc,2,yes
8,1,pc15,sc,2,yes
8,1,pc15,sc,2,yes
13,1,pc15,sc,2,yes
10,1,pc15,sc,2,yes
9,1,pc15,sc,2,yes
29,1,pc16,sc,2,no
37,1,pc16,sc,2,no
30,1,pc16,sc,2,no
0,1,pc17,sc,2,yes
0,1,pc17,sc,2,yes
20,1,pc18,sc,2,no
27,1,pc18,sc,2,no
