Site,Date,Weather,Temperature,Time,Treatment,Plant,Position,Plant_Species,Height_m,herb_leaves,total_leaves,Stress,Total_Herbivory,Herbivory not including 100%,Herbiv.AT,Plot_Classification
1JM1,27-May,sunny,70,10:23,CapBacTreMic,1,Outside,CapBac,0.5,10,10,No,1,0,0,Hetero.diff
1JM1,27-May,sunny,70,10:23,CapBacTreMic,1,Outside,CapBac,0.5,16,19,No,0.294736842,0.106666667,0.106666667,Hetero.diff
1JM1,27-May,sunny,70,10:23,CapBacTreMic,1,Outside,CapBac,0.5,19,21,No,0.733333333,0.066666667,0.066666667,Hetero.diff
1JM1,27-May,sunny,70,10:23,CapBacTreMic,3,Outside,CapBac,0.8,18,18,No,1,0,0,Hetero.diff
1JM1,27-May,sunny,70,10:23,CapBacTreMic,3,Outside,CapBac,0.8,8,16,No,0.5,0,0,Hetero.diff
1JM1,27-May,sunny,70,10:23,CapBacTreMic,3,Outside,CapBac,0.8,12,18,No,0.666666667,0,0,Hetero.diff
1JM1,27-May,sunny,80,13:23,CapBac,1,Outside,CapBac,0.8,22,41,No,0.26097561,0.053125,0.053125,Intra
1JM1,27-May,sunny,80,13:23,CapBac,1,Outside,CapBac,0.8,6,32,No,0.159375,0.003703704,0.003703704,Intra
1JM1,27-May,sunny,80,13:23,CapBac,1,Outside,CapBac,0.8,8,24,No,0.333333333,0,0,Intra
1JM1,27-May,sunny,80,13:23,CapBac,2,Inside,CapBac,0.7,15,15,No,1,0,0,Intra
1JM1,27-May,sunny,80,13:23,CapBac,2,Inside,CapBac,0.7,2,9,No,0.022222222,0.022222222,0.022222222,Intra
1JM1,27-May,sunny,80,13:23,CapBac,2,Inside,CapBac,0.7,15,36,No,0.241666667,0.025,0.025,Intra
1JM1,27-May,sunny,80,13:23,CapBac,3,Inside,CapBac,0.9,14,61,No,0.155737705,0.009615385,0.009615385,Intra
1JM1,27-May,sunny,80,13:23,CapBac,3,Inside,CapBac,0.9,6,49,No,0.067346939,0.006521739,0.006521739,Intra
1JM1,27-May,sunny,80,13:23,CapBac,3,Inside,CapBac,0.9,16,43,No,0.303488372,0.033870968,0.033870968,Intra
1JM1,27-May,sunny,80,13:23,CapBac,4,Inside,CapBac,0.8,8,51,No,0.156862745,0,0,Intra
1JM1,27-May,sunny,80,13:23,CapBac,4,Inside,CapBac,0.8,2,28,No,0.014285714,0.014285714,0.014285714,Intra
1JM1,27-May,sunny,80,13:23,CapBac,4,Inside,CapBac,0.8,10,49,No,0.042857143,0.022916667,0.022916667,Intra
1JM1,27-May,sunny,80,16:04,CapBacCelIgu,1,Outside,CapBac,1.2,12,18,No,0.666666667,0,0,Hetero.diff
