Site,Date,Weather,Temperature,Time,Treatment,Plant,Position,Plant_Species,Height(meters),0(percent herbivory),less10(percent herbivory),10to50(percent herbivory),>greater50(percent herbivory),100(percent herbivory),herb_leaves,total_leaves,Stress,Total_Herbivory,Herbivory_not_including_100,Herbiv.AT,Plot_Classification
1JM1,27-May,sunny,70,10:23,CapBacTreMic,1,Outside,CapBac,0.5,0,0,0,0,10,0,10,No,1,0,0,Hetero.diff
1JM1,27-May,sunny,70,10:23,CapBacTreMic,1,Outside,CapBac,0.5,3,10,2,0,4,12,19,No,0.294736842,0.106666667,0.106666667,Hetero.diff
1JM1,27-May,sunny,70,10:23,CapBacTreMic,1,Outside,CapBac,0.5,2,4,0,0,15,4,21,No,0.733333333,0.066666667,0.066666667,Hetero.diff
1JM1,27-May,sunny,70,10:23,CapBacTreMic,3,Outside,CapBac,0.8,0,0,0,0,18,0,18,No,1,0,0,Hetero.diff
1JM1,27-May,sunny,70,10:23,CapBacTreMic,3,Outside,CapBac,0.8,8,0,0,0,8,0,16,No,0.5,0,0,Hetero.diff
1JM1,27-May,sunny,70,10:23,CapBacTreMic,3,Outside,CapBac,0.8,6,0,0,0,12,0,18,No,0.666666667,0,0,Hetero.diff
1JM1,27-May,sunny,80,13:23,CapBac,1,Outside,CapBac,0.8,19,11,2,0,9,13,41,No,0.26097561,0.053125,0.053125,Intra
1JM1,27-May,sunny,80,13:23,CapBac,1,Outside,CapBac,0.8,26,1,0,0,5,1,32,No,0.159375,0.003703704,0.003703704,Intra
1JM1,27-May,sunny,80,13:23,CapBac,1,Outside,CapBac,0.8,16,0,0,0,8,0,24,No,0.333333333,0,0,Intra
1JM1,27-May,sunny,80,13:23,CapBac,2,Inside,CapBac,0.7,0,0,0,0,15,0,15,No,1,0,0,Intra
1JM1,27-May,sunny,80,13:23,CapBac,2,Inside,CapBac,0.7,7,2,0,0,0,2,9,No,0.022222222,0.022222222,0.022222222,Intra
1JM1,27-May,sunny,80,13:23,CapBac,2,Inside,CapBac,0.7,21,7,0,0,8,7,36,No,0.241666667,0.025,0.025,Intra
1JM1,27-May,sunny,80,13:23,CapBac,3,Inside,CapBac,0.9,47,5,0,0,9,5,61,No,0.155737705,0.009615385,0.009615385,Intra
1JM1,27-May,sunny,80,13:23,CapBac,3,Inside,CapBac,0.9,43,3,0,0,3,3,49,No,0.067346939,0.006521739,0.006521739,Intra
1JM1,27-May,sunny,80,13:23,CapBac,3,Inside,CapBac,0.9,27,3,0,1,12,4,43,No,0.303488372,0.033870968,0.033870968,Intra
1JM1,27-May,sunny,80,13:23,CapBac,4,Inside,CapBac,0.8,43,0,0,0,8,0,51,No,0.156862745,0,0,Intra
1JM1,27-May,sunny,80,13:23,CapBac,4,Inside,CapBac,0.8,26,1,1,0,0,2,28,No,0.014285714,0.014285714,0.014285714,Intra
1JM1,27-May,sunny,80,13:23,CapBac,4,Inside,CapBac,0.8,39,8,1,0,1,9,49,No,0.042857143,0.022916667,0.022916667,Intra
1JM1,27-May,sunny,80,16:04,CapBacCelIgu,1,Outside,CapBac,1.2,6,0,0,0,12,0,18,No,0.666666667,0,0,Hetero.diff
1JM1,27-May,sunny,80,16:04,CapBacCelIgu,1,Outside,CapBac,1.2,4,1,1,0,9,2,15,No,0.626666667,0.066666667,0.066666667,Hetero.diff
1JM1,27-May,sunny,80,16:04,CapBacCelIgu,1,Outside,CapBac,1.2,0,0,0,0,12,0,12,No,1,0,0,Hetero.diff
1JM1,27-May,sunny,80,16:04,CapBacCelIgu,2,Inside,CapBac,0.9,3,0,0,0,13,0,16,No,0.8125,0,0,Hetero.diff
1JM1,27-May,sunny,80,16:04,CapBacCelIgu,2,Inside,CapBac,0.9,14,0,0,1,6,1,21,No,0.321428571,0.05,0.05,Hetero.diff
1JM1,27-May,sunny,80,16:04,CapBacCelIgu,2,Inside,CapBac,0.9,20,1,0,0,0,1,21,No,0.004761905,0.004761905,0.004761905,Hetero.diff
1JM1,31-May,partly cloudy,69,15:10,All,9,Inside,CapBac,0.7,0,0,0,0,15,0,15,Yes,1,0,0,Hetero.All
