Site,Date,Weather,Temperature,Time,Treatment,Plant,Position,Plant_Species,Height(meters),0(percent herbivory),less10(percent herbivory),10to50(percent herbivory),>greater50(percent herbivory),100(percent herbivory),herb_leaves,total_leaves,Stress,Total_Herbivory,Herbivory_not_including_100,Herbiv.AT,Plot_Classification
1JM1,27-May,sunny,70,10:00,CasDecCelIgu,1,Outside,CasDec,0.9,6,0,0,0,10,0,16,Yes,0.625,0,0,Hetero.diff
1JM1,27-May,sunny,70,10:00,CasDecCelIgu,1,Outside,CasDec,0.9,11,0,0,0,8,0,19,Yes,0.421052632,0,0,Hetero.diff
1JM1,27-May,sunny,70,10:00,CasDecCelIgu,1,Outside,CasDec,0.9,14,0,0,0,0,0,14,Yes,0,0,0,Hetero.diff
1JM1,27-May,sunny,70,10:00,CasDecCelIgu,2,Inside,CasDec,0.8,1,0,0,0,15,0,16,Yes,0.9375,0,0,Hetero.diff
1JM1,27-May,sunny,70,10:00,CasDecCelIgu,2,Inside,CasDec,0.8,5,0,0,0,8,0,13,Yes,0.615384615,0,0,Hetero.diff
1JM1,27-May,sunny,70,10:00,CasDecCelIgu,2,Inside,CasDec,0.8,0,0,0,0,9,0,9,Yes,1,0,0,Hetero.diff
1JM1,27-May,sunny,70,10:43,AcnArbCasDec,1,Outside,CasDec,0.6,3,0,0,0,5,0,8,Yes,0.625,0,0,Hetero.diff
1JM1,27-May,sunny,70,10:43,AcnArbCasDec,1,Outside,CasDec,0.6,4,0,0,0,5,0,9,Yes,0.555555556,0,0,Hetero.diff
1JM1,27-May,sunny,70,10:43,AcnArbCasDec,1,Outside,CasDec,0.6,5,1,0,0,3,1,9,Yes,0.344444444,0.016666667,0.016666667,Hetero.diff
1JM1,27-May,sunny,70,10:43,AcnArbCasDec,2,Inside,CasDec,0.7,12,0,0,0,5,0,17,Yes,0.294117647,0,0,Hetero.diff
1JM1,27-May,sunny,70,10:43,AcnArbCasDec,2,Inside,CasDec,0.7,6,0,0,0,7,0,13,Yes,0.538461538,0,0,Hetero.diff
1JM1,27-May,sunny,70,10:43,AcnArbCasDec,2,Inside,CasDec,0.7,5,1,0,0,6,1,12,Yes,0.508333333,0.016666667,0.016666667,Hetero.diff
1JM1,27-May,sunny,76,11:30,CasDecCasSyl,1,Outside,CasDec,0.6,2,0,0,0,10,0,12,Yes,0.833333333,0,0,Hetero.same
1JM1,27-May,sunny,76,11:30,CasDecCasSyl,1,Outside,CasDec,0.6,11,0,0,0,5,0,16,Yes,0.3125,0,0,Hetero.same
1JM1,27-May,sunny,76,11:30,CasDecCasSyl,1,Outside,CasDec,0.6,4,0,0,0,5,0,9,Yes,0.555555556,0,0,Hetero.same
1JM1,27-May,sunny,76,11:30,CasDecCasSyl,2,Inside,CasDec,0.8,4,2,0,0,4,2,10,Yes,0.42,0.033333333,0.033333333,Hetero.same
1JM1,27-May,sunny,76,11:30,CasDecCasSyl,2,Inside,CasDec,0.8,8,0,0,0,5,0,13,Yes,0.384615385,0,0,Hetero.same
1JM1,27-May,sunny,76,11:30,CasDecCasSyl,2,Inside,CasDec,0.8,8,1,0,0,13,1,22,Yes,0.595454545,0.011111111,0.011111111,Hetero.same
1JM1,27-May,sunny,79,12:50,CasDecTreMic,1,Outside,CasDec,0.2,6,1,0,0,1,1,8,Yes,0.1375,0.014285714,0.014285714,Hetero.diff
1JM1,27-May,sunny,79,12:50,CasDecTreMic,1,Outside,CasDec,0.2,7,0,0,0,0,0,7,Yes,0,0,0,Hetero.diff
1JM1,27-May,sunny,79,12:50,CasDecTreMic,1,Outside,CasDec,0.2,6,0,0,0,6,0,12,Yes,0.5,0,0,Hetero.diff
1JM1,27-May,sunny,79,12:50,CasDecTreMic,2,Inside,CasDec,0.8,5,0,0,0,2,0,7,Yes,0.285714286,0,0,Hetero.diff
1JM1,27-May,sunny,79,12:50,CasDecTreMic,2,Inside,CasDec,0.8,6,0,0,0,0,0,6,Yes,0,0,0,Hetero.diff
