Site,Date,Weather,Temperature,Time,Treatment,Plant,Position,Plant_Species,Height(meters),0(percent herbivory),less10(percent herbivory),10to50(percent herbivory),>greater50(percent herbivory),100(percent herbivory),herb_leaves,total_leaves,Stress,Total_Herbivory,Herbivory_not_including_100,Herbiv.AT,Plot_Classification
1JM1,27-May,sunny,67,9:00,CasSylTreMic,3,Outside,CasSyl,0.8,7,4,0,2,0,6,13,No,0.146153846,0.146153846,0.146153846,Hetero.diff
1JM1,27-May,sunny,67,9:00,CasSylTreMic,3,Outside,CasSyl,0.8,9,9,3,2,4,14,27,No,0.27037037,0.143478261,0.143478261,Hetero.diff
1JM1,27-May,sunny,67,9:00,CasSylTreMic,3,Outside,CasSyl,0.8,0,5,3,4,3,12,15,No,0.493333333,0.366666667,0.366666667,Hetero.diff
1JM1,27-May,sunny,67,9:00,CasSylTreMic,4,Inside,CasSyl,0.4,10,2,0,0,3,2,15,No,0.213333333,0.016666667,0.016666667,Hetero.diff
1JM1,27-May,sunny,67,9:00,CasSylTreMic,4,Inside,CasSyl,0.4,11,1,2,3,2,6,19,No,0.260526316,0.173529412,0.173529412,Hetero.diff
1JM1,27-May,sunny,67,9:00,CasSylTreMic,4,Inside,CasSyl,0.4,10,2,0,0,0,2,12,No,0.016666667,0.016666667,0.016666667,Hetero.diff
1JM1,27-May,sunny,76,11:30,CasDecCasSyl,3,Outside,CasSyl,1,1,10,8,0,0,18,19,No,0.178947368,0.178947368,0.178947368,Hetero.same
1JM1,27-May,sunny,76,11:30,CasDecCasSyl,3,Outside,CasSyl,1,12,6,0,0,0,6,18,No,0.033333333,0.033333333,0.033333333,Hetero.same
1JM1,27-May,sunny,76,11:30,CasDecCasSyl,3,Outside,CasSyl,1,8,6,5,0,0,11,19,No,0.110526316,0.110526316,0.110526316,Hetero.same
1JM1,27-May,sunny,76,11:30,CasDecCasSyl,4,Inside,CasSyl,0.9,14,0,0,0,0,0,14,No,0,0,0,Hetero.same
1JM1,27-May,sunny,76,11:30,CasDecCasSyl,4,Inside,CasSyl,0.9,5,5,6,1,0,12,17,No,0.179411765,0.179411765,0.179411765,Hetero.same
1JM1,27-May,sunny,76,11:30,CasDecCasSyl,4,Inside,CasSyl,0.9,16,0,0,0,0,0,16,No,0,0,0,Hetero.same
1JM1,27-May,sunny,76,11:45,CasSyl,1,Outside,CasSyl,0.7,22,1,0,0,1,1,24,No,0.045833333,0.004347826,0.004347826,Intra
1JM1,27-May,sunny,76,11:45,CasSyl,1,Outside,CasSyl,0.7,22,1,0,0,1,1,24,No,0.045833333,0.004347826,0.004347826,Intra
1JM1,27-May,sunny,76,11:45,CasSyl,1,Outside,CasSyl,0.7,18,0,0,0,2,0,20,No,0.1,0,0,Intra
1JM1,27-May,sunny,76,11:45,CasSyl,2,Inside,CasSyl,0.6,8,0,0,0,11,0,19,No,0.578947368,0,0,Intra
1JM1,27-May,sunny,76,11:45,CasSyl,2,Inside,CasSyl,0.6,12,3,0,0,2,3,17,No,0.135294118,0.02,0.02,Intra
1JM1,27-May,sunny,76,11:45,CasSyl,2,Inside,CasSyl,0.6,14,0,0,0,0,0,14,No,0,0,0,Intra
1JM1,27-May,sunny,76,11:45,CasSyl,3,Inside,CasSyl,0.5,3,6,2,1,0,9,12,No,0.1625,0.1625,0.1625,Intra
1JM1,27-May,sunny,76,11:45,CasSyl,3,Inside,CasSyl,0.5,12,1,2,0,0,3,15,No,0.046666667,0.046666667,0.046666667,Intra
1JM1,27-May,sunny,76,11:45,CasSyl,3,Inside,CasSyl,0.5,1,5,6,0,0,11,12,No,0.191666667,0.191666667,0.191666667,Intra
1JM1,27-May,sunny,76,11:45,CasSyl,4,Inside,CasSyl,0.7,22,0,1,0,2,1,25,Yes,0.092,0.013043478,0.013043478,Intra
1JM1,27-May,sunny,76,11:45,CasSyl,4,Inside,CasSyl,0.7,17,1,2,0,0,3,20,Yes,0.035,0.035,0.035,Intra
1JM1,27-May,sunny,76,11:45,CasSyl,4,Inside,CasSyl,0.7,15,3,0,0,0,3,18,Yes,0.016666667,0.016666667,0.016666667,Intra
1JM1,31-May,partly cloudy,69,15:10,All,2,Outside,CasSyl,0.6,0,0,0,0,15,0,15,Yes,1,0,0,Hetero.All
1JM1,31-May,partly cloudy,69,15:10,All,2,Outside,CasSyl,0.6,0,0,0,0,11,0,11,Yes,1,0,0,Hetero.All
1JM1,31-May,partly cloudy,69,15:10,All,2,Outside,CasSyl,0.6,0,0,0,0,32,0,32,Yes,1,0,0,Hetero.All
1JM1,31-May,partly cloudy,69,15:10,All,12,Outside,CasSyl,0.7,3,3,9,4,1,16,20,Yes,0.35,0.315789474,0.315789474,Hetero.All
1JM1,31-May,partly cloudy,69,15:10,All,12,Outside,CasSyl,0.7,2,1,7,4,5,12,19,Yes,0.536842105,0.371428571,0.371428571,Hetero.All
1JM1,31-May,partly cloudy,69,15:10,All,12,Outside,CasSyl,0.7,12,0,0,0,1,0,13,Yes,0.076923077,0,0,Hetero.All
1JM1,31-May,partly cloudy,69,15:55,CasSylCelIgu,1,Outside,CasSyl,0.5,0,0,0,0,12,0,12,No,1,0,0,Hetero.diff
