Site,Date,Weather,Temperature,Time,Treatment,Plant,Position,Plant_Species,Height(meters),0(percent herbivory),less10(percent herbivory),10to50(percent herbivory),>greater50(percent herbivory),100(percent herbivory),herb_leaves,total_leaves,Stress,Total_Herbivory,Herbivory_not_including_100,Herbiv.AT,Plot_Classification
1JM1,27-May,sunny,70,10:00,CasDecCelIgu,3,Outside,CelIgu,1.1,0,8,15,7,0,30,30,No,0.351666667,0.351666667,0.351666667,Hetero.diff
1JM1,27-May,sunny,70,10:00,CasDecCelIgu,3,Outside,CelIgu,1.1,0,9,9,0,3,18,21,No,0.314285714,0.2,0.2,Hetero.diff
1JM1,27-May,sunny,70,10:00,CasDecCelIgu,3,Outside,CelIgu,1.1,0,2,7,0,0,9,9,No,0.255555556,0.255555556,0.255555556,Hetero.diff
1JM1,27-May,sunny,70,10:00,CasDecCelIgu,4,Inside,CelIgu,1.2,8,9,4,2,4,15,27,No,0.281481481,0.156521739,0.156521739,Hetero.diff
1JM1,27-May,sunny,70,10:00,CasDecCelIgu,4,Inside,CelIgu,1.2,2,6,7,0,1,13,16,No,0.23125,0.18,0.18,Hetero.diff
1JM1,27-May,sunny,70,10:00,CasDecCelIgu,4,Inside,CelIgu,1.2,3,11,9,0,0,20,23,No,0.165217391,0.165217391,0.165217391,Hetero.diff
1JM1,27-May,sunny,80,16:04,CapBacCelIgu,3,Outside,CelIgu,1.4,2,0,0,0,13,0,15,No,0.866666667,0,0,Hetero.diff
1JM1,27-May,sunny,80,16:04,CapBacCelIgu,3,Outside,CelIgu,1.4,4,0,0,2,20,2,26,No,0.826923077,0.25,0.25,Hetero.diff
1JM1,27-May,sunny,80,16:04,CapBacCelIgu,3,Outside,CelIgu,1.4,0,1,0,0,10,1,11,No,0.918181818,0.1,0.1,Hetero.diff
1JM1,27-May,sunny,80,16:04,CapBacCelIgu,4,Inside,CelIgu,1.5,0,0,0,0,16,0,16,No,1,0,0,Hetero.diff
1JM1,27-May,sunny,80,16:04,CapBacCelIgu,4,Inside,CelIgu,1.5,0,0,0,1,17,1,18,No,0.986111111,0.75,0.75,Hetero.diff
1JM1,27-May,sunny,80,16:04,CapBacCelIgu,4,Inside,CelIgu,1.5,0,0,0,0,15,0,15,No,1,0,0,Hetero.diff
1JM1,31-May,partly cloudy,69,15:10,All,1,Outside,CelIgu,0.7,2,0,0,0,5,0,7,No,0.714285714,0,0,Hetero.All
1JM1,31-May,partly cloudy,69,15:10,All,1,Outside,CelIgu,0.7,8,1,0,2,2,3,13,No,0.276923077,0.145454545,0.145454545,Hetero.All
1JM1,31-May,partly cloudy,69,15:10,All,1,Outside,CelIgu,0.7,10,12,3,3,5,18,33,No,0.283333333,0.155357143,0.155357143,Hetero.All
1JM1,31-May,partly cloudy,69,15:10,All,10,Outside,CelIgu,0.7,0,0,0,0,8,0,8,Yes,1,0,0,Hetero.All
1JM1,31-May,partly cloudy,69,15:10,All,10,Outside,CelIgu,0.7,0,0,1,0,11,1,12,Yes,0.941666667,0.3,0.3,Hetero.All
1JM1,31-May,partly cloudy,69,15:10,All,10,Outside,CelIgu,0.7,0,0,0,0,10,0,10,Yes,1,0,0,Hetero.All
1JM1,31-May,partly cloudy,69,15:55,CasSylCelIgu,3,Outside,CelIgu,1.1,1,4,6,2,4,12,17,No,0.452941176,0.284615385,0.284615385,Hetero.diff
1JM1,31-May,partly cloudy,69,15:55,CasSylCelIgu,3,Outside,CelIgu,1.1,2,12,6,0,0,18,20,No,0.15,0.15,0.15,Hetero.diff
1JM1,31-May,partly cloudy,69,15:55,CasSylCelIgu,3,Outside,CelIgu,1.1,1,1,0,6,1,7,9,No,0.622222222,0.575,0.575,Hetero.diff
1JM1,31-May,partly cloudy,69,15:55,CasSylCelIgu,4,Inside,CelIgu,2.1,3,11,4,3,7,18,28,No,0.4125,0.216666667,0.216666667,Hetero.diff
1JM1,31-May,partly cloudy,69,15:55,CasSylCelIgu,4,Inside,CelIgu,2.1,5,3,8,4,4,15,24,No,0.404166667,0.285,0.285,Hetero.diff
