Site,Treatment,Plant Species,Plant,total_bugs,HerbivoryRatePlantLevel,Sum(p_x_lp),rich,Plot_Classification,density_intra
1JM1,AcnArb,AcnArb,1,8,0.946434109,0.564755456,2,Intra,24
1JM1,AcnArb,AcnArb,2,1,1,0.693147181,1,Intra,24
1JM1,AcnArb,AcnArb,3,4,0.948222222,0.693147181,1,Intra,24
1JM1,AcnArb,AcnArb,4,18,0.797979798,0.225949761,6,Intra,24
1JM1,AcnArbCapBac,AcnArb,1,9,0,0.187314408,6,Hetero.same,12
1JM1,AcnArbCapBac,AcnArb,2,3,0,0.693147181,1,Hetero.same,12
1JM1,AcnArbCapBac,CapBac,3,5,0,0.305642101,3,Hetero.same,12
1JM1,AcnArbCapBac,CapBac,4,21,0,0.541484253,3,Hetero.same,12
1JM1,AcnArbCasDec,AcnArb,3,8,0.414109486,0.287964201,4,Hetero.diff,12
1JM1,AcnArbCasDec,AcnArb,4,111,0.267764913,0.337491246,9,Hetero.diff,12
1JM1,AcnArbCasDec,CasDec,1,0,0.005555556,0,0,Hetero.diff,12
1JM1,AcnArbCasDec,CasDec,2,2,0.005555556,0.405465108,2,Hetero.diff,12
1JM1,AcnArbCasSyl,AcnArb,1,30,0.63685727,0.237568143,7,Hetero.diff,12
1JM1,AcnArbCasSyl,AcnArb,2,11,0.658132275,0.143605691,8,Hetero.diff,12
1JM1,AcnArbCasSyl,CasSyl,3,1,0.001960784,0.693147181,1,Hetero.diff,12
1JM1,AcnArbCasSyl,CasSyl,4,5,0.012984007,0.506693643,2,Hetero.diff,12
1JM1,AcnArbCelIgu,AcnArb,1,4,0.607725091,0.31430433,3,Hetero.diff,12
1JM1,AcnArbCelIgu,AcnArb,2,2,0.847619048,0.405465108,2,Hetero.diff,12
1JM1,AcnArbCelIgu,CelIgu,3,2,0.088600289,0.405465108,2,Hetero.diff,12
1JM1,AcnArbCelIgu,CelIgu,4,2,0.18216011,0.405465108,2,Hetero.diff,12
1JM1,AcnArbTreMic,AcnArb,1,0,0,0,0,Hetero.diff,12
1JM1,AcnArbTreMic,AcnArb,2,0,0,0,0,Hetero.diff,12
1JM1,AcnArbTreMic,AcnArb,3,8,0.83844086,0.336875583,3,Hetero.diff,12
1JM1,AcnArbTreMic,AcnArb,4,0,0.921538462,0,0,Hetero.diff,12
1JM1,AcnArbTreMic,TreMic,1,2,0.044754902,0.693147181,1,Hetero.diff,12
1JM1,AcnArbTreMic,TreMic,2,0,0.056235431,0,0,Hetero.diff,12
1JM1,AcnArbTreMic,TreMic,3,0,0,0,0,Hetero.diff,12
1JM1,AcnArbTreMic,TreMic,4,0,0,0,0,Hetero.diff,12
1JM1,All,AcnArb,3,4,0.29,0.693147181,1,Hetero.All,4
1JM1,All,AcnArb,6,2,0.982051282,0.405465108,2,Hetero.All,4
1JM1,All,CapBac,9,19,0.035333333,0.499633902,2,Hetero.All,4
1JM1,All,CapBac,11,4,0,0.693147181,1,Hetero.All,4
1JM1,All,CasDec,2,0,0,0,0,Hetero.All,4
1JM1,All,CasDec,5,0,0,0,0,Hetero.All,4
1JM1,All,CasDec,8,0,0,0,0,Hetero.All,4
1JM1,All,CasDec,11,0,0,0,0,Hetero.All,4
1JM1,All,CasSyl,2,0,0,0,0,Hetero.All,4
1JM1,All,CasSyl,5,0,0,0,0,Hetero.All,4
1JM1,All,CasSyl,12,1,0.229072682,0.693147181,1,Hetero.All,4
1JM1,All,CelIgu,1,0,0.100270563,0,0,Hetero.All,4
1JM1,All,CelIgu,10,0,0.1,0,0,Hetero.All,4
1JM1,All,TreMic,4,0,0,0,0,Hetero.All,4
1JM1,All,TreMic,7,0,0,0,0,Hetero.All,4
1JM1,CapBac,CapBac,1,17,0.018942901,0.454150623,4,Intra,24
1JM1,CapBac,CapBac,2,18,0.015740741,0.252240735,6,Intra,24
1JM1,CapBac,CapBac,3,32,0.016669364,0.392742156,5,Intra,24
1JM1,CapBac,CapBac,4,42,0.012400794,0.460006678,4,Intra,24
1JM1,CapBacCasDec,CapBac,3,1,0.014814815,0.693147181,1,Hetero.diff,12
1JM1,CapBacCasDec,CapBac,4,3,0.052499352,0.43644444,2,Hetero.diff,12
1JM1,CapBacCasDec,CasDec,1,0,0,0,0,Hetero.diff,12
1JM1,CapBacCasDec,CasDec,2,0,0.025,0,0,Hetero.diff,12
1JM1,CapBacCasSyl,CapBac,1,8,0.040669856,0.287964201,4,Hetero.diff,12
1JM1,CapBacCasSyl,CapBac,2,23,0.0940625,0.693147181,1,Hetero.diff,12
1JM1,CapBacCasSyl,CasSyl,3,0,0,0,0,Hetero.diff,12
1JM1,CapBacCasSyl,CasSyl,4,0,0.011574074,0,0,Hetero.diff,12
1JM1,CapBacCelIgu,CapBac,1,3,0.022222222,0.693147181,1,Hetero.diff,12
1JM1,CapBacCelIgu,CapBac,2,5,0.018253968,0.243981829,4,Hetero.diff,12
1JM1,CapBacCelIgu,CelIgu,3,4,0.116666667,0.693147181,1,Hetero.diff,12
1JM1,CapBacCelIgu,CelIgu,4,3,0.25,0.693147181,1,Hetero.diff,12
1JM1,CapBacTreMic,CapBac,1,1,0.057777778,0.693147181,1,Hetero.diff,12
1JM1,CapBacTreMic,CapBac,2,0,0,0,0,Hetero.diff,12
1JM1,CapBacTreMic,CapBac,3,0,0,0,0,Hetero.diff,12
1JM1,CapBacTreMic,TreMic,2,0,0,0,0,Hetero.diff,12
1JM1,CapBacTreMic,TreMic,3,0,0,0,0,Hetero.diff,12
1JM1,CapBacTreMic,TreMic,4,3,0,0.287682072,3,Hetero.diff,12
1JM1,CasDec,CasDec,1,1,0,0.693147181,1,Intra,24
1JM1,CasDec,CasDec,2,0,0,0,0,Intra,24
1JM1,CasDec,CasDec,3,3,0.02,0.287682072,3,Intra,24
1JM1,CasDec,CasDec,4,0,0.016666667,0,0,Intra,24
1JM1,CasDecCasSyl,CasDec,1,0,0,0,0,Hetero.same,12
1JM1,CasDecCasSyl,CasDec,2,0,0.014814815,0,0,Hetero.same,12
1JM1,CasDecCasSyl,CasSyl,3,1,0.107602339,0.693147181,1,Hetero.same,12
1JM1,CasDecCasSyl,CasSyl,4,3,0.059803922,0.43644444,2,Hetero.same,12
1JM1,CasDecCelIgu,CasDec,1,1,0,0.693147181,1,Hetero.diff,12
1JM1,CasDecCelIgu,CasDec,2,0,0,0,0,Hetero.diff,12
1JM1,CasDecCelIgu,CelIgu,3,15,0.269074074,0.18474644,8,Hetero.diff,12
1JM1,CasDecCelIgu,CelIgu,4,7,0.167246377,0.167183689,6,Hetero.diff,12
1JM1,CasDecTreMic,CasDec,1,1,0.004761905,0.693147181,1,Hetero.diff,12
1JM1,CasDecTreMic,CasDec,2,1,0,0.693147181,1,Hetero.diff,12
1JM1,CasDecTreMic,TreMic,3,1,0.143976506,0.693147181,1,Hetero.diff,12
1JM1,CasDecTreMic,TreMic,4,2,0.029206998,0.405465108,2,Hetero.diff,12
1JM1,CasSyl,CasSyl,1,2,0.002898551,0.405465108,2,Intra,24
1JM1,CasSyl,CasSyl,2,0,0.006666667,0,0,Intra,24
1JM1,CasSyl,CasSyl,3,0,0.133611111,0,0,Intra,24
1JM1,CasSyl,CasSyl,4,2,0.021570048,0.693147181,1,Intra,24
1JM1,CasSylCelIgu,CasSyl,1,0,0.040277778,0,0,Hetero.diff,12
1JM1,CasSylCelIgu,CasSyl,2,0,0.020925088,0,0,Hetero.diff,12
1JM1,CasSylCelIgu,CelIgu,3,3,0.336538462,0.693147181,1,Hetero.diff,12
1JM1,CasSylCelIgu,CelIgu,4,4,0.206616162,0.475497729,2,Hetero.diff,12
1JM1,CasSylTreMic,CasSyl,3,0,0,0,0,Hetero.diff,12
1JM1,CasSylTreMic,CasSyl,4,0,0,0,0,Hetero.diff,12
1JM1,CasSylTreMic,TreMic,1,9,0,0.147720596,7,Hetero.diff,12
1JM1,CasSylTreMic,TreMic,2,8,0,0.693147181,1,Hetero.diff,12
1JM1,CelIgu,CelIgu,1,1,0.070689542,0.693147181,1,Intra,24
1JM1,CelIgu,CelIgu,2,3,0.237222222,0.43644444,2,Intra,24
1JM1,CelIgu,CelIgu,3,11,0.136363636,0.171093566,7,Intra,24
1JM1,CelIgu,CelIgu,4,5,0.094746072,0.506693643,2,Intra,24
1JM1,CelIguTreMic,CelIgu,3,1,0.093479135,0.693147181,1,Hetero.same,12
1JM1,CelIguTreMic,CelIgu,4,3,0.146666667,0.693147181,1,Hetero.same,12
1JM1,CelIguTreMic,TreMic,1,5,0.209807692,0.3549308,3,Hetero.same,12
1JM1,CelIguTreMic,TreMic,2,1,0.18452381,0.693147181,1,Hetero.same,12
1JM1,TreMic,TreMic,1,0,0.10976431,0,0,Intra,24
1JM1,TreMic,TreMic,2,0,0.109259259,0,0,Intra,24
1JM1,TreMic,TreMic,3,0,0.063560606,0,0,Intra,24
1JM1,TreMic,TreMic,4,0,0.082037037,0,0,Intra,24
2JM2,AcnArb,AcnArb,1,1,0,0.693147181,1,Intra,24
2JM2,AcnArb,AcnArb,2,4,0,0.31430433,3,Intra,24
2JM2,AcnArb,AcnArb,3,1,0,0.693147181,1,Intra,24
2JM2,AcnArb,AcnArb,4,2,0,0.405465108,2,Intra,24
2JM2,AcnArbCapBac,AcnArb,1,0,0.539707602,0,0,Hetero.same,12
2JM2,AcnArbCapBac,AcnArb,2,3,0.362469136,0.43644444,2,Hetero.same,12
2JM2,AcnArbCapBac,CapBac,3,0,0.290952381,0,0,Hetero.same,12
2JM2,AcnArbCapBac,CapBac,4,2,0.069127747,0.405465108,2,Hetero.same,12
2JM2,AcnArbCasDec,AcnArb,1,2,0.383030493,0.405465108,2,Hetero.diff,12
2JM2,AcnArbCasDec,AcnArb,2,0,0.382380952,0,0,Hetero.diff,12
2JM2,AcnArbCasDec,CasDec,3,1,0,0.693147181,1,Hetero.diff,12
2JM2,AcnArbCasDec,CasDec,4,0,0.014761905,0,0,Hetero.diff,12
2JM2,AcnArbCasSyl,AcnArb,1,105,0.810819892,0.649137991,3,Hetero.diff,12
2JM2,AcnArbCasSyl,AcnArb,2,3,0.767362566,0.287682072,3,Hetero.diff,12
2JM2,AcnArbCasSyl,CasSyl,3,0,0.039535675,0,0,Hetero.diff,12
2JM2,AcnArbCasSyl,CasSyl,4,53,0.004444444,0.62994402,2,Hetero.diff,12
2JM2,AcnArbCelIgu,AcnArb,3,1,0,0.693147181,1,Hetero.diff,12
2JM2,AcnArbCelIgu,AcnArb,4,2,0,0.405465108,2,Hetero.diff,12
2JM2,AcnArbCelIgu,CelIgu,1,0,0,0,0,Hetero.diff,12
2JM2,AcnArbCelIgu,CelIgu,2,0,0,0,0,Hetero.diff,12
2JM2,AcnArbTreMic,AcnArb,1,106,0,0.682013103,2,Hetero.diff,12
2JM2,AcnArbTreMic,AcnArb,2,0,0,0,0,Hetero.diff,12
2JM2,AcnArbTreMic,TreMic,3,0,0,0,0,Hetero.diff,12
2JM2,AcnArbTreMic,TreMic,4,1,0,0.693147181,1,Hetero.diff,12
2JM2,All,AcnArb,1,1,0,0.693147181,1,Hetero.All,4
2JM2,All,AcnArb,10,0,0,0,0,Hetero.All,4
2JM2,All,CapBac,4,4,0,0.31430433,3,Hetero.All,4
2JM2,All,CapBac,7,0,0,0,0,Hetero.All,4
2JM2,All,CasDec,5,1,0,0.693147181,1,Hetero.All,4
2JM2,All,CasDec,8,1,0,0.693147181,1,Hetero.All,4
2JM2,All,CasDec,11,0,0,0,0,Hetero.All,4
2JM2,All,CasSyl,2,1,0,0.693147181,1,Hetero.All,4
2JM2,All,CasSyl,11,0,0,0,0,Hetero.All,4
2JM2,All,CasSyl,12,0,0,0,0,Hetero.All,4
2JM2,All,CelIgu,3,1,0,0.693147181,1,Hetero.All,4
2JM2,All,CelIgu,6,1,0,0.693147181,1,Hetero.All,4
2JM2,All,TreMic,5,0,0,0,0,Hetero.All,4
2JM2,All,TreMic,9,0,0,0,0,Hetero.All,4
2JM2,All,TreMic,12,0,0,0,0,Hetero.All,4
2JM2,CapBac,CapBac,1,0,0,0,0,Intra,24
2JM2,CapBac,CapBac,2,2,0,0.693147181,1,Intra,24
2JM2,CapBac,CapBac,3,0,0,0,0,Intra,24
2JM2,CapBac,CapBac,4,1,0,0.693147181,1,Intra,24
2JM2,CapBacCasDec,CapBac,3,2,0,0.405465108,2,Hetero.diff,12
2JM2,CapBacCasDec,CapBac,4,0,0,0,0,Hetero.diff,12
2JM2,CapBacCasDec,CasDec,1,0,0,0,0,Hetero.diff,12
2JM2,CapBacCasDec,CasDec,2,0,0,0,0,Hetero.diff,12
2JM2,CapBacCasSyl,CapBac,3,1,0.049305767,0.693147181,1,Hetero.diff,12
2JM2,CapBacCasSyl,CapBac,4,0,0.126893939,0,0,Hetero.diff,12
2JM2,CapBacCasSyl,CasSyl,1,2,0.035714286,0.405465108,2,Hetero.diff,12
2JM2,CapBacCasSyl,CasSyl,2,0,0.014285714,0,0,Hetero.diff,12
2JM2,CapBacCelIgu,CapBac,3,1,0,0.693147181,1,Hetero.diff,12
2JM2,CapBacCelIgu,CapBac,4,1,0,0.693147181,1,Hetero.diff,12
2JM2,CapBacCelIgu,CelIgu,1,4,0,0.31430433,3,Hetero.diff,12
2JM2,CapBacCelIgu,CelIgu,2,0,0,0,0,Hetero.diff,12
2JM2,CapBacTreMic,CapBac,1,0,0,0,0,Hetero.diff,12
2JM2,CapBacTreMic,CapBac,2,0,0,0,0,Hetero.diff,12
2JM2,CapBacTreMic,TreMic,3,1,0,0.693147181,1,Hetero.diff,12
2JM2,CapBacTreMic,TreMic,4,1,0,0.693147181,1,Hetero.diff,12
2JM2,CasDec,CasDec,1,253,0.004945055,0.679191835,2,Intra,24
2JM2,CasDec,CasDec,2,0,0.0125,0,0,Intra,24
2JM2,CasDec,CasDec,3,0,0.028703704,0,0,Intra,24
2JM2,CasDec,CasDec,4,0,0.028787879,0,0,Intra,24
2JM2,CasDecCasSyl,CasDec,1,0,0,0,0,Hetero.same,12
2JM2,CasDecCasSyl,CasDec,2,0,0,0,0,Hetero.same,12
2JM2,CasDecCasSyl,CasDec,3,1,0,0.693147181,1,Hetero.same,12
2JM2,CasDecCasSyl,CasDec,4,0,0,0,0,Hetero.same,12
2JM2,CasDecCasSyl,CasSyl,1,0,0,0,0,Hetero.same,12
2JM2,CasDecCasSyl,CasSyl,2,0,0,0,0,Hetero.same,12
2JM2,CasDecCasSyl,CasSyl,3,0,0,0,0,Hetero.same,12
2JM2,CasDecCasSyl,CasSyl,4,0,0,0,0,Hetero.same,12
2JM2,CasDecCelIgu,CasDec,1,1,0,0.693147181,1,Hetero.diff,12
2JM2,CasDecCelIgu,CasDec,2,0,0,0,0,Hetero.diff,12
2JM2,CasDecCelIgu,CelIgu,3,1,0,0.693147181,1,Hetero.diff,12
2JM2,CasDecCelIgu,CelIgu,4,0,0,0,0,Hetero.diff,12
2JM2,CasDecTreMic,CasDec,3,1,0,0.693147181,1,Hetero.diff,12
2JM2,CasDecTreMic,CasDec,4,0,0,0,0,Hetero.diff,12
2JM2,CasDecTreMic,TreMic,1,2,0,0.405465108,2,Hetero.diff,12
2JM2,CasDecTreMic,TreMic,2,5,0,0.182321557,5,Hetero.diff,12
2JM2,CasSyl,CasSyl,1,3,0.018376068,0.287682072,3,Intra,24
2JM2,CasSyl,CasSyl,2,0,0.038452381,0,0,Intra,24
2JM2,CasSyl,CasSyl,3,0,0.028937729,0,0,Intra,24
2JM2,CasSyl,CasSyl,4,0,0.017592593,0,0,Intra,24
2JM2,CasSylCelIgu,CasSyl,1,1,0,0.693147181,1,Hetero.diff,12
2JM2,CasSylCelIgu,CasSyl,2,0,0,0,0,Hetero.diff,12
2JM2,CasSylCelIgu,CelIgu,3,1,0,0.693147181,1,Hetero.diff,12
2JM2,CasSylCelIgu,CelIgu,4,4,0,0.31430433,3,Hetero.diff,12
2JM2,CasSylTreMic,CasSyl,3,2,0.027272727,0.405465108,2,Hetero.diff,12
2JM2,CasSylTreMic,CasSyl,4,0,0.020833333,0,0,Hetero.diff,12
2JM2,CasSylTreMic,TreMic,1,78,0.121893939,0.663128269,3,Hetero.diff,12
2JM2,CasSylTreMic,TreMic,2,208,0.068611111,0.444144432,4,Hetero.diff,12
2JM2,CelIgu,CelIgu,1,0,0,0,0,Intra,24
2JM2,CelIgu,CelIgu,2,0,0,0,0,Intra,24
2JM2,CelIgu,CelIgu,3,1,0,0.693147181,1,Intra,24
2JM2,CelIgu,CelIgu,4,0,0,0,0,Intra,24
2JM2,CelIguTreMic,CelIgu,3,1,0.134583333,0.693147181,1,Hetero.same,12
2JM2,CelIguTreMic,CelIgu,4,1,0.227373737,0.693147181,1,Hetero.same,12
2JM2,CelIguTreMic,TreMic,1,1,0.069444444,0.693147181,1,Hetero.same,12
2JM2,CelIguTreMic,TreMic,2,3,0.061818975,0.287682072,3,Hetero.same,12
2JM2,TreMic,TreMic,1,2,0,0.405465108,2,Intra,24
2JM2,TreMic,TreMic,2,1,0,0.693147181,1,Intra,24
2JM2,TreMic,TreMic,3,1,0,0.693147181,1,Intra,24
2JM2,TreMic,TreMic,4,2,0,0.405465108,2,Intra,24
3SS,AcnArb,AcnArb,1,1,0.532814238,0.693147181,1,Intra,24
3SS,AcnArb,AcnArb,2,2,0.572534559,0.405465108,2,Intra,24
3SS,AcnArb,AcnArb,3,0,0.651527778,0,0,Intra,24
3SS,AcnArb,AcnArb,4,5,0.759822866,0.506693643,2,Intra,24
3SS,AcnArbCapBac,AcnArb,1,2,0.551994419,0.405465108,2,Hetero.same,12
3SS,AcnArbCapBac,AcnArb,2,0,0.756060606,0,0,Hetero.same,12
3SS,AcnArbCapBac,CapBac,3,2,0.163636364,0.405465108,2,Hetero.same,12
3SS,AcnArbCapBac,CapBac,4,1,0.045277778,0.693147181,1,Hetero.same,12
3SS,AcnArbCasDec,AcnArb,1,2,0.56828405,0.405465108,2,Hetero.diff,12
3SS,AcnArbCasDec,AcnArb,2,0,0.580932432,0,0,Hetero.diff,12
3SS,AcnArbCasDec,CasDec,3,0,0.005152979,0,0,Hetero.diff,12
3SS,AcnArbCasDec,CasDec,4,0,0.241287879,0,0,Hetero.diff,12
3SS,AcnArbCasSyl,AcnArb,1,1,0.612985449,0.693147181,1,Hetero.diff,12
3SS,AcnArbCasSyl,AcnArb,2,1,0.67543573,0.693147181,1,Hetero.diff,12
3SS,AcnArbCasSyl,CasSyl,3,0,0.001851852,0,0,Hetero.diff,12
3SS,AcnArbCasSyl,CasSyl,4,0,0.004861111,0,0,Hetero.diff,12
3SS,AcnArbCelIgu,AcnArb,3,0,0.940151515,0,0,Hetero.diff,12
3SS,AcnArbCelIgu,AcnArb,4,0,0.460430108,0,0,Hetero.diff,12
3SS,AcnArbCelIgu,CelIgu,1,1,0.089990942,0.693147181,1,Hetero.diff,12
3SS,AcnArbCelIgu,CelIgu,2,0,0.116573631,0,0,Hetero.diff,12
3SS,AcnArbTreMic,AcnArb,1,7,0.578607504,0.315504953,4,Hetero.diff,12
3SS,AcnArbTreMic,AcnArb,2,4,0.545636433,0.693147181,1,Hetero.diff,12
3SS,AcnArbTreMic,TreMic,3,0,0.035323703,0,0,Hetero.diff,12
3SS,AcnArbTreMic,TreMic,4,0,0.074890753,0,0,Hetero.diff,12
3SS,All,AcnArb,3,0,0,0,0,Hetero.All,4
3SS,All,AcnArb,4,0,0.254161177,0,0,Hetero.All,4
3SS,All,AcnArb,6,0,0.413095238,0,0,Hetero.All,4
3SS,All,CapBac,2,0,0.049280423,0,0,Hetero.All,4
3SS,All,CapBac,9,1,0.038598901,0.693147181,1,Hetero.All,4
3SS,All,CapBac,11,1,0,0.693147181,1,Hetero.All,4
3SS,All,CasDec,1,1,0.056111111,0.693147181,1,Hetero.All,4
3SS,All,CasDec,8,0,0.009100877,0,0,Hetero.All,4
3SS,All,CasSyl,3,4,0.103888889,0.693147181,1,Hetero.All,4
3SS,All,CasSyl,4,0,0,0,0,Hetero.All,4
3SS,All,CasSyl,12,1,0.008888889,0.693147181,1,Hetero.All,4
3SS,All,CelIgu,5,0,0.176746032,0,0,Hetero.All,4
3SS,All,CelIgu,10,0,0.052380952,0,0,Hetero.All,4
3SS,All,TreMic,2,0,0,0,0,Hetero.All,4
3SS,All,TreMic,7,1,0.057514815,0.693147181,1,Hetero.All,4
3SS,All,TreMic,11,16,0.036759868,0.444712385,2,Hetero.All,4
3SS,CapBac,CapBac,1,0,0.005956353,0,0,Intra,24
3SS,CapBac,CapBac,2,0,0.005858396,0,0,Intra,24
3SS,CapBac,CapBac,3,2,0.008641975,0.405465108,2,Intra,24
3SS,CapBac,CapBac,4,1,0.072716028,0.693147181,1,Intra,24
3SS,CapBacCasDec,CapBac,1,10,0.00815287,0.450149055,2,Hetero.diff,12
3SS,CapBacCasDec,CapBac,2,0,0.009906078,0,0,Hetero.diff,12
3SS,CapBacCasDec,CasDec,3,0,0.014285714,0,0,Hetero.diff,12
3SS,CapBacCasDec,CasDec,4,0,0.020873016,0,0,Hetero.diff,12
3SS,CapBacCasSyl,CapBac,3,0,0.01,0,0,Hetero.diff,12
3SS,CapBacCasSyl,CapBac,4,2,0.032736582,0.693147181,1,Hetero.diff,12
3SS,CapBacCasSyl,CasSyl,1,1,0.175758842,0.693147181,1,Hetero.diff,12
3SS,CapBacCasSyl,CasSyl,2,0,0.062936508,0,0,Hetero.diff,12
3SS,CapBacCelIgu,CapBac,1,0,0.022920332,0,0,Hetero.diff,12
3SS,CapBacCelIgu,CapBac,2,4,0.009429027,0.475497729,2,Hetero.diff,12
3SS,CapBacCelIgu,CelIgu,3,2,0.048464912,0.405465108,2,Hetero.diff,12
3SS,CapBacCelIgu,CelIgu,4,1,0.191336527,0.693147181,1,Hetero.diff,12
3SS,CapBacTreMic,CapBac,1,1,0.226868687,0.693147181,1,Hetero.diff,12
3SS,CapBacTreMic,CapBac,2,0,0.018181818,0,0,Hetero.diff,12
3SS,CapBacTreMic,TreMic,3,0,0.048581699,0,0,Hetero.diff,12
3SS,CapBacTreMic,TreMic,4,0,0.042403444,0,0,Hetero.diff,12
3SS,CasDec,CasDec,1,0,0.025,0,0,Intra,24
3SS,CasDec,CasDec,2,7,0.101176471,0.693147181,1,Intra,24
3SS,CasDec,CasDec,3,7,0.032864833,0.693147181,1,Intra,24
3SS,CasDec,CasDec,4,0,0.061150794,0,0,Intra,24
3SS,CasDecCasSyl,CasDec,1,1,0.003921569,0.693147181,1,Hetero.same,12
3SS,CasDecCasSyl,CasDec,2,1,0.017810458,0.693147181,1,Hetero.same,12
3SS,CasDecCasSyl,CasSyl,3,0,0.045925926,0,0,Hetero.same,12
3SS,CasDecCasSyl,CasSyl,4,0,0.04,0,0,Hetero.same,12
3SS,CasDecCelIgu,CasDec,1,0,0.021428571,0,0,Hetero.diff,12
3SS,CasDecCelIgu,CasDec,2,0,0,0,0,Hetero.diff,12
3SS,CasDecCelIgu,CelIgu,3,1,0.008641975,0.693147181,1,Hetero.diff,12
3SS,CasDecCelIgu,CelIgu,4,1,0.184432234,0.693147181,1,Hetero.diff,12
3SS,CasDecTreMic,CasDec,3,0,0,0,0,Hetero.diff,12
3SS,CasDecTreMic,CasDec,4,0,0.017361111,0,0,Hetero.diff,12
3SS,CasDecTreMic,TreMic,1,1,0.069923112,0.693147181,1,Hetero.diff,12
3SS,CasDecTreMic,TreMic,2,0,0.069518933,0,0,Hetero.diff,12
3SS,CasSyl,CasSyl,1,0,0.058333333,0,0,Intra,24
3SS,CasSyl,CasSyl,2,0,0.035227273,0,0,Intra,24
3SS,CasSyl,CasSyl,3,2,0.038071895,0.405465108,2,Intra,24
3SS,CasSyl,CasSyl,4,0,0.013703704,0,0,Intra,24
3SS,CasSylCelIgu,CasSyl,1,0,0.028188406,0,0,Hetero.diff,12
3SS,CasSylCelIgu,CasSyl,2,5,0.002222222,0.693147181,1,Hetero.diff,12
3SS,CasSylCelIgu,CelIgu,3,0,0.147619048,0,0,Hetero.diff,12
3SS,CasSylCelIgu,CelIgu,4,0,0.156041667,0,0,Hetero.diff,12
3SS,CasSylTreMic,CasSyl,3,1,0.002222222,0.693147181,1,Hetero.diff,12
3SS,CasSylTreMic,CasSyl,4,1,0.022569444,0.693147181,1,Hetero.diff,12
3SS,CasSylTreMic,TreMic,1,0,0.040517241,0,0,Hetero.diff,12
3SS,CasSylTreMic,TreMic,2,0,0.041005435,0,0,Hetero.diff,12
3SS,CelIgu,CelIgu,1,8,0.10507483,0.4491576,3,Intra,24
3SS,CelIgu,CelIgu,2,5,0.051949951,0.3549308,3,Intra,24
3SS,CelIgu,CelIgu,3,1,0.027334016,0.693147181,1,Intra,24
3SS,CelIgu,CelIgu,4,4,0.144426407,0.475497729,2,Intra,24
3SS,CelIguTreMic,CelIgu,3,0,0.181712963,0,0,Hetero.same,12
3SS,CelIguTreMic,CelIgu,4,0,0.097916667,0,0,Hetero.same,12
3SS,CelIguTreMic,TreMic,1,0,0.063355971,0,0,Hetero.same,12
3SS,CelIguTreMic,TreMic,2,1,0.036707536,0.693147181,1,Hetero.same,12
3SS,TreMic,TreMic,1,0,0.028250112,0,0,Intra,24
3SS,TreMic,TreMic,2,2,0.021620047,0.405465108,2,Intra,24
3SS,TreMic,TreMic,3,1,0.023977336,0.693147181,1,Intra,24
3SS,TreMic,TreMic,4,0,0.006782107,0,0,Intra,24
4AJ,AcnArb,AcnArb,1,1,0,0.693147181,1,Intra,24
4AJ,AcnArb,AcnArb,2,3,0,0.43644444,2,Intra,24
4AJ,AcnArb,AcnArb,3,0,0,0,0,Intra,24
4AJ,AcnArb,AcnArb,4,2,0,0.405465108,2,Intra,24
4AJ,AcnArbCapBac,AcnArb,1,20,0,0.693147181,1,Hetero.same,12
4AJ,AcnArbCapBac,AcnArb,2,0,0,0,0,Hetero.same,12
4AJ,AcnArbCapBac,CapBac,3,0,0,0,0,Hetero.same,12
4AJ,AcnArbCapBac,CapBac,4,7,0,0.693147181,1,Hetero.same,12
4AJ,AcnArbCasDec,AcnArb,3,8,0,0.294626186,3,Hetero.diff,12
4AJ,AcnArbCasDec,AcnArb,4,0,0,0,0,Hetero.diff,12
4AJ,AcnArbCasDec,CasDec,1,0,0,0,0,Hetero.diff,12
4AJ,AcnArbCasDec,CasDec,2,0,0,0,0,Hetero.diff,12
4AJ,AcnArbCasSyl,AcnArb,1,261,0,0.657367027,4,Hetero.diff,12
4AJ,AcnArbCasSyl,AcnArb,2,4,0,0.405465108,2,Hetero.diff,12
4AJ,AcnArbCasSyl,CasSyl,3,1,0,0.693147181,1,Hetero.diff,12
4AJ,AcnArbCasSyl,CasSyl,4,0,0,0,0,Hetero.diff,12
4AJ,AcnArbCelIgu,AcnArb,1,0,0,0,0,Hetero.diff,12
