Forest_stand,alder,bittersweet,black_gum,buckthorn,burning_bush,cherry.spp.,dead.spp.,dogwood.spp.,grapevine,hawthorn,hickory,hickory.spp.,hikory,honeysuckle,Malus,maple.spp.,privet,r.oak,sumac,viburnum,w.oak
OG1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.070685775,0,2.68605945,0,4.154752775,0,0,7.0685775
OG2,0,0,0,0,0.070685775,0,0.070685775,0,0,0,0,0,0,0,0,0.70685775,0,0,0,0,24.02530953
OG3,0,0,0,0,0,0,0.212057325,0,0,0,0,0,0.2827431,0.14137155,0,0.70685775,0,0,0,0,19.43073415
OG4,0,0,0,0,0,0.353428875,0.14137155,0.070685775,0,0,0,1.5393791,0,0,0,0.42411465,0,1.83783015,0,0,7.0685775
OG5,0,0,0,0,0,0.212057325,0.42411465,0.070685775,0,0,0,0.212057325,0,0.070685775,0,0.42411465,0.070685775,0,0,0,13.86226588
OG6,0,0,0,0,0,0.2827431,0.14137155,0,0,0,0,0,0,0.353428875,0,0.918915075,0,3.463602975,0,0.070685775,11.94589598
OG7,0.14137155,0,0,0,0.14137155,0.070685775,0,0,0,0,0,0,0,0,0,4.266671919,0,3.300632994,0,0,3.300632994
OG8,0,0,0,0,0,0,0,0,0,0,0,0,0,0.070685775,0,1.6336268,0,0,0,0,9.621119375
OG9,0.14137155,0,0.14137155,0,0.070685775,1.091702525,0,0,0,0,0.950330975,0,0,0,0,1.27234395,0,0,0,0,2.835284975
SG1,0,0.98960085,0,4.5238896,0,0.98960085,0,0,0,0.42411465,0,0,0,2.5446879,0.14137155,0,4.94800425,0,0.14137155,0,0
SG2,0,0,0,3.81703185,0,3.3929172,0,0,0,1.1309724,0,0,0,2.5446879,0,0,2.96880255,0,0.5654862,0,0
SG3,0,0,0,7.20994905,0,0,0,0,0,0,0,0,0,0.98960085,0,0,2.5446879,0,0.14137155,0,0
SG4,0,0.14137155,0,0,0,0.14137155,0.14137155,0,0.2827431,0,0,0,0,0.14137155,0,0,1.1309724,0,0,0,0
SG5,0,0.42411465,0,0,0,0.2827431,0.14137155,0,0,0,0,0,0,0,0,0,2.5446879,0,0,0,0
SG6,0,0,0,0.14137155,0,0.42411465,0,0,0,0,0,0,0,0,0,0,0.42411465,0,0,0,0
SG7,0,0,0,0.42411465,0,0,0,0,0,0.42411465,0,0,0,0.2827431,0,0,2.12057325,0,0,0,0
SG8,0,0,0,0.14137155,0,0,0.2827431,0,0,0.14137155,0,0,0,0,0,0,4.94800425,0,0,0,0
SG9,0,0,0,1.27234395,0,2.2619448,0,0,0,0,0,0,0,0,0,0,3.6756603,0,0,0,0
