Stand,W_oak,R_oak,Maple_spp.,Hickory_spp.,Cherry_spp.,Buckthorne,Privet,Honeysuckle,Malus_spp.,Viburnum_spp.,Bittersweet,Dead_trees,Firebush,Grapevine,Dogwood_spp.,Sumac,Alder,Hawthorn
OG1,0.01,0.01,0.08,0,0,0,0,0.01,0,0,0,0.03,0,0,0,0,0,0
OG2,0.05,0,0.1,0,0,0,0,0,0,0,0,0.01,0.01,0,0,0,0,0
OG3,0.04,0,0.11,0.04,0,0,0,0.02,0,0,0,0.03,0,0,0.01,0,0,0
OG4,0.01,0.02,0.06,0.03,0.05,0,0,0.01,0,0,0,0.02,0,0,0.01,0,0,0
OG5,0.02,0,0.06,0.03,0.03,0,0.01,0.01,0,0,0,0.06,0,0,0.01,0,0,0
OG6,0.01,0.01,0.13,0,0.04,0,0,0.05,0,0.01,0,0.02,0,0,0,0,0,0
OG7,0.01,0.01,0.08,0.01,0.01,0,0,0,0,0,0,0.02,0.02,0,0,0,0,0
OG8,0.02,0,0.14,0,0,0,0,0.01,0,0,0,0.01,0,0,0,0,0,0
OG9,0.01,0,0.03,0,0.03,0,0,0,0,0,0,0.05,0.01,0,0,0,0,0
SG1,0,0,0,0,0.14,0.64,0.7,0.4,0.02,0,0.14,0,0,0,0,0.02,0,0.06
SG2,0,0,0,0,0.48,0.54,0.42,0.36,0,0,0,0,0,0,0,0.08,0,0.16
SG3,0,0,0,0,0.1,1.02,0.36,0.14,0,0,0,0,0,0,0,0.02,0,0
SG4,0,0,0,0,0.02,0,0.16,0.02,0,0,0.02,0.02,0,0.04,0,0,0,0
SG5,0,0,0,0,0.04,0,0.36,0,0,0,0.06,0.02,0,0,0,0,0,0
SG6,0,0,0,0,0.06,0.02,0.06,0,0,0,0.02,0,0,0,0,0,0,0
SG7,0,0,0,0,0,0.06,0.3,0.04,0,0,0,0,0,0,0,0,0,0.06
SG8,0,0,0,0,0,0.02,0.78,0,0,0,0,0.04,0,0,0,0,0,0.02
SG9,0,0,0,0,0.02,0.16,0.52,0,0,0,0,0,0,0,0,0,0,0
