Area,date,hour,bird,Plant_Sp,fruits_eat,pecks,handling_tec,reach,drop_seed,drop_fruit,forest_stratum,tree_structure,time_forag,next_perch
AURORA,97526,1130,PRBU,GUGU,1,0,M,S,0,0,2,3,1,0
AURORA,97526,1000,PRTA,CESC,1,1,MG,S,0,0,3,3,0.5,0
AURORA,97567,814,BWVI,GUGU,1,1,G,FU,0,0,3,3,1,1
AURORA,97567,848,PETH,INVE,1,1,P,FU,0,0,3,3,0.5,1
AURORA,97567,912,PETH,THOC,3,3,G,AB,0,0,3,3,2,1
AURORA,97567,739,PRTA,CESC,7,0,MG,FU,0,0,3,3,1,3
AURORA,97567,729,PRTA,CESC,1,2,MG,AB,0,0,3,3,0.5,1
AURORA,97567,730,PRTA,CESC,1,4,MG,AB,0,0,3,3,1,1
AURORA,97567,843,PRWO,SCMO,2,2,G,AB,0,0,3,3,1,1
AURORA,97567,814,RLTH,SCMO,2,2,G,AB,0,0,3,3,1,3
AURORA,97567,740,SHTA,CESC,3,0,MG,AB,0,0,3,3,0.5,2
AURORA,97567,704,SHTA,CISSUS SP.,3,3,MG,FU,0,0,3,3,2,2
AURORA,97567,843,SHTA,PH SP.,1,3,MG,FU,0,0,3,3,1,1
AURORA,97567,938,SHTA,MICONIA SP.,2,2,MG,AB,0,0,3,3,0.5,1
AURORA,97567,1135,SHTA,SCMO,3,3,MG,AB,0,0,3,3,1,2
AURORA,97567,718,SHTA,MICONIA SP.,2,2,MG,AB,0,0,3,3,1.5,1
AURORA,97609,1220,PRTA,CESC,1,4,MG,S,0,0,3,3,0.5,1
AURORA,97711,745,SHTA,THOC,8,9,M,FU,8,0,3,2,2,2
AURORA,97711,1004,SHTA,SCMO,2,2,MG,FU,0,0,3,2,1,1
AURORA,97711,1004,SHTA,SCMO,2,2,MG,FU,0,0,3,2,1,1
AURORA,97711,905,SHTA,CESC,1,2,MG,AB,0,0,3,3,0.5,1
AURORA,97729,1145,ANEU,TOHI,6,0,MG,FU,3,0,1,3,3.5,1
AURORA,97730,809,PRTA,MICONIA SP.,1,0,MG,FU,0,0,1,3,1,1
AURORA,97730,810,PRTA,MICONIA SP.,2,0,MG,FU,0,0,1,3,0.5,1
AURORA,981007,834,SHTA,ANIN,4,8,P,AR,0,0,3,3,2,2
AURORA,981007,844,ANEU,ANSC,3,6,MG,S,0,0,3,1,0.5,2
AURORA,981009,1000,SHTA,COAR,1,0,0,0,0,0,0,0,0,0
BAEZ SUELTA,98831,735,BFGR,PACR,2,2,G,S,0,0,1,2,0.5,3
BARAKO,981006,757,PRTA,CESC,2,4,MG,S,0,0,2,3,1,1
BARAKO,981006,757,PRTA,CESC,2,3,MG,S,0,0,2,3,1,1
BARAKO,981006,805,PRTA,CESC,1,1,0,0,0,0,3,3,0.5,2
BARAKO,981006,809,PRTA,GUGU,0,0,0,0,0,0,1,3,0,0
BARAKO,981006,819,PETH,GUGU,1,0,G,S,0,0,2,3,0.5,2
BARAKO,981006,822,PRBU,GUGU,1,25,M,S,0,0,3,2,3,2
BARAKO,981006,826,PETH,GUGU,1,0,G,S,0,0,3,2,0.5,0
BARAKO,981006,852,PRBU,GUGU,1,0,0,0,1,0,3,3,0.5,2
BARAKO,981006,853,SHTA,GUGU,0,0,0,0,0,0,3,3,0.5,3
BARAKO,981009,718,SHTA,CESC,1,0,0,S,0,0,3,3,1,0
BARAKO,981009,726,PRTA,CESC,2,3,MG,S,0,1,3,3,0.5,1
BARAKO,981009,730,PRBU,GUGU,4,15,M,S,4,0,3,3,10,1
BARAKO,981009,813,PRBU,GUGU,12,2,R,F,2,0,3,2,5,1
BARAKO,981009,910,PRTA,MICONIA SP.,5,0,MG,AB,0,0,1,3,2,1
CIALITO SUELTA,98428,1140,SHTA,PH SP.,6,6,MG,S,0,0,1,2,3,3
CIALITO SUELTA,98428,1150,SHTA,PH SP.,5,5,MG,S,0,0,2,2,2,3
CIALITO SUELTA,98428,1256,PRBU,PH SP.,6,6,MG,S,0,0,1,2,1,1
CIALITO SUELTA,98428,1143,BWVI,GUGU,1,1,G,S,0,0,1,2,5,1
CIALITOS,97567,914,ANEU,PH SP.,2,0,MG,AB,0,0,2,1,2,1
CIALITOS,97567,1055,ANEU,ANSC,9,0,MG,AB,0,0,2,1,1.5,1
CIALITOS,97567,1058,ANEU,ANSC,25,0,MG,AB,0,0,2,1,3.5,2
CIALITOS,97567,1059,ANEU,PH SP.,0,0,MG,FU,0,0,3,2,4,1
CIALITOS,97567,1059,ANEU,PH SP.,0,0,MG,FU,0,0,3,2,4,1
CIALITOS,97567,933,ANEU,CESC,1,5,MG,FU,0,0,3,3,1.5,1
CIALITOS,97567,0,ANEU,MICONIA SP.,3,0,MG,S,0,0,1,3,0,0
CIALITOS,97567,0,ANEU,MICONIA SP.,4,0,MG,S,0,0,1,3,0,0
CIALITOS,97567,739,ANEU,CESC,1,5,MG,AB,0,0,3,3,3,1
CIALITOS,97567,824,ANEU,CESC,2,36,MG,AB,0,0,3,3,4,1
CIALITOS,97567,1251,ANEU,PH SP.,5,0,MG,FU,0,0,2,2,2,0
CIALITOS,97567,1041,BCOR,CLRO,2,0,P,C,1,0,3,2,0,3
CIALITOS,97567,738,BWVI,CESC,3,0,G,AB,0,0,3,3,0.5,2
CIALITOS,97567,740,BWVI,CESC,2,0,G,AB,0,0,3,3,0.5,2
CIALITOS,97567,735,BWVI,CESC,2,1,G,FU,0,0,3,3,0.5,2
CIALITOS,97567,750,BWVI,CESC,3,0,G,FU,0,0,3,3,0.5,1
CIALITOS,97567,856,BWVI,INVE,2,0,P,AB,0,0,3,3,1,1
CIALITOS,97567,932,BWVI,GUGU,1,0,G,C,0,0,2,3,0.5,1
CIALITOS,97567,1006,BWVI,CLRO,2,1,G,AB,0,0,2,3,1,1
CIALITOS,97567,926,BWVI,CLRO,1,0,G,C,0,0,3,2,0,0
CIALITOS,97567,958,BWVI,CLRO,0,0,0,C,0,0,3,2,1,2
CIALITOS,97567,1001,BWVI,CLRO,3,0,G,C,0,0,3,3,0.5,3
CIALITOS,97567,1004,BWVI,CLRO,7,0,G,C,0,0,3,3,1,3
CIALITOS,97567,1007,BWVI,CLRO,0,0,0,C,0,0,3,2,1.5,3
CIALITOS,97567,1035,BWVI,CLRO,3,0,G,S,0,0,3,2,0,3
CIALITOS,97567,623,BWVI,CLRO,1,2,G,C,0,0,2,3,1,1
CIALITOS,97567,634,BWVI,CLRO,1,1,G,C,0,0,3,3,0.5,1
CIALITOS,97567,634,BWVI,CLRO,1,2,G,C,0,0,3,3,1,1
CIALITOS,97567,645,BWVI,CLRO,1,3,G,C,0,0,2,3,1,1
CIALITOS,97567,648,BWVI,CLRO,1,5,G,C,0,0,2,3,1.5,1
CIALITOS,97567,653,BWVI,CLRO,1,8,G,AR,0,0,2,3,1.5,1
CIALITOS,97567,700,BWVI,CLRO,1,3,G,AR,0,0,2,3,1,1
CIALITOS,97567,714,BWVI,SCMO,2,2,G,AB,0,0,3,3,0.5,1
CIALITOS,97567,1026,BWVI,CLRO,1,1,G,C,0,0,2,3,0.5,1
CIALITOS,97567,943,BWVI,CESC,1,5,G,AR,0,0,3,3,2,1
CIALITOS,97567,944,BWVI,CESC,1,3,G,FU,0,0,3,3,1,1
CIALITOS,97567,1001,BWVI,CLRO,1,2,G,C,0,0,2,3,1,1
CIALITOS,97567,1002,BWVI,CLRO,1,1,G,C,0,0,2,3,0.5,1
CIALITOS,97567,1013,BWVI,CLRO,1,1,G,C,0,0,2,3,0.5,1
CIALITOS,97567,1016,BWVI,CLRO,1,4,G,C,0,0,2,3,1.5,1
CIALITOS,97567,736,BWVI,CLRO,3,3,G,C,0,0,3,3,1.5,1
CIALITOS,97567,737,BWVI,CLRO,3,3,G,C,0,0,3,3,1,1
CIALITOS,97567,740,BWVI,CLRO,1,1,G,C,0,0,3,3,0.5,1
CIALITOS,97567,743,BWVI,CLRO,2,2,G,C,0,0,3,3,1,1
CIALITOS,97567,1132,BWVI,CLRO,1,3,G,C,0,0,3,3,1.5,1
CIALITOS,97567,703,BWVI,CESC,2,2,G,AB,0,0,3,3,0.5,1
CIALITOS,97567,1051,BWVI,MICONIA SP.,2,2,G,C,0,0,3,3,1,1
CIALITOS,97567,810,PRBU,SYJA,4,1,P,FU,0,0,3,3,2,2
CIALITOS,97567,1009,PRBU,CLRO,0,0,0,S,0,0,3,2,0,0
CIALITOS,97567,802,PRBU,INVE,1,1,P,FU,0,0,3,3,1.5,1
CIALITOS,97567,908,PRBU,SYJA,1,1,P,FU,0,0,3,3,1,1
CIALITOS,97567,1043,PRBU,CESC,1,2,MG,AB,0,0,3,3,1,1
CIALITOS,97567,712,PRTA,INVE,2,1,P,C,0,0,3,3,0.5,1
CIALITOS,97567,743,PRTA,INVE,1,1,P,C,1,0,2,2,2,1
CIALITOS,97567,745,PRTA,INVE,1,1,P,C,1,0,2,2,3,1
CIALITOS,97567,838,PRTA,INVE,2,1,P,C,0,0,2,2,7,1
CIALITOS,97567,909,PRTA,INVE,3,1,P,AB,0,0,3,2,0.5,1
CIALITOS,97567,1015,PRTA,CLRO,0,0,0,S,0,0,3,2,0,0
CIALITOS,97567,1134,PRTA,TRMI,0,0,0,S,0,0,2,3,3,2
CIALITOS,97567,628,PRTA,INVE,1,1,P,AB,0,0,3,3,0.5,1
CIALITOS,97567,659,PRTA,CESC,1,1,MG,FU,0,0,3,3,1,1
CIALITOS,97567,1041,PRTA,CESC,1,2,MG,FU,0,0,3,3,1,1
CIALITOS,97567,755,PRTA,CESC,1,6,MG,AB,0,0,3,3,2,1
CIALITOS,97567,756,PRTA,CESC,1,7,MG,AB,0,0,3,3,2.5,1
CIALITOS,97567,717,PRTA,CESC,2,2,MG,FU,0,0,3,3,0.5,1
CIALITOS,97567,718,PRTA,CESC,5,5,MG,FU,0,0,3,3,1.5,1
CIALITOS,97567,726,PRTA,CESC,3,3,MG,FU,0,0,3,3,1.5,1
CIALITOS,97567,728,PRTA,MICONIA SP.,1,0,MG,S,0,0,0,0,0,0
CIALITOS,97567,1115,PRTA,CESC,1,9,MG,AB,1,0,3,3,1,1
CIALITOS,97567,624,PRWO,CLRO,1,2,G,AB,0,0,2,3,0.5,1
CIALITOS,97567,624,PRWO,CLRO,1,4,G,AB,0,0,2,3,1,1
CIALITOS,97567,953,PRWO,CESC,5,5,G,FU,0,0,3,3,1.5,1
CIALITOS,97567,1005,RLTH,CLRO,0,0,0,S,0,0,3,2,0,0
CIALITOS,97567,1023,RLTH,CLRO,0,0,0,S,0,0,3,2,0,0
CIALITOS,97567,720,SHTA,SCMO,2,0,MG,FU,0,0,2,3,0.5,1
CIALITOS,97567,943,SHTA,CIEL,2,0,MG,AB,0,0,2,3,0.5,1
CIALITOS,97567,945,SHTA,CIEL,32,0,MG,AB,0,0,2,3,2.5,1
CIALITOS,97567,1035,SHTA,CESC,7,0,MG,AB,0,0,3,3,1.5,1
CIALITOS,97567,1038,SHTA,CESC,4,0,MG,AB,0,0,3,3,1,1
CIALITOS,97567,1041,SHTA,CESC,10,0,MG,AB,0,0,3,3,2.5,1
CIALITOS,97567,850,SHTA,MICONIA SP.,5,1,MG,AB,1,0,1,3,3,1
CIALITOS,97567,1121,SHTA,PEDO,0,0,0,FU,0,0,3,2,2,2
CIALITOS,97567,1117,SHTA,PH SP.,7,0,MG,FU,0,0,2,1,5,1
CIALITOS,97567,1240,SHTA,CESC,1,3,MG,AB,0,0,0,0,0.5,1
CIALITOS,97567,1243,SHTA,TRMI,10,10,MG,FU,0,0,1,2,4,0
CIALITOS,97567,1250,SHTA,CESC,1,10,MG,AB,0,0,3,3,1,2
CIALITOS,97567,822,SHTA,CESC,1,8,MG,AB,0,0,3,3,2.5,1
CIALITOS,97567,915,SHTA,CESC,1,4,MG,AR,0,0,3,3,1,1
CIALITOS,97567,919,SHTA,CESC,1,3,MG,FU,0,0,3,3,0.5,1
CIALITOS,97567,811,SHTA,SCMO,1,1,MG,FU,0,0,3,3,1,1
CIALITOS,97567,928,SHTA,CESC,1,12,MG,AR,0,0,3,3,2.5,1
CIALITOS,97567,938,SHTA,CESC,1,4,MG,AB,0,0,3,3,1,1
CIALITOS,97567,1038,SHTA,CESC,1,1,MG,AB,0,0,3,3,0.5,1
CIALITOS,97567,708,SHTA,SCMO,3,3,MG,AB,0,0,3,3,2,1
CIALITOS,97567,803,SHTA,SCMO,2,2,MG,AB,0,0,3,3,1,2
CIALITOS,97567,843,SHTA,CESC,2,2,MG,FU,0,0,3,3,1,2
CIALITOS,97567,927,SHTA,SCMO,2,2,MG,AB,0,0,3,3,1.5,1
CIALITOS,97567,929,SHTA,SCMO,2,2,MG,FU,0,0,3,3,2,1
CIALITOS,97567,930,SHTA,SCMO,1,1,MG,AB,0,0,3,3,1.5,1
CIALITOS,97567,840,SHTA,CESC,1,1,MG,AB,0,0,3,3,1,1
CIALITOS,97567,1038,SHTA,SYJA,1,5,P,AB,0,0,3,3,2,3
CIALITOS,97567,702,SHTA,CESC,2,2,MG,AB,0,0,3,3,0.5,1
CIALITOS,97567,706,SHTA,SCMO,1,1,MG,AB,0,0,3,3,0.5,1
CIALITOS,97567,743,SHTA,FICUS SP.,1,1,MG,FU,0,0,3,3,0.5,2
CIALITOS,97567,802,SHTA,FICUS SP.,1,2,MG,AB,0,0,3,3,1,1
CIALITOS,97567,803,SHTA,FICUS SP.,3,3,MG,AB,0,0,3,3,1.5,1
CIALITOS,97567,804,SHTA,FICUS SP.,1,1,MG,AB,0,0,3,3,0.5,1
CIALITOS,97567,820,SHTA,MICONIA SP.,2,2,MG,AB,0,0,3,3,1.5,1
CIALITOS,97567,821,SHTA,MICONIA SP.,3,3,MG,FU,0,0,3,3,2,1
CIALITOS,97567,834,SHTA,MICONIA SP.,4,4,MG,AB,0,0,3,3,3,1
CIALITOS,97567,1013,SHTA,CESC,5,5,MG,FU,0,0,3,3,1.5,1
CIALITOS,97567,1052,SHTA,MICONIA SP.,2,2,MG,AB,0,0,3,3,1,1
CIALITOS,97567,1058,SHTA,MICONIA SP.,2,2,MG,AB,0,0,3,3,1.5,1
CIALITOS,97567,701,SHTA,SORU,0,1,0,AB,0,0,1,3,5,1
CIALITOS,97567,701,SHTA,SORU,0,1,0,AB,0,0,1,3,5,1
CIALITOS,97567,701,SHTA,SORU,0,1,0,AB,0,0,1,3,5,1
CIALITOS,97567,701,SHTA,SORU,0,1,0,AB,0,0,1,3,5,1
CIALITOS,97567,715,SHTA,SCMO,0,1,0,FU,0,0,3,3,2,1
CIALITOS,97567,722,SHTA,SCMO,0,1,0,S,0,0,3,3,3,1
CIALITOS,97567,807,SHTA,SCMO,3,1,MG,S,0,0,3,3,4,3
CIALITOS,97613,654,ANEU,SYJA,1,1,P,AB,0,0,3,1,0,0
CIALITOS,97613,907,SHTA,INVE,1,0,MG,S,0,0,0,0,0,0
CIALITOS,97703,610,PRTA,CESC,1,2,MG,AB,0,0,3,3,0,0
CIALITOS,97728,1250,ANEU,ANSC,1,0,MG,S,0,0,3,1,0,1
CIALITOS,97728,1030,BWVI,CIEL,1,0,G,S,0,0,3,3,0,0
CIALITOS,97728,1030,GRKI,CIEL,1,0,G,F,0,0,3,3,0,0
