TREE_ID,Fruit_diameter_mm,leaf_length_cm,number_mummy_fruits,student_observers
1A,9.59,7.8,NA,Erika & Kaelonnah
1A,10.08,4,NA,Erika & Kaelonnah
1A,10.43,7.35,NA,Erika & Kaelonnah
1A,11.58,5.3,NA,Erika & Kaelonnah
1A,9.18,7.45,NA,Erika & Kaelonnah
1A,9.19,3.65,NA,Erika & Kaelonnah
1A,9.41,3.05,NA,Erika & Kaelonnah
1A,8.97,8.4,NA,Erika & Kaelonnah
1A,10.64,3.4,NA,Erika & Kaelonnah
1A,11.68,8.9,NA,Erika & Kaelonnah
1A,11.5,4.55,NA,Erika & Kaelonnah
1A,9.35,7.1,NA,Erika & Kaelonnah
1A,9.15,7.7,NA,Erika & Kaelonnah
1A,10.31,8.5,NA,Erika & Kaelonnah
1A,9.96,6.8,NA,Erika & Kaelonnah
1A,9.11,4.7,NA,Erika & Kaelonnah
1A,10.35,3.05,NA,Erika & Kaelonnah
1A,8.55,2.8,NA,Erika & Kaelonnah
1A,9.53,3.35,NA,Erika & Kaelonnah
1A,7.45,5.15,NA,Erika & Kaelonnah
1A,10.62,9.5,NA,Erika & Kaelonnah
1A,9.56,7.9,NA,Erika & Kaelonnah
1A,10.14,8.7,NA,Erika & Kaelonnah
1A,10.4,7,NA,Erika & Kaelonnah
1A,11.37,8.5,NA,Erika & Kaelonnah
1A,9.42,8.75,NA,Erika & Kaelonnah
1A,11.14,5.3,NA,Erika & Kaelonnah
1A,11.34,8.9,NA,Erika & Kaelonnah
1A,10.61,9.2,NA,Erika & Kaelonnah
1A,6.97,5.55,NA,Erika & Kaelonnah
1A,9.41,5.45,NA,Erika & Kaelonnah
1A,10.88,6.3,NA,Erika & Kaelonnah
1A,10,6.3,NA,Erika & Kaelonnah
1A,6.8,NA,NA,Erika & Kaelonnah
1A,11.47,NA,NA,Erika & Kaelonnah
1A,10.26,NA,NA,Erika & Kaelonnah
1A,9.22,NA,NA,Erika & Kaelonnah
1A,9.72,NA,NA,Erika & Kaelonnah
1A,11.13,NA,NA,Erika & Kaelonnah
1A,11.04,NA,NA,Erika & Kaelonnah
1A,10.43,NA,NA,Erika & Kaelonnah
1A,10.71,NA,NA,Erika & Kaelonnah
1A,9.4,NA,NA,Erika & Kaelonnah
1A,11.63,NA,NA,Erika & Kaelonnah
1A,9.89,NA,NA,Erika & Kaelonnah
1A,11.35,NA,NA,Erika & Kaelonnah
1A,11.09,NA,NA,Erika & Kaelonnah
1A,11.52,NA,NA,Erika & Kaelonnah
1A,11.48,NA,NA,Erika & Kaelonnah
1A,10.06,NA,NA,Erika & Kaelonnah
1A,9.36,NA,NA,Erika & Kaelonnah
2A,7.78,1.4,NA,Brett & Emmet
2A,8.26,7.1,NA,Brett & Emmet
2A,11.32,5.2,NA,Brett & Emmet
2A,9.76,7.9,NA,Brett & Emmet
2A,10.5,5.4,NA,Brett & Emmet
2A,9.74,7.7,NA,Brett & Emmet
2A,11.1,8.1,NA,Brett & Emmet
2A,11.53,6.8,NA,Brett & Emmet
2A,11.12,5.5,NA,Brett & Emmet
2A,10.65,4,NA,Brett & Emmet
2A,7.45,5.7,NA,Brett & Emmet
2A,8.29,4.8,NA,Brett & Emmet
2A,10.82,4.8,NA,Brett & Emmet
2A,7.42,6.3,NA,Brett & Emmet
2A,10.51,9.2,NA,Brett & Emmet
2A,10.68,8.4,NA,Brett & Emmet
2A,9.94,7,NA,Brett & Emmet
2A,9.74,4.5,NA,Brett & Emmet
2A,7.99,7.9,NA,Brett & Emmet
2A,9.03,6.5,NA,Brett & Emmet
2A,8.93,7.6,NA,Brett & Emmet
2A,13.1,9.4,NA,Brett & Emmet
2A,11.9,4.1,NA,Brett & Emmet
2A,11.58,3.6,NA,Brett & Emmet
2A,12.07,3.9,NA,Brett & Emmet
2A,12.67,3.6,NA,Brett & Emmet
2A,11.68,3,NA,Brett & Emmet
2A,10.72,4.6,NA,Brett & Emmet
2A,10.06,3.4,NA,Brett & Emmet
2A,10.08,5.3,NA,Brett & Emmet
2A,9.82,6.1,NA,Brett & Emmet
2A,11.32,6.2,NA,Brett & Emmet
2A,9.39,7.9,NA,Brett & Emmet
2A,9.71,9.8,NA,Brett & Emmet
2A,9.67,8.2,NA,Brett & Emmet
2A,NA,7.5,NA,Brett & Emmet
2A,NA,8.2,NA,Brett & Emmet
2A,NA,8.1,NA,Brett & Emmet
2A,NA,6.6,NA,Brett & Emmet
2A,NA,7.5,NA,Brett & Emmet
2A,NA,6,NA,Brett & Emmet
2A,NA,6.4,NA,Brett & Emmet
2A,NA,7.8,NA,Brett & Emmet
2A,NA,6.1,NA,Brett & Emmet
2A,NA,6.7,NA,Brett & Emmet
2A,NA,7.2,NA,Brett & Emmet
2A,NA,6.6,NA,Brett & Emmet
2A,NA,6.8,NA,Brett & Emmet
2A,NA,6.2,NA,Brett & Emmet
2A,NA,7.2,NA,Brett & Emmet
2A,NA,7.2,NA,Brett & Emmet
S4,12.2,10,58,Brett & Emmet
S4,9.45,9.8,NA,Brett & Emmet
S4,8.22,9.6,NA,Brett & Emmet
S4,10.08,9.5,NA,Brett & Emmet
S4,10.34,9.9,NA,Brett & Emmet
S4,8.91,12.4,NA,Brett & Emmet
S4,10.08,11.3,NA,Brett & Emmet
S4,7.62,10.6,NA,Brett & Emmet
S4,10.34,11.4,NA,Brett & Emmet
S4,11.2,10.2,NA,Brett & Emmet
S4,10.32,9.4,NA,Brett & Emmet
S4,9.8,11.3,NA,Brett & Emmet
S4,11.77,11.4,NA,Brett & Emmet
S4,10.35,6.4,NA,Brett & Emmet
S4,10.6,11.3,NA,Brett & Emmet
S4,13.39,9.4,NA,Brett & Emmet
S4,12.09,11.7,NA,Brett & Emmet
S4,12.42,8.7,NA,Brett & Emmet
S4,9.41,10.9,NA,Brett & Emmet
S4,8.34,10.4,NA,Brett & Emmet
S4,11.38,8.7,NA,Brett & Emmet
S4,10.89,11.3,NA,Brett & Emmet
S4,13.81,10.4,NA,Brett & Emmet
S4,9.06,9.9,NA,Brett & Emmet
S4,12.03,10,NA,Brett & Emmet
S4,12.84,10,NA,Brett & Emmet
S4,12.53,10.8,NA,Brett & Emmet
S4,10.21,10.1,NA,Brett & Emmet
S4,11.5,10.2,NA,Brett & Emmet
S4,NA,11.4,NA,Brett & Emmet
3A,10,1.8,1,"Kayla O'Marra, Lindsay Koch"
3A,10,2.1,NA,"Kayla O'Marra, Lindsay Koch"
3A,12.4,1.8,NA,"Kayla O'Marra, Lindsay Koch"
3A,10.5,2.2,NA,"Kayla O'Marra, Lindsay Koch"
3A,12.5,1.9,NA,"Kayla O'Marra, Lindsay Koch"
3A,12,3,NA,"Kayla O'Marra, Lindsay Koch"
3A,10.5,2.1,NA,"Kayla O'Marra, Lindsay Koch"
3A,8.9,2.4,NA,"Kayla O'Marra, Lindsay Koch"
3A,10.9,4.1,NA,"Kayla O'Marra, Lindsay Koch"
3A,8.2,6.3,NA,"Kayla O'Marra, Lindsay Koch"
3A,9.2,8.4,NA,"Kayla O'Marra, Lindsay Koch"
3A,10.2,4.4,NA,"Kayla O'Marra, Lindsay Koch"
3A,9.5,5.3,NA,"Kayla O'Marra, Lindsay Koch"
3A,10.7,2.6,NA,"Kayla O'Marra, Lindsay Koch"
3A,11.1,3.4,NA,"Kayla O'Marra, Lindsay Koch"
3A,10.7,3.1,NA,"Kayla O'Marra, Lindsay Koch"
3A,11.6,1.8,NA,"Kayla O'Marra, Lindsay Koch"
3A,10.5,2.2,NA,"Kayla O'Marra, Lindsay Koch"
3A,10.1,3.9,NA,"Kayla O'Marra, Lindsay Koch"
3A,10.4,1.1,NA,"Kayla O'Marra, Lindsay Koch"
3A,12.1,4.1,NA,"Kayla O'Marra, Lindsay Koch"
3A,11.3,2,NA,"Kayla O'Marra, Lindsay Koch"
3A,11.8,1.7,NA,"Kayla O'Marra, Lindsay Koch"
3A,11,1.9,NA,"Kayla O'Marra, Lindsay Koch"
3A,12.2,3.5,NA,"Kayla O'Marra, Lindsay Koch"
3A,10.1,1.8,NA,"Kayla O'Marra, Lindsay Koch"
3A,11.9,2,NA,"Kayla O'Marra, Lindsay Koch"
3A,8.6,4.6,NA,"Kayla O'Marra, Lindsay Koch"
3A,11,1.7,NA,"Kayla O'Marra, Lindsay Koch"
3A,11.4,7.2,NA,"Kayla O'Marra, Lindsay Koch"
3A,8.7,2.1,NA,"Kayla O'Marra, Lindsay Koch"
3A,12.1,1.9,NA,"Kayla O'Marra, Lindsay Koch"
3A,11.4,1.8,NA,"Kayla O'Marra, Lindsay Koch"
