Site,Height,Flowers_fruits
Colony,230,5
Colony,209,19
Colony,202,9
Colony,220,1
Colony,127,1
Colony,167,1
Colony,250,2
Colony,180,3
Colony,224,3
Colony,220,9
Colony,215,9
Colony,182,5
Colony,260,17
Colony,235,17
Colony,215,12
Colony,237,7
Colony,227,5
Colony,135,3
Colony,160,3
Colony,188,5
Colony,220,9
Colony,250,7
Colony,230,5
Colony,300,11
Colony,260,8
Colony,123,2
Colony,250,10
Colony,124,1
Outside,190,2
Outside,121,2
Outside,115,1
Outside,117,1
Outside,147,1
Outside,200,1
Outside,135,2
Outside,221,4
Outside,120,2
Outside,163,2
Outside,90,2
Outside,171,3
Outside,135,3
Outside,225,2
Outside,168,7
Outside,173,1
Outside,207,1
Outside,186,2
Outside,181,12
Outside,152,1
