name,hab,mi_hab,plant,predated,total
Kenz,for,wood_debris,Spice_bush,0,10
Kenz,for,wood_debris,Berberis,0,10
Kenz,for,wood_debris,Tulip_tree,0,10
Kenz,for,wood_debris,Pokeweed,0,10
Kenz,for,wood_debris,Devils_club,0,10
Kenz,for,cover,Spice_bush,0,10
Kenz,for,cover,Berberis,0,10
Kenz,for,cover,Tulip_tree,0,10
Kenz,for,cover,Pokeweed,0,10
Kenz,for,cover,Devils_club,0,10
Kenz,suc,wood_debris,Spice_bush,0,10
Kenz,suc,wood_debris,Berberis,10,10
Kenz,suc,wood_debris,Tulip_tree,0,10
Kenz,suc,wood_debris,Pokeweed,0,10
Kenz,suc,wood_debris,Devils_club,10,10
Kenz,suc,cover,Spice_bush,0,10
Kenz,suc,cover,Berberis,10,10
Kenz,suc,cover,Tulip_tree,0,10
Kenz,suc,cover,Pokeweed,0,10
Kenz,suc,cover,Devils_club,10,10
Miranda,for,wood_debris,Spice_bush,10,10
Miranda,for,wood_debris,Berberis,0,10
Miranda,for,wood_debris,Tulip_tree,0,10
Miranda,for,wood_debris,Pokeweed,0,10
Miranda,for,wood_debris,Devils_club,0,10
Miranda,for,cover,Spice_bush,2,10
Miranda,for,cover,Berberis,0,5
Miranda,for,cover,Tulip_tree,0,10
Miranda,for,cover,Pokeweed,0,10
Miranda,for,cover,Devils_club,0,10
Miranda,suc,wood_debris,Spice_bush,0,10
Miranda,suc,wood_debris,Berberis,1,8
Miranda,suc,wood_debris,Tulip_tree,1,10
Miranda,suc,wood_debris,Pokeweed,0,10
Miranda,suc,wood_debris,Devils_club,0,10
Miranda,suc,cover,Spice_bush,0,10
Miranda,suc,cover,Berberis,0,10
Miranda,suc,cover,Tulip_tree,0,10
Miranda,suc,cover,Pokeweed,1,10
Miranda,suc,cover,Devils_club,0,10
Stas,for,wood_debris,Spice_bush,0,10
Stas,for,wood_debris,Berberis,0,10
Stas,for,wood_debris,Tulip_tree,0,10
Stas,for,wood_debris,Pokeweed,0,10
Stas,for,wood_debris,Devils_club,0,10
Stas,for,cover,Spice_bush,1,10
Stas,for,cover,Berberis,0,10
Stas,for,cover,Tulip_tree,0,10
Stas,for,cover,Pokeweed,0,10
Stas,for,cover,Devils_club,0,10
Stas,suc,wood_debris,Spice_bush,6,10
Stas,suc,wood_debris,Berberis,0,10
Stas,suc,wood_debris,Tulip_tree,0,10
Stas,suc,wood_debris,Pokeweed,0,10
Stas,suc,wood_debris,Devils_club,0,10
Stas,suc,cover,Spice_bush,0,10
Stas,suc,cover,Berberis,0,10
Stas,suc,cover,Tulip_tree,0,10
Stas,suc,cover,Pokeweed,0,10
Stas,suc,cover,Devils_club,0,10
Devon,suc,cover,Spice_bush,5,10
Devon,suc,cover,Berberis,0,10
Devon,suc,cover,Tulip_tree,0,10
Devon,suc,cover,Pokeweed,0,10
Devon,suc,cover,Devils_club,10,10
Devon,suc,cover,Spice_bush,1,10
Devon,suc,cover,Berberis,0,10
Devon,suc,cover,Tulip_tree,0,10
Devon,suc,cover,Pokeweed,0,10
Devon,suc,cover,Devils_club,0,10
Devon,suc,wood_debris,Spice_bush,0,10
Devon,suc,wood_debris,Berberis,0,10
Devon,suc,wood_debris,Tulip_tree,0,10
Devon,suc,wood_debris,Pokeweed,0,10
Devon,suc,wood_debris,Devils_club,0,10
Devon,suc,wood_debris,Spice_bush,1,10
Devon,suc,wood_debris,Berberis,0,10
Devon,suc,wood_debris,Tulip_tree,0,10
Devon,suc,wood_debris,Pokeweed,0,10
Devon,suc,wood_debris,Devils_club,0,10
marisa,suc,wood_debris,Spice_bush,10,10
marisa,suc,wood_debris,Devils_club,0,10
marisa,suc,wood_debris,Pokeweed,0,10
marisa,suc,wood_debris,Tulip_tree,0,10
marisa,suc,wood_debris,Berberis,5,10
marisa,suc,cover,Berberis,0,10
marisa,suc,cover,Tulip_tree,0,10
marisa,suc,cover,Pokeweed,0,10
marisa,suc,cover,Devils_club,0,10
marisa,suc,cover,Spice_bush,0,10
