distance,Area,Effort,Region.Label
3,80000,20,Savannah
3,80000,20,Savannah
3.05,80000,20,Savannah
3.1,80000,20,Savannah
3.15,80000,20,Savannah
3.15,80000,20,Savannah
3.2,80000,20,Savannah
3.21,80000,20,Savannah
3.3,80000,20,Savannah
3.4,80000,20,Savannah
3.6,80000,20,Savannah
3.74,80000,20,Savannah
3.8,80000,20,Savannah
4,80000,20,Savannah
4,80000,20,Savannah
4.47,80000,20,Savannah
4.55,80000,20,Savannah
5,80000,20,Savannah
5,80000,20,Savannah
5.45,80000,20,Savannah
5.5,80000,20,Savannah
5.67,80000,20,Savannah
5.9,80000,20,Savannah
6.38,80000,20,Savannah
6.65,80000,20,Savannah
6.85,80000,20,Savannah
6.9,80000,20,Savannah
7,80000,20,Savannah
7.15,80000,20,Savannah
7.2,80000,20,Savannah
7.5,80000,20,Savannah
7.7,80000,20,Savannah
8.3,80000,20,Savannah
9.32,80000,20,Savannah
9.4,80000,20,Savannah
9.7,80000,20,Savannah
