Site,Treatment,N Rows,totalB,richB,div_hB,Treat2,abundS,richS,div_hS,richP,abundP,div_hP,plantnum,bird.rich.percap,Acnistus_arborescens,Capsicum_baccatum,Casearia_sylvestris,Trema_micrantha,total.pulp.mass.avg.,Grass,phylo_rank,spp_rich_treat,total.visits_selected,rich_selected,div_H_selected,PD
01JM1,AcnArb,60,18,10,2.168155236,Intra,168,10,1.4320448497,1,1,0,24,0.4166666667,290,,,,88.691666667,5,1,1,12,7,1.8636799873,0
01JM1,AcnArb&CapBac,30,26,13,2.3952741797,Hetero.same,69,8,1.5566494161,7,11,1.6663325853,12,1.0833333333,627,255.71428571,,,227.50635714,25,2,2,24,12,2.3010918738,0.143088167
01JM1,AcnArb&CasDec,120,39,17,2.6280235297,Hetero.diff,270,13,1.8053173928,2,2,0.6931471806,12,1.4166666667,230.71428571,,,,70.560119048,10,3,2,34,14,2.4200841181,0.260444172
01JM1,AcnArb&CasSyl,120,9,6,1.735126457,Hetero.diff,275,8,1.4895095633,6,11,1.5403058252,12,0.5,558.25,,60,,171.84745833,25,3,2,9,6,1.735126457,0.257457838
01JM1,AcnArb&CelIgu,120,4,3,1.0397207708,Hetero.diff,181,10,1.2461900638,2,4,0.5623351446,12,0.25,243.75,,,,74.546875,10,3,2,4,3,1.0397207708,0.254788341
01JM1,AcnArb&TreMic,120,46,10,1.8570567221,Hetero.diff,298,27,1.9621775818,8,17,1.9054200431,12,0.8333333333,216.66666667,,,1394.4444444,96.012037037,2,3,2,44,9,1.7544941644,0.25403638
01JM1,All,10,8,6,1.7328679514,Hetero.All,205,9,0.8051824954,1,1,0,4,1.5,153.75,106.15384615,,232.85714286,66.82980174,10,6,6,8,6,1.7328679514,0.431177611
01JM1,CapBac,60,28,10,2.1536156508,Intra,501,15,2.0140533519,0,0,0,24,0.4166666667,,651.47058824,,,91.075588235,5,1,1,26,9,2.0421660111,0
01JM1,CapBac&CasDec,120,8,4,1.3208883431,Hetero.diff,456,14,1.9879641355,2,3,0.6365141683,12,0.3333333333,,560,,,78.288,15,3,2,8,4,1.3208883431,0.270719892
01JM1,CapBac&CasSyl,120,13,8,1.9915093614,Hetero.diff,301,7,0.989327216,3,4,1.0397207708,12,0.6666666667,,432.14285714,50,,61.343571429,10,3,2,13,8,1.9915093614,0.267733558
01JM1,CapBac&CelIgu,120,15,6,1.5821699429,Hetero.diff,342,10,1.2474469263,0,0,0,12,0.5,,308.57142857,,,43.138285714,10,3,2,14,5,1.432757053,0.265064061
01JM1,CapBac&TreMic,120,22,9,1.9439981772,Hetero.diff,537,11,1.5987477253,4,5,1.3321790402,12,0.75,,218.27272727,,200,34.781193939,30,3,2,15,8,1.9338099989,0.2643121
01JM1,CasDec,60,0,0,0,Intra,216,7,0.9813404969,5,9,1.3030924038,24,0,,,,,0,2,1,1,0,0,0,0
01JM1,CasDec&CasSyl,30,15,8,1.8989267893,Hetero.same,308,11,1.3866187989,0,0,0,12,0.6666666667,,,850,,15.81,20,2,2,14,7,1.7721393884,0.141899453
01JM1,CasDec&CelIgu,120,5,3,1.054920168,Hetero.diff,0,0,0,2,3,0.6365141683,12,0.25,,,,,0,1,3,2,5,3,1.054920168,0.244484426
01JM1,CasDec&TreMic,120,52,19,2.5859785846,Hetero.diff,715,26,1.2243998883,6,9,1.5810937502,12,1.5833333333,,,,760,16.213333333,0,3,2,45,16,2.4078492142,0.243732464
01JM1,CasSyl,60,14,9,2.0449311748,Intra,415,11,0.7621375703,0,0,0,24,0.375,,,1150,,21.39,52,1,1,12,7,1.7917594692,0
01JM1,CasSyl&CelIgu,120,0,0,0,Hetero.diff,159,8,1.0073511668,2,3,0.6365141683,12,0,,,,,0,15,3,2,0,0,0,0.241498092
01JM1,CasSyl&TreMic,120,26,14,2.4713804864,Hetero.diff,157,14,1.9107752621,2,7,0.4101163183,12,1.1666666667,,,,511.81818182,10.918787879,1,3,2,25,13,2.4006911311,0.24074613
01JM1,CelIgu,60,10,6,1.6957425342,Intra,378,9,1.2823671856,2,3,0.6365141683,24,0.25,,,,,0,20,1,1,8,5,1.4941751383,0
01JM1,CelIgu&TreMic,30,32,14,2.2966095689,Hetero.same,286,18,2.0605063276,2,2,0.6931471806,12,1.1666666667,,,,992.35294118,21.170196078,2,2,2,30,13,2.217780709,0.166769626
