Site,Treatment,Treat2,Plot,plant_sp,N Rows,Grass,Height.avg,Diameter,Fruit.number,Fruit.per.ind,Visits,Visits.per.ind,n.seeds_avg,sum.seeds,seeds.per.ind,Div_treat,logHeight,LogDiam,root_grass,log_fruit_percapita
01JM1,AcnArb,Intra,11,Acnistus_arborescens,4,5,232.6666667,97.23,290,12.08333333,6,0.25,12.57894737,239,9.958333333,1,5.453895599,4.587311668,2.236067977,2.571339156
01JM1,AcnArb&CapBac,Hetero.same,17,Acnistus_arborescens,4,25,364.6666667,148.62,627,52.25,14,1.166666667,11.90909091,131,10.91666667,2,5.901722172,5.008098746,5,3.974997805
01JM1,AcnArb&CapBac,Hetero.same,17,Capsicum_baccatum,0,25,123,0,255.7142857,21.30952381,1,0.083333333,23.42857143,164,13.66666667,2,4.820281566,0,5,3.105013664
01JM1,AcnArb&CasDec,Hetero.diff,5,Acnistus_arborescens,4,10,209.6666667,81.82,230.7142857,19.22619048,11,0.916666667,24.70588235,420,35,2,5.350277106,4.416669578,3.16227766,3.006978323
01JM1,AcnArb&CasSyl,Hetero.diff,19,Acnistus_arborescens,4,25,294.6666667,146,558.25,46.52083333,8,0.666666667,23.15789474,440,36.66666667,2,5.689232694,4.990432587,5,3.861168211
01JM1,AcnArb&CasSyl,Hetero.diff,19,Casearia_sylvestris,4,25,112.6666667,30.8175,60,5,0,0,0,0,0,2,4.733270189,3.460016453,5,1.791759469
01JM1,AcnArb&CelIgu,Hetero.diff,22,Acnistus_arborescens,4,10,304,120.5025,243.75,20.3125,4,0.333333333,12.8125,205,17.08333333,2,5.720311777,4.799934839,3.16227766,3.059293755
01JM1,AcnArb&CelIgu,Hetero.diff,22,Celtis_iguanaea,4,10,255,53.01,0,0,0,0,0,0,0,2,5.545177444,3.989169215,3.16227766,0
01JM1,AcnArb&TreMic,Hetero.diff,15,Acnistus_arborescens,3,2,368,114.76,216.6666667,18.05555556,0,0,1.5,3,0.25,2,5.910796644,4.751519082,1.414213562,2.947358689
01JM1,AcnArb&TreMic,Hetero.diff,15,Trema_micrantha,4,2,463.3333333,72.6325,1394.444444,116.2037037,26,2.166666667,32.42105263,616,51.33333333,2,6.140602685,4.299086504,1.414213562,4.763913478
01JM1,All,Hetero.All,12,Acnistus_arborescens,4,10,260.6666667,135.33,153.75,38.4375,5,1.25,22.875,183,45.75,6,5.567071429,4.915078417,3.16227766,3.67471714
01JM1,All,Hetero.All,12,Capsicum_baccatum,4,10,137.3333333,26.9225,106.1538462,26.53846154,0,0,23.88888889,215,53.75,6,4.929666231,3.329432815,3.16227766,3.315583629
01JM1,All,Hetero.All,12,Casearia_sylvestris,4,10,87.33333333,31.9225,0,0,0,0,0,0,0,6,4.481117537,3.494156315,3.16227766,0
01JM1,All,Hetero.All,12,Celtis_iguanaea,3,10,126.6666667,46.65666667,0,0,0,0,0,0,0,6,4.849422701,3.864022529,3.16227766,0
01JM1,All,Hetero.All,12,Trema_micrantha,3,10,188.3333333,53.16333333,232.8571429,58.21428571,2,0.5,19.2,96,24,6,5.24350913,3.992004173,3.16227766,4.081162826
01JM1,CapBac,Intra,9,Capsicum_baccatum,3,5,172.6666667,43.14666667,651.4705882,27.14460784,14,0.583333333,54.94736842,1044,43.5,1,5.157137753,3.787517424,2.236067977,3.337355785
01JM1,CapBac&CasDec,Hetero.diff,20,Capsicum_baccatum,4,15,155,57.4025,560,46.66666667,5,0.416666667,55.82352941,949,79.08333333,2,5.049856007,4.067358697,3.872983346,3.864232342
01JM1,CapBac&CasSyl,Hetero.diff,21,Capsicum_baccatum,4,10,164.3333333,45.62,432.1428571,36.01190476,8,0.666666667,37,555,46.25,2,5.107963638,3.842029634,3.16227766,3.611239611
01JM1,CapBac&CasSyl,Hetero.diff,21,Casearia_sylvestris,4,10,115,24.2525,50,4.166666667,0,0,0,0,0,2,4.753590191,3.228925161,3.16227766,1.642227735
