Transect_ID,Site,Pair,SE_Status,Avg_House_Cost,Decade_Built,x_utm,y_utm,500m_Vegetation,Woody_Plants,Wild_Fruiting_Plants,Fruiting_Plants,Flowering_Plants,PRSP,GAGR,COGD,PRWO,PETH,RLTH,NOMO,GRAK,BANA,BFGR,WCPI,SNPI,ZEND,WWDO,EUCD,ANMA,GTCA,BRMA,NUMA,BAYM,RMPA,WWPA,MOPA,Bird_Rich,Bird_Rel_Abund,Bird_Shannons,Flower_Richness,Flower_Abundance,Fruit_Richness,Fruit_Abundance
1-RP-A,1-RP,A,High,218980,1950,812833,2037677,23.27481415,59,0,11,22,0.75,76.75,0,0.125,0,0.75,1.125,3.125,6.25,2.375,0.25,0.625,11.375,7.875,0.125,0,0,0,0,0,0,0,0,5.5,18.75,1.257605336,9,4846.666667,9,1374.916667
1-RP-B,1-RP,A,High,218980,1950,813008,2037309,23.27481415,79,3,12,33,0.75,38.6,0,0,2.525,0.75,0,1.25,14.325,3.5,0,0,12.375,5.25,0,0,0.25,0,0,0,0,0,0,5.666666667,16.22222222,1.522068565,11,9091.666667,11,6741.5
1-RP-C,1-RP,A,High,218980,1950,813072,2037569,23.27481415,136,5,27,62,0.6,37.2,0,0,3.375,0.6,1.375,3.125,13.9,4.9,0.225,1.075,10.675,12.15,0,0,0,0,0,0.2,0.2,0,1.2,7.333333333,20.88888889,1.71452957,10.5,44607.25,10.5,8740
2-RP-A,2-RP,A,Low,124160,1970,813558,2037281,11.06247533,52,8,5,31,0,41,1.125,0,0.5,0,0.75,1.875,4.5,5.5,0,0,14.375,5.25,0.625,0,0,0,0,0,0,0,0,7.5,31.75,1.355017314,7.5,16999.25,7.5,450.6666667
2-RP-B,2-RP,A,Low,124160,1970,813599,2036909,11.06247533,42,11,4,13,0,23.33333333,0.375,0,0,0,1.375,9.666666667,0.666666667,3.541666667,0,0,6.625,5.5,0.125,0.25,0.333333333,0,0,0,0,0,0,5.428571429,14.71428571,1.433308273,3.5,5592.666667,3.5,2269.333333
2-RP-C,2-RP,A,Low,124160,1970,813470,2036919,11.06247533,65,19,12,33,1.5,44.875,0,0,2,1.5,1.125,5.375,7.25,1.25,0,1.25,5,14.25,0,0,0,0,0,0,0,0,0,6,19.75,1.508399803,8.5,5952,8.5,22820.83333
3-RP-A,3-RP,B,High,361490,1960,810187,2037316,11.14498745,44,3,5,26,0.75,15.91666667,2.916666667,0.333333333,0,0.75,2.666666667,3.25,1.916666667,6.333333333,0,0.583333333,5.666666667,4,0.083333333,0,0,0,0,0,0,0,0.25,5.166666667,10,1.390839858,7.5,11025.75,7.5,2268
3-RP-B,3-RP,B,High,361490,1960,810186,2037437,11.14498745,102,1,3,68,0.25,7.916666667,1.916666667,0,0.5,0.25,0.5,0.833333333,9.916666667,10.08333333,0,0.166666667,8.583333333,6.75,0.333333333,0,0,0,0,0,0,0,0.083333333,4.916666667,12.41666667,1.362780172,6.5,31654.125,6.5,12648
3-RP-C,3-RP,B,High,361490,1960,810177,2037551,11.14498745,78,3,13,42,0.5,17.25,1.5,0.083333333,0.333333333,0.5,2.083333333,1.666666667,4.5,9.083333333,0,0.166666667,4.333333333,9.5,0.333333333,0,0,0,0.083333333,0,0,0,0,5.833333333,12.58333333,1.51694664,6.5,19942.29167,6.5,2409.375
4-RP-A,4-RP,B,Low,172271,1960,809656,2036214,11.39015061,49,5,5,32,0.5,17.33333333,1,0,0,0.5,0.25,1.666666667,14.25,11.66666667,0,0.166666667,7.416666667,6,0,0,0,0,0,0,0,0.416666667,0,6.083333333,20.41666667,1.544613303,9,6604.166667,9,786.625
4-RP-B,4-RP,B,Low,172271,1960,809861,2036292,11.39015061,64,5,3,24,0.5,19.91666667,1.5,0,0.75,0.5,0,0,1,6.833333333,0,0.166666667,6.416666667,10.75,0,0.166666667,0,0.333333333,0,0,0,0.166666667,0,4.916666667,11.41666667,1.33824565,8,20849.58333,8,1378.75
4-RP-C,4-RP,B,Low,172271,1960,809817,2036064,11.39015061,56,11,11,41,1.25,52.16666667,1.75,0,0.333333333,1.25,1.833333333,2.083333333,6.916666667,5.916666667,0,0,2.583333333,31.66666667,0.083333333,0,0,0,0,0,0,0.083333333,0,6,24.16666667,1.227074253,10.5,7084.958333,10.5,389.9583333
7-GUA-A,7-GUA,C,High,384250,1970,806307,2037004,5.716619126,46,8,6,21,0,31,2.125,0.125,0.25,0,1.875,1.25,3.5,5.5,0,1.75,10.625,4.125,0,0,0.25,0,0,0,0,0,0,7,12.75,1.470463542,6,1165.25,6,17.5
7-GUA-B,7-GUA,C,High,384250,1970,806268,2036892,5.716619126,120,0,10,29,0.75,68.625,2.125,0,0.25,0.75,1.5,0,5.375,4.25,0.375,0.25,5.75,4.125,0,0,0,0,0,0.25,0,0,0,5.625,16,1.171724332,8,4734.541667,8,6.5
7-GUA-C,7-GUA,C,High,384250,1970,806046,2036978,5.716619126,42,2,1,9,0,16,0.75,0,0.5,0,0.75,1.25,4.875,4.75,0,0.5,0.625,1.875,0,0,0.25,0,0,0,0,0,0,4.125,6.5,1.125358911,8,811.125,8,28.125
8-GUA-A,8-GUA,C,Low,151889,1960,807093,2036254,12.53553613,80,9,5,32,1.125,12,0,0.125,0.25,1.125,0.375,1.25,5.625,6.625,0,0,4.625,4.5,1.125,0,0.75,0,0,0,0,0,0,7.25,19.375,1.559052011,10,3246.25,10,1393.083334
8-GUA-B,8-GUA,C,Low,151889,1960,807176,2036187,12.53553613,62,9,3,27,1.125,25,2.875,0,0,1.125,1.125,0,11,11.25,0,0,9.75,4.875,4.75,0,0,0,0,0,0,0,0,7.375,21.875,1.772538546,10.5,1866.291667,10.5,288.3333333
8-GUA-C,8-GUA,C,Low,151889,1960,807263,2036115,12.53553613,52,11,1,32,0.75,53.625,1.875,0.375,0.5,0.75,0,1.25,6,4.875,0,0,4.625,3.375,1,0,0,0,0,0.25,0,0,0,5.875,18.75,1.374715877,7.5,9106.416667,7.5,163.6666667
9-BAY-A,9-BAY,D,High,477800,1990,795629,2032979,19.71150741,114,1,3,42,0,11.8,0.3,0,0,0,2.55,2.125,7.45,1,0,0,6.25,4.95,0,0,0,0,0,0,0,0,0,4.555555556,8.555555556,1.275986589,4.5,28625.875,4.5,54.625
9-BAY-B,9-BAY,D,High,477800,1990,795509,2033024,19.71150741,78,0,15,21,1.125,11,0.6,0,0,1.125,1.275,0.625,2.475,5.4,0,0,7.25,5.25,0,0.2,0,0,0,0,0,0.625,0,4.666666667,8.777777778,1.230931071,6,6936.333333,6,131.6666667
9-BAY-C,9-BAY,D,High,477800,1990,795390,2033070,19.71150741,74,2,4,34,0.675,12.8,5.1,0,0,0.675,1.125,2.375,2.1,5.25,0,0.25,10.475,5.175,0,0.2,0,0,0,0,0,0,0,6.555555556,11.44444444,1.605900721,4.5,8741.333333,4.5,555.3333334
10-BAY-A,10-BAY,D,Low,144820,1970,796275,2034002,12.11928894,113,1,21,42,2.25,18,0.75,0,0,2.25,1.125,4.375,10.25,6.625,0.125,0,10,3,0.5,0,0,0,0,0,0,0,0,6.25,12.75,1.566780644,10,2558.541667,10,247.125
10-BAY-B,10-BAY,D,Low,144820,1970,796245,2033884,12.11928894,75,4,22,21,0,6,1.75,0,0,0,2.875,3.125,4.375,9.125,0.25,0,9.25,5.625,0.125,0,0,0,0,0,0,0,0,5,10,1.40961265,6.5,2343.966667,6.5,82
10-BAY-C,10-BAY,D,Low,144820,1970,796221,2033763,12.11928894,58,2,7,14,1.125,12,0,0,0,1.125,1.125,1.875,3.5,8,0.25,0,1.875,8.25,0,0,0,0,0,0,0,0,0,4,9.125,1.070447221,7,370.525,7,2111.25
11-BAY-A,11-BAY,E,High,268649,1990,795474,2035453,20.20836859,57,2,2,25,1.125,16.875,1.125,0,0,1.125,0.5,3.75,5.791666667,4.166666667,0,0,12.20833333,3.5,0,0.25,0,0,0,0,0,0,0,5.571428571,10.85714286,1.447712044,4.5,6788.208333,4.5,176.875
11-BAY-B,11-BAY,E,High,268649,1990,795487,2035321,20.20836859,52,2,5,11,0,19.83333333,0.875,0,0,0,1.125,3.75,2.541666667,2.5,0,0,5.75,2.625,0,0,0,0,0,0,0,0,0,4.428571429,7.571428571,1.116632774,5,911,5,0
11-BAY-C,11-BAY,E,High,268649,1990,795497,2035190,20.20836859,62,2,6,24,0,43.33333333,0,0,0,0,1.75,4.166666667,6.333333333,6.125,0.25,0,8,11.125,0,0,0,0,0,0,0,0,0,5.571428571,16.71428571,1.314391279,6.5,5378.083333,6.5,761.9166667
12-BAY-A,12-BAY,E,Low,135000,1970,795438,2036136,26.369434,32,1,5,9,0.375,14,0,0,0,0.375,0.75,3.125,3.25,2.875,0,0,5.75,7.875,0,0,0,0,0,0,0,0,0,5.25,9.125,1.308781907,5.5,256.9166667,5.5,25.83333334
12-BAY-B,12-BAY,E,Low,135000,1970,795382,2035869,26.369434,0,0,0,9,0.375,21,0,0,0,0.375,0.75,7.5,3,3,0,0,13.25,8.625,0,0,0,0,0,0,0,0,0,6.25,12.375,1.526610623,8,10.16666667,8,100
12-BAY-C,12-BAY,E,Low,135000,1970,795461,2035971,26.369434,37,3,2,13,0.75,23.875,3,0,0,0.75,1.5,3.125,0,7.625,0,0,9.75,6,0,0,0,0,0,0,0,0,0,5.875,11.375,1.447229227,9,341.2083333,9,1503.208333
13-BAY-A,13-BAY,F,High,252517,1990,796836,2036073,23.06218506,66,0,15,20,0.3,73.2,0,0.4,0,0.3,0.3,1,1.2,3.8,0,0,8.7,3.9,0,0.2,0,0,0,0,0,0,0,5.1,14.8,0.996262192,4,603.4666667,4,20.5
13-BAY-B,13-BAY,F,High,252517,1990,796964,2036138,23.06218506,74,0,6,16,0,25.2,2.875,0,0,0,1.625,1.625,2.8,1.125,0,0,11.6,6.15,0,0.75,0,0,0,0,0,0,0,5.222222222,11.44444444,1.227196378,9,1279.7,9,36
13-BAY-C,13-BAY,F,High,252517,1990,797097,2036179,23.06218506,53,0,6,18,0.3,56,0,0,0,0.3,1.6,3.4,2.4,1.9,0,0,12.4,3.3,0,0,0,0,0,0,0,0,0,4.6,13.5,1.168380667,5,2616.533333,5,7.5
14-BAY-A,14-BAY,F,Low,152225,1960,798144,2035658,9.096257204,67,3,15,55,0.375,64.55,0.6,0,0,0.375,0.3,2.875,2.1,1.5,0,0,11.35,8.025,0,0,0,0,0,0,0,0,0,5.777777778,19.44444444,1.370075157,6,546.3,6,70
14-BAY-B,14-BAY,F,Low,152225,1960,798320,2035707,9.096257204,110,10,23,33,0.375,6.4,0,0,0,0.375,0.975,1.125,4.075,6.425,0.25,0,6.125,7.8,0,0,0,0,0,0,0,0,0,3.777777778,8.444444444,1.003008942,10,11335.225,10,1690.8
14-BAY-C,14-BAY,F,Low,152225,1960,798420,2035628,9.096257204,72,2,12,28,0,8.6,1.65,0.1,0.2,0,1.3,1.625,4.2,2.4,0,0,5.6,11.625,0,0,0,0,0,0,0,0.25,0,4.888888889,11.77777778,1.323791798,7,6228.2,7,1045.625
15-LEV-A,15-LEV,G,High,318218,1980,799674,2041397,25.90622989,47,2,5,49,0.3,21.5,0,0,0,0.3,0.9,1.5,4.5,0.5,0,0,6.9,1.8,0,0,0,0,0.3,0,0,0.2,0.1,3.9,7.7,0.886830198,6.5,5482.25,6.5,1945.55
15-LEV-B,15-LEV,G,High,318218,1980,799726,2041231,25.90622989,92,2,13,40,0.3,47,2.3,0,0,0.3,0,1,1.1,2.5,0,0,2,0.9,0,0,0,0,0,0,0,0,0,3.9,10.2,0.981650564,5.5,19803.89167,5.5,16595.91667
15-LEV-C,15-LEV,G,High,318218,1980,799828,2041050,25.90622989,71,3,11,17,1.5,35.2,0.6,0.1,0.2,1.5,2.5,4.5,1.2,5.8,0,0,7,5.1,0,0,0.2,0,0,0,0,0.4,0.1,5.7,12.8,1.347066051,6.5,10495.15,6.5,11468.7
16-LEV-A,16-LEV,G,Low,174800,1960,799234,2041193,6.12095749,54,5,9,20,1.5,17,0.75,0,0,1.5,0,0,9.375,6,0,0,4,2.625,0,0,0,0,0,0,0,0,0,4.375,8.25,1.259499354,8,1361.125,8,3790.791667
16-LEV-B,16-LEV,G,Low,174800,1960,799114,2041230,6.12095749,41,2,4,14,0.375,21,3.75,0,0,0.375,2.25,0.625,4.75,7.625,0,0,9.875,4.125,0,0,0,0,0,0,0,0,0,6.25,12.25,1.595259313,7.5,533.0416667,7.5,52.5
16-LEV-C,16-LEV,G,Low,174800,1960,798997,2041227,6.12095749,39,8,3,20,0.375,8,1.125,0.125,0,0.375,0.375,1.25,6.375,3,0,0,0.625,0.75,0,0,0,0,0,0,0,0,0,3.5,5.625,1.000433515,4.5,995,4.5,250
17-LEV-A,17-LEV,H,High,265833,1970,799278,2040576,4.565790148,55,3,5,65,0.975,5.4,3.2,0,0,0.975,1.8,1.875,3.7,0.625,0,0,7.1,1.2,0,0,0,0,0,0,0,0,0,3.444444444,6.555555556,1.095786308,4,3614.333333,4,91.66666665
17-LEV-B,17-LEV,H,High,265833,1970,799223,2040272,4.565790148,180,0,23,50,0,9.2,0.675,0,0,0,0.3,0,5.375,1,0,0,17.95,3.075,0,0.2,0,0.1,0,0,0,0,0,3.444444444,8.111111111,0.994009649,7.5,10156.83333,7.5,288
17-LEV-C,17-LEV,H,High,265833,1970,799046,2040585,4.565790148,127,0,25,67,0,11.2,2.4,0.4,0,0,4.275,0,6,2.625,0,0,5.85,3.525,0,0,0,0.3,0,0,0,0,0,4.666666667,8.888888889,1.313951146,7,7406.583333,7,660.8333334
18-LEV-A,18-LEV,H,Low,168300,1960,798345,2040401,3.186864254,148,4,8,22,1.8,61.4,2.7,0,0.25,1.8,2.175,1.75,4.3,2.925,0,0,8.85,11.25,0,0,0,0,0,0,0,0,0,7.333333333,22.66666667,1.675903057,8.5,12222.125,8.5,4308.25
18-LEV-B,18-LEV,H,Low,168300,1960,798466,2040408,3.186864254,59,5,10,40,0,13.6,2.875,0,0,0,1.45,1.75,9.775,6.075,0.2,0,13.825,10.8,0,0,0.2,0,0,0,0,0,0,6.333333333,21.55555556,1.537158995,9.5,4882.825,9.5,255.5
18-LEV-C,18-LEV,H,Low,168300,1960,798584,2040400,3.186864254,97,0,12,21,0.9,5.2,1.575,0,0,0.9,2.6,1,6.1,3.65,0.2,0,6.475,6.825,0,0.2,0,0.3,0,0,0,0,0,5.555555556,9.555555556,1.447399721,12,3948.183333,12,1453
