Site,Date,Weather,Temperature,Time,Treatment,Plant,Position,Plant_Species,Height(meters),0(percent herbivory),less10(percent herbivory),10to50(percent herbivory),>greater50(percent herbivory),100(percent herbivory),herb_leaves,total_leaves,Stress,Total_Herbivory,Herbivory_not_including_100,Herbiv.AT,Plot_Classification
1JM1,27-May,sunny,67,9:00,CasSylTreMic,1,Outside,TreMic,2.4,30,10,8,3,1,21,52,No,0.127884615,0.110784314,0.127884615,Hetero.diff
1JM1,27-May,sunny,67,9:00,CasSylTreMic,1,Outside,TreMic,2.4,28,14,8,3,5,25,58,No,0.190517241,0.114150943,0.190517241,Hetero.diff
1JM1,27-May,sunny,67,9:00,CasSylTreMic,1,Outside,TreMic,2.4,6,3,3,3,4,9,19,No,0.392105263,0.23,0.392105263,Hetero.diff
1JM1,27-May,sunny,67,9:00,CasSylTreMic,2,Inside,TreMic,1.4,28,6,1,1,2,8,38,No,0.096052632,0.045833333,0.096052632,Hetero.diff
1JM1,27-May,sunny,67,9:00,CasSylTreMic,2,Inside,TreMic,1.4,51,9,5,1,2,15,68,No,0.075735294,0.047727273,0.075735294,Hetero.diff
1JM1,27-May,sunny,67,9:00,CasSylTreMic,2,Inside,TreMic,1.4,13,2,0,0,1,2,16,No,0.075,0.013333333,0.075,Hetero.diff
1JM1,27-May,sunny,70,10:23,CapBacTreMic,2,Inside,TreMic,0.5,0,0,0,0,11,0,11,No,1,0,1,Hetero.diff
1JM1,27-May,sunny,70,10:23,CapBacTreMic,2,Inside,TreMic,0.5,4,2,0,0,10,2,16,No,0.6375,0.033333333,0.6375,Hetero.diff
1JM1,27-May,sunny,70,10:23,CapBacTreMic,2,Inside,TreMic,0.5,4,4,1,0,2,5,11,No,0.245454545,0.077777778,0.245454545,Hetero.diff
1JM1,27-May,sunny,70,10:23,CapBacTreMic,4,Inside,TreMic,1.2,33,10,6,18,21,34,88,No,0.423863636,0.243283582,0.423863636,Hetero.diff
1JM1,27-May,sunny,70,10:23,CapBacTreMic,4,Inside,TreMic,1.2,4,3,0,3,2,6,12,No,0.379166667,0.255,0.379166667,Hetero.diff
1JM1,27-May,sunny,70,10:23,CapBacTreMic,4,Inside,TreMic,1.2,3,2,2,3,1,7,11,No,0.368181818,0.305,0.368181818,Hetero.diff
1JM1,27-May,sunny,79,12:50,CasDecTreMic,3,Outside,TreMic,2.8,17,8,5,5,32,18,67,No,0.567910448,0.172857143,0.567910448,Hetero.diff
1JM1,27-May,sunny,79,12:50,CasDecTreMic,3,Outside,TreMic,2.8,5,2,0,2,5,4,14,No,0.478571429,0.188888889,0.478571429,Hetero.diff
1JM1,27-May,sunny,79,12:50,CasDecTreMic,3,Outside,TreMic,2.8,81,15,8,5,29,28,138,No,0.26557971,0.070183486,0.26557971,Hetero.diff
1JM1,27-May,sunny,79,12:50,CasDecTreMic,4,Inside,TreMic,3.2,82,20,5,0,0,25,107,No,0.03271028,0.03271028,0.03271028,Hetero.diff
1JM1,27-May,sunny,79,12:50,CasDecTreMic,4,Inside,TreMic,3.2,18,3,0,0,3,3,24,No,0.1375,0.014285714,0.1375,Hetero.diff
1JM1,27-May,sunny,79,12:50,CasDecTreMic,4,Inside,TreMic,3.2,23,7,2,0,4,9,36,No,0.147222222,0.040625,0.147222222,Hetero.diff
1JM1,31-May,partly cloudy,69,15:10,All,4,Outside,TreMic,0.9,0,0,0,0,13,0,13,Yes,1,0,1,Hetero.All
