Site,Treat2,bird.abund,bird.rich,bird.div,seed.abund,seed.rich,seed-div,plant.rich,plant.abund,plant.div,bid.visists.x.degree,sum.visists.x.degree,Mean.Phyl.dist,Treat
01JM1,Control,8,4,1.255482325,73,4,1.23812751,2,2,0.693147181,12.25,49,,0.sp.
01JM1,Hetero.All,8,6,1.732867951,205,9,0.805182495,1,1,0,37.33333333,224,0.431177611,6.spp.3.fam
01JM1,Hetero.diff,19.91666667,8.25,1.684231045,307.5833333,12.33333333,1.37243391,3.25,5.666666667,0.914488381,27.37656442,249.9166667,0.255418121,2.spp.2.fam
01JM1,Hetero.same,24.33333333,11.66666667,2.196936846,221,12.33333333,1.667924848,3,4.333333333,0.786493255,26.10576923,337,0.150585749,2.spp.1.fam
01JM1,Intra,22,8.166666667,1.750042119,359.8333333,12.33333333,1.459101807,2,4.666666667,0.493273922,17.8964887,203.1666667,0,1.sp.
02JM2,Control,6,4,1.242453325,86,7,0.826773937,3,4,1.039720771,5.25,21,,0.sp.
02JM2,Hetero.All,17,7,1.823873316,126,16,2.036462682,13,38,2.120373226,14.57142857,102,0.431177611,6.spp.3.fam
02JM2,Hetero.diff,18.5,7.833333333,1.691396793,218.3333333,11.33333333,1.546209701,5.916666667,12,1.425710743,19.83520464,178.4166667,0.255418121,2.spp.2.fam
02JM2,Hetero.same,15.33333333,5.333333333,1.497871615,272.3333333,10.33333333,1.311196733,5.666666667,16,1.229260082,20.58333333,121,0.150585749,2.spp.1.fam
02JM2,Intra,17,7.333333333,1.613372486,142,8.666666667,1.190035648,3.833333333,8.166666667,1.119820621,16.48333333,157.6666667,0,1.sp.
03SS,Control,3,2,0.636514168,135,6,0.887057457,3,5,1.054920168,22,44,,0.sp.
03SS,Hetero.All,22,14,2.500138026,56,8,1.329379537,4,10,1.088899975,23.85714286,334,0.431177611,6.spp.3.fam
03SS,Hetero.diff,12.16666667,6.333333333,1.455207534,93.33333333,5.916666667,1.036509389,3.916666667,10.75,0.898226136,23.61612855,176.8333333,0.255418121,2.spp.2.fam
03SS,Hetero.same,26,8.333333333,1.889545254,67,5,0.895555252,4.666666667,8.666666667,1.385242038,20.0327381,229.6666667,0.150585749,2.spp.1.fam
03SS,Intra,11.33333333,6.166666667,1.442254527,123.6666667,4.833333333,0.624109245,2.333333333,9,0.412595818,19.25416667,135.1666667,0,1.sp.
04AJ,Control,15,7,1.748970751,41,1,0,0,0,0,16,112,,0.sp.
04AJ,Hetero.All,33,11,2.016530793,70,11,1.539554681,2,3,0.636514168,21.63636364,238,0.431177611,6.spp.3.fam
04AJ,Hetero.diff,18.33333333,7.333333333,1.721748603,90.41666667,4.166666667,0.877310979,1.833333333,2.583333333,0.536074631,21.61723647,166.75,0.255418121,2.spp.2.fam
04AJ,Hetero.same,21.33333333,8,1.836842465,45.66666667,5,1.052050019,1.666666667,3.333333333,0.334239422,20.64242424,172.6666667,0.150585749,2.spp.1.fam
04AJ,Intra,15,6,1.38086557,184.5,5.333333333,0.990962648,1.833333333,2.166666667,0.51042155,15.53989899,99.83333333,0,1.sp.
05PF1,Control,3,1,0,78,4,0.921960394,1,1,0,10,10,,0.sp.
05PF1,Hetero.All,7,4,1.277034259,74,7,1.540411535,9,19,1.913303657,31.5,126,0.431177611,6.spp.3.fam
05PF1,Hetero.diff,9.166666667,4.75,1.296651853,135.9166667,8.333333333,1.298539377,1.333333333,2.833333333,0.243423414,23.21220238,128.3333333,0.255418121,2.spp.2.fam
05PF1,Hetero.same,7.666666667,4,1.22888699,106.3333333,4.333333333,0.665451669,0.666666667,2,0.15018707,11.88888889,66.66666667,0.150585749,2.spp.1.fam
05PF1,Intra,10.83333333,3.833333333,1.121602146,78.5,6.333333333,1.167085961,1.333333333,1.5,0.356388843,23.20833333,106.5,0,1.sp.
06PF2,Control,0,0,0,23,4,0.53050963,1,1,0,0,0,,0.sp.
06PF2,Hetero.All,20,10,2.180945561,109,13,1.464473401,3,5,0.950270539,23.63636364,260,0.431177611,6.spp.3.fam
06PF2,Hetero.diff,17.25,7.416666667,1.727541324,95.41666667,7.75,1.202836818,1.666666667,1.75,0.432746404,20.99517959,186.75,0.255418121,2.spp.2.fam
06PF2,Hetero.same,14,6,1.341987634,60.33333333,6,0.722715842,0.333333333,0.333333333,0,25.5,153.3333333,0.150585749,2.spp.1.fam
06PF2,Intra,15.16666667,6.166666667,1.420942127,63.5,5.666666667,0.986693557,0.833333333,0.833333333,0,25.0782967,153.3333333,0,1.sp.
07ZM,Control,3,2,0.636514168,28,5,1.34730801,0,0,0,8.333333333,25,,0.sp.
07ZM,Hetero.All,5,3,1.054920168,38,5,1.110439427,4,4,1.386294361,35,105,0.431177611,6.spp.3.fam
