Site,Treatment,N Rows,totalB,richB,div_hB,Treat2,abundS,richS,div_hS,richP,abundP,div_hP,plantnum,bird.rich.percap,Acnistus_arborescens,Capsicum_baccatum,Casearia_sylvestris,Trema_micrantha,total.pulp.mass.avg.,Grass,phylo_rank,spp_rich_treat,total.visits_selected,rich_selected,div_H_selected,bird_degree,visits.x.degree,bird_degree 2,visits.x.degree 2,PD
01JM1,AcnArb,10,18,10,2.168155236016,Intra,168,10,1.432044849693,1,1,0,24,0.4166666667,290,,,,88.691666667,5,1,1,12,7,1.8636799873,16.1,22.2,161,222,0
01JM1,AcnArb&CapBac,13,26,13,2.3952741796702,Hetero.same,69,8,1.5566494160928,7,11,1.6663325853283,12,1.0833333333,627,255.71428571,,,227.50635714,25,2,2,24,12,2.3010918738,22.4,25.692307692,291,334,0.143088167
01JM1,AcnArb&CasDec,17,39,17,2.6280235296514,Hetero.diff,270,13,1.8053173927852,2,2,0.6931471805599,12,1.4166666667,230.71428571,,,,70.560119048,10,3,2,34,14,2.4200841181,17.0,24.117647059,289,410,0.260444172
01JM1,AcnArb&CasSyl,6,9,6,1.7351264569629,Hetero.diff,275,8,1.4895095633209,6,11,1.5403058252265,12,0.5,558.25,,60,,171.84745833,25,3,2,9,6,1.735126457,18.0,25.833333333,108,155,0.257457838
01JM1,AcnArb&CelIgu,3,4,3,1.0397207708399,Hetero.diff,181,10,1.2461900638161,2,4,0.5623351446188,12,0.25,243.75,,,,74.546875,10,3,2,4,3,1.0397207708,23.3,39,70,117,0.254788341
01JM1,AcnArb&TreMic,11,46,10,1.8570567221045,Hetero.diff,298,27,1.9621775818296,8,17,1.9054200431101,12,0.8333333333,216.66666667,,,1394.4444444,96.012037037,2,3,2,44,9,1.7544941644,20.8,47.363636364,229,521,0.25403638
01JM1,All,6,8,6,1.7328679513999,Hetero.All,205,9,0.8051824953592,1,1,0,4,1.5,153.75,106.15384615,,232.85714286,66.82980174,10,6,6,8,6,1.7328679514,33.8,37.333333333,203,224,0.431177611
01JM1,CapBac,11,28,10,2.1536156508063,Intra,501,15,2.0140533518548,0,0,0,24,0.4166666667,,651.47058824,,,91.075588235,5,1,1,26,9,2.0421660111,18.4,22.909090909,202,252,0
01JM1,CapBac&CasDec,4,8,4,1.3208883431493,Hetero.diff,456,14,1.9879641354889,2,3,0.6365141682948,12,0.3333333333,,560,,,78.288,15,3,2,8,4,1.3208883431,17.8,26.25,71,105,0.270719892
01JM1,CapBac&CasSyl,8,13,8,1.9915093613566,Hetero.diff,301,7,0.989327215982,3,4,1.0397207708399,12,0.6666666667,,432.14285714,50,,61.343571429,10,3,2,13,8,1.9915093614,23.3,27.125,186,217,0.267733558
01JM1,CapBac&CelIgu,6,15,6,1.5821699429253,Hetero.diff,342,10,1.2474469262908,0,0,0,12,0.5,,308.57142857,,,43.138285714,10,3,2,14,5,1.432757053,20.8,24.333333333,125,146,0.265064061
01JM1,CapBac&TreMic,9,22,9,1.9439981771715,Hetero.diff,537,11,1.5987477253043,4,5,1.3321790402101,12,0.75,,218.27272727,,200,34.781193939,30,3,2,15,8,1.9338099989,14.9,19.777777778,134,178,0.2643121
01JM1,CasDec,60,0,0,0,Intra,216,7,0.9813404969233,5,9,1.3030924037617,24,0,,,,,0,2,1,1,0,0,0,0.0,0,0,0,0
01JM1,CasDec&CasSyl,8,15,8,1.8989267893363,Hetero.same,308,11,1.3866187988837,0,0,0,12,0.6666666667,,,850,,15.81,20,2,2,14,7,1.7721393884,18.4,20.625,147,165,0.141899453
01JM1,CasDec&CelIgu,3,5,3,1.0549201679861,Hetero.diff,0,0,0,2,3,0.6365141682948,12,0.25,,,,,0,1,3,2,5,3,1.054920168,15.3,30,46,90,0.244484426
01JM1,CasDec&TreMic,19,52,19,2.5859785846493,Hetero.diff,715,26,1.2243998883379,6,9,1.5810937501718,12,1.5833333333,,,,760,16.213333333,0,3,2,45,16,2.4078492142,18.7,30.789473684,356,585,0.243732464
01JM1,CasSyl,9,14,9,2.0449311748496,Intra,415,11,0.7621375702869,0,0,0,24,0.375,,,1150,,21.39,52,1,1,12,7,1.7917594692,15.8,17.222222222,142,155,0
01JM1,CasSyl&CelIgu,120,0,0,0,Hetero.diff,159,8,1.0073511667576,2,3,0.6365141682948,12,0,,,,,0,15,3,2,0,0,0,0.0,0,0,0,0.241498092
01JM1,CasSyl&TreMic,14,26,14,2.4713804863596,Hetero.diff,157,14,1.910775262071,2,7,0.4101163182884,12,1.1666666667,,,,511.81818182,10.918787879,1,3,2,25,13,2.4006911311,16.6,33.928571429,232,475,0.24074613
01JM1,CelIgu,7,10,6,1.6957425341696,Intra,378,9,1.2823671855962,2,3,0.6365141682948,24,0.25,,,,,0,20,1,1,8,5,1.4941751383,10.7,10.714285714,75,75,0
01JM1,CelIgu&TreMic,16,32,14,2.2966095688965,Hetero.same,286,18,2.0605063276262,2,2,0.6931471805599,12,1.1666666667,,,,992.35294118,21.170196078,2,2,2,30,13,2.217780709,17.1,32,274,512,0.166769626
01JM1,Control,4,8,4,1.2554823251788,Control,73,4,1.2381275097109,2,2,0.6931471805599,0,,,,,,,,0,0,6,2,0.6931471806,6.5,12.25,26,49,
01JM1,TreMic,15,62,14,2.4378081208476,Intra,481,22,2.2826673898165,4,15,1.0200369584018,24,0.5833333333,,,,855,18.24,1,1,1,53,12,2.2591252211,19.7,34.333333333,296,515,0
02JM2,AcnArb,12,23,12,2.3814841921302,Intra,197,9,1.2750470894444,5,9,1.3030924037617,24,0.5,325,,,,99.395833333,30,1,1,16,9,2.1006789213,20.2,24.166666667,242,290,0
02JM2,AcnArb&CapBac,7,12,7,1.7481554572477,Hetero.same,251,11,1.7438014724997,10,22,1.9639083398701,12,0.5833333333,262.14285714,214,,,110.08922381,15,2,2,11,6,1.5941666991,21.9,30,153,210,0.143088167
02JM2,AcnArb&CasDec,3,7,3,1.0789922078776,Hetero.diff,243,9,1.6689756659337,5,6,1.5607104090414,12,0.25,226.875,,,,69.3859375,30,3,2,7,3,1.0789922079,23.3,43.333333333,70,130,0.260444172
02JM2,AcnArb&CasSyl,9,17,9,2.0885016193355,Hetero.diff,83,10,1.5840940626628,8,15,1.8065071652617,12,0.75,199.11111111,,100,,62.754814815,15,3,2,14,7,1.8337855468,21.4,26.111111111,193,235,0.257457838
02JM2,AcnArb&CelIgu,6,11,6,1.6726254461503,Hetero.diff,42,8,1.9398941600264,2,2,0.6931471805599,12,0.5,182.22222222,,,,55.72962963,45,3,2,4,2,0.5623351446,5.5,8.5,33,51,0.254788341
02JM2,AcnArb&TreMic,10,29,9,1.9449153899863,Hetero.diff,98,8,1.655983528224,6,15,1.6745895669999,12,0.75,143.33333333,,,498,54.460111111,2,3,2,27,8,1.868219625,22.7,37.1,227,371,0.25403638
