Sample.Label,Area,distance,Observer,type_animal,pred_herb
savanna,1000000,2.8,Marisa,dino,pred
savanna,1000000,0.3,Marisa,mammal,pred
savanna,1000000,3,Marisa,mammal,herb
savanna,1000000,2,Marisa,mammal,herb
savanna,1000000,4.3,Marisa,dino,pred
savanna,1000000,3.3,Marisa,dino,pred
savanna,1000000,0.1,Marisa,mammal,pred
savanna,1000000,5.5,Marisa,dino,pred
savanna,1000000,5.5,Marisa,dino,herb
savanna,1000000,5.5,Marisa,dino,pred
savanna,1000000,3.9,Marisa,mammal,pred
savanna,1000000,3.9,Marisa,mammal,pred
savanna,1000000,3.2,Marisa,dino,herb
savanna,1000000,5.2,Marisa,mammal,pred
savanna,1000000,4.8,Marisa,dino,pred
savanna,1000000,4.8,Marisa,mammal,pred
savanna,1000000,2.7,Helen,dino,pred
savanna,1000000,0.26,Helen,mammal,pred
savanna,1000000,2.9,Helen,mammal,herb
savanna,1000000,1.8,Helen,mammal,herb
savanna,1000000,4.35,Helen,dino,pred
savanna,1000000,3,Helen,dino,pred
savanna,1000000,0.1,Helen,mammal,pred
savanna,1000000,5.54,Helen,dino,pred
savanna,1000000,5.54,Helen,dino,pred
savanna,1000000,5.54,Helen,dino,pred
savanna,1000000,4,Helen,mammal,pred
savanna,1000000,4,Helen,mammal,pred
savanna,1000000,3,Helen,dino,pred
savanna,1000000,5.25,Helen,mammal,herb
savanna,1000000,5,Helen,dino,pred
savanna,1000000,5,Helen,mammal,pred
savanna,1000000,2.63,JP,mammal,herb
savanna,1000000,1.946,JP,dino,herb
savanna,1000000,2.576,JP,mammal,herb
savanna,1000000,1.867,JP,mammal,herb
savanna,1000000,4.321,JP,dino,herb
savanna,1000000,2.722,JP,dino,herb
savanna,1000000,0.201,JP,mammal,pred
savanna,1000000,4.782,JP,dino,herb
savanna,1000000,4.818,JP,mammal,pred
savanna,1000000,3.249,JP,dino,herb
savanna,1000000,5.369,JP,dino,pred
savanna,1000000,6.543,JP,dino,pred
savanna,1000000,5.359,JP,dino,herb
savanna,1000000,3.779,JP,mammal,pred
savanna,1000000,3.75,JP,mammal,pred
savanna,1000000,2.78,Ben,dino,pred
savanna,1000000,0.394,Ben,mammal,pred
savanna,1000000,1.954,Ben,mammal,herb
savanna,1000000,2.251,Ben,mammal,herb
savanna,1000000,4.408,Ben,dino,pred
savanna,1000000,3.053,Ben,dino,pred
savanna,1000000,0.173,Ben,mammal,pred
savanna,1000000,4.908,Ben,dino,pred
savanna,1000000,4.908,Ben,dino,pred
savanna,1000000,5.464,Ben,dino,pred
savanna,1000000,3.141,Ben,dino,pred
savanna,1000000,3.55,Ben,mammal,pred
savanna,1000000,3.55,Ben,mammal,pred
savanna,1000000,5.464,Ben,dino,pred
savanna,1000000,5.464,Ben,dino,pred
savanna,1000000,1.146,Ben,dino,pred
savanna,1000000,1.939,dave,mammal,herb
savanna,1000000,2.367,dave,dino,herb
savanna,1000000,2.729,dave,mammal,herb
savanna,1000000,1.89,dave,mammal,herb
savanna,1000000,4.391,dave,dino,pred
savanna,1000000,3.021,dave,dino,pred
savanna,1000000,0.02,dave,mammal,pred
savanna,1000000,5.433,dave,dino,pred
savanna,1000000,5.433,dave,dino,herb
savanna,1000000,5.433,dave,dino,pred
savanna,1000000,3.877,dave,mammal,pred
savanna,1000000,3.877,dave,mammal,pred
savanna,1000000,3.052,dave,dino,pred
savanna,1000000,4.866,dave,dino,pred
savanna,1000000,4.866,dave,mammal,pred
savanna,1000000,2.683,Miranda,mammal,herb
savanna,1000000,2.191,Miranda,dino,pred
savanna,1000000,0.426,Miranda,mammal,pred
savanna,1000000,2.773,Miranda,mammal,herb
savanna,1000000,2.15,Miranda,mammal,herb
savanna,1000000,0.256,Miranda,mammal,pred
savanna,1000000,3.114,Miranda,dino,pred
savanna,1000000,5.648,Miranda,dino,pred
savanna,1000000,5.648,Miranda,dino,pred
savanna,1000000,5.648,Miranda,dino,herb
savanna,1000000,4.402,Miranda,mammal,pred
savanna,1000000,4.402,Miranda,dino,herb
savanna,1000000,4.524,Miranda,mammal,pred
savanna,1000000,3.274,Miranda,dino,herb
savanna,1000000,1.34,JT,dino,herb
savanna,1000000,2.57,JT,dino,pred
savanna,1000000,0.87,JT,mammal,pred
savanna,1000000,2.376,JT,mammal,herb
savanna,1000000,1.97,JT,mammal,herb
savanna,1000000,0.002,JT,mammal,pred
savanna,1000000,2.961,JT,dino,pred
savanna,1000000,5.223,JT,dino,herb
savanna,1000000,5.245,JT,dino,herb
savanna,1000000,5.245,JT,dino,herb
savanna,1000000,5.245,JT,dino,pred
savanna,1000000,3.77,JT,mammal,pred
savanna,1000000,3.77,JT,mammal,pred
savanna,1000000,2.881,JT,dino,pred
savanna,1000000,4.431,JT,dino,pred
savanna,1000000,4.431,JT,mammal,pred
savanna,1000000,1.352,Kenz,dino,pred
savanna,1000000,2.586,Kenz,dino,pred
savanna,1000000,0.862,Kenz,mammal,pred
savanna,1000000,2.354,Kenz,mammal,herb
savanna,1000000,1.943,Kenz,mammal,herb
savanna,1000000,0,Kenz,mammal,herb
savanna,1000000,2.971,Kenz,dino,herb
savanna,1000000,5.226,Kenz,dino,herb
savanna,1000000,5.245,Kenz,dino,pred
savanna,1000000,3.767,Kenz,mammal,pred
savanna,1000000,3.767,Kenz,mammal,pred
savanna,1000000,2.886,Kenz,dino,pred
savanna,1000000,4.446,Kenz,dino,pred
savanna,1000000,4.446,Kenz,mammal,pred
savanna,1000000,1.33,Devon,dino,pred
savanna,1000000,2.479,Devon,mammal,herb
savanna,1000000,2.44,Devon,dino,herb
savanna,1000000,2.78,Devon,mammal,herb
savanna,1000000,1.832,Devon,mammal,herb
savanna,1000000,0.02,Devon,mammal,pred
savanna,1000000,4.714,Devon,dino,herb
savanna,1000000,4.714,Devon,mammal,pred
savanna,1000000,5.41,Devon,dino,pred
savanna,1000000,5.41,Devon,dino,pred
savanna,1000000,5.379,Devon,dino,herb
savanna,1000000,3.912,Devon,mammal,pred
savanna,1000000,3.913,Devon,mammal,pred
savanna,1000000,3.076,Devon,dino,herb
savanna,1000000,3.212,Devon,dino,herb
savanna,1000000,2.62,Saba,mammal,herb
savanna,1000000,2.61,Saba,dino,pred
savanna,1000000,0.807,Saba,mammal,pred
savanna,1000000,1.9,Saba,mammal,herb
savanna,1000000,2.7,Saba,mammal,herb
savanna,1000000,5.368,Saba,dino,herb
