site,Treatment,plant_sp,plant_id,Treat2,branching,avg.dbh.mm
01JM1,AcnArb,Acnistus_arborescens,AcnArb1p,Intra,1,5513.931139
01JM1,AcnArb,Acnistus_arborescens,AcnArb2p,Intra,4,1048.281915
01JM1,AcnArb,Acnistus_arborescens,AcnArb3p,Intra,1,4050.245887
01JM1,AcnArb,Acnistus_arborescens,AcnArb4p,Intra,1,6306.326467
01JM1,AcnArb&CapBac,Acnistus_arborescens,AcnArb9a,Hetero.same,4,1363.635883
01JM1,AcnArb&CapBac,Acnistus_arborescens,AcnArb10a,Hetero.same,3,1683.16785
01JM1,AcnArb&CapBac,Acnistus_arborescens,AcnArb11a,Hetero.same,5,1033.330228
01JM1,AcnArb&CapBac,Acnistus_arborescens,AcnArb12a,Hetero.same,3,1384.627248
01JM1,AcnArb&CasDec,Acnistus_arborescens,AcnArb1a,Hetero.diff,2,280.8347705
01JM1,AcnArb&CasDec,Acnistus_arborescens,AcnArb2a,Hetero.diff,3,1356.506585
01JM1,AcnArb&CasDec,Acnistus_arborescens,AcnArb3a,Hetero.diff,3,1044.146163
01JM1,AcnArb&CasDec,Acnistus_arborescens,AcnArb4a,Hetero.diff,1,2692.899247
01JM1,AcnArb&CasDec,Casearia_decandra,CasDec5a,Hetero.diff,1,141.1650585
01JM1,AcnArb&CasDec,Casearia_decandra,CasDec6a,Hetero.diff,1,122.0682065
01JM1,AcnArb&CasDec,Casearia_decandra,CasDec7a,Hetero.diff,1,108.933194
01JM1,AcnArb&CasDec,Casearia_decandra,CasDec8a,Hetero.diff,1,99.175016
01JM1,AcnArb&CasSyl,Acnistus_arborescens,AcnArb13a,Hetero.diff,2,3519.224787
01JM1,AcnArb&CasSyl,Acnistus_arborescens,AcnArb14a,Hetero.diff,3,2230.447033
01JM1,AcnArb&CasSyl,Acnistus_arborescens,AcnArb15a,Hetero.diff,3,1973.21266
01JM1,AcnArb&CasSyl,Acnistus_arborescens,AcnArb16a,Hetero.diff,4,1216.995528
01JM1,AcnArb&CasSyl,Casearia_sylvestris,CasSyl9a,Hetero.diff,2,276.7065733
01JM1,AcnArb&CasSyl,Casearia_sylvestris,CasSyl10a,Hetero.diff,1,340.929896
01JM1,AcnArb&CasSyl,Casearia_sylvestris,CasSyl11a,Hetero.diff,3,122.4230003
01JM1,AcnArb&CasSyl,Casearia_sylvestris,CasSyl12a,Hetero.diff,2,296.436724
01JM1,AcnArb&CelIgu,Acnistus_arborescens,AcnArb8p,Hetero.diff,3,1435.323411
01JM1,AcnArb&CelIgu,Acnistus_arborescens,AcnArb9p,Hetero.diff,4,649.907309
01JM1,AcnArb&CelIgu,Acnistus_arborescens,AcnArb10p,Hetero.diff,4,746.0025934
01JM1,AcnArb&CelIgu,Acnistus_arborescens,AcnArb11p,Hetero.diff,3,1339.725326
01JM1,AcnArb&TreMic,Acnistus_arborescens,AcnArb5p,Hetero.diff,4,456.3952713
01JM1,AcnArb&TreMic,Acnistus_arborescens,AcnArb6p,Hetero.diff,3,99.62879833
01JM1,AcnArb&TreMic,Acnistus_arborescens,AcnArb7p,Hetero.diff,11,341.1757152
01JM1,AcnArb&TreMic,Trema_micrantha,TreMic12p,Hetero.diff,1,3024.357647
01JM1,AcnArb&TreMic,Trema_micrantha,TreMic13p,Hetero.diff,2,2393.121013
01JM1,AcnArb&TreMic,Trema_micrantha,TreMic14p,Hetero.diff,1,3433.982186
01JM1,AcnArb&TreMic,Trema_micrantha,TreMic15p,Hetero.diff,1,2203.401114
01JM1,All,Acnistus_arborescens,AcnArb5a,Hetero.All,3,3267.368684
01JM1,All,Acnistus_arborescens,AcnArb6a,Hetero.All,5,1110.915295
01JM1,All,Acnistus_arborescens,AcnArb7a,Hetero.All,4,696.5961849
01JM1,All,Acnistus_arborescens,AcnArb8a,Hetero.All,4,140.5544855
01JM1,All,Capsicum_baccatum,CapBac5a,Hetero.All,1,286.975904
01JM1,All,Capsicum_baccatum,CapBac6a,Hetero.All,1,1110.982554
