Transect_ID,Coereba,Tiaris,Columbina,Streptopelia,Quicalus,Tyrannus,Eulampis,Mimus,Margarops,Spindalis,Melanerpes,Turdus,Patagioenas,Patagioenas,Zenaida,Zenaida,Brotogeris
1-RP-A,7.365975161,0,0,0,55.17454467,4.798176693,0,6.507124976,0,0,1.437030405,3.084736477,0,0,20.80298945,16.07437937,0
1-RP-B,18.4149379,4.524700567,0,0,86.70285591,0,0,0,4.969988723,0,0,6.169472954,0,0,8.915566907,37.50688519,0
1-RP-C,18.4149379,18.09880227,0,0,63.05662248,0,0,9.760687465,12.42497181,3.084736477,0,0,2.352653322,1.000001,20.80298945,32.14875874,0
3-RP-A,11.04896274,13.5741017,16.69869105,1.011518669,39.41038905,4.798176693,0,13.01424995,0,3.084736477,1.437030405,3.084736477,0,0,14.85927818,26.79063228,0
3-RP-B,29.46390064,22.62350283,5.566230348,2.023037338,15.76415562,0,0,3.253562488,2.484994362,3.084736477,0,0,2.352653322,0,11.88742254,10.71625291,0
3-RP-C,29.46390064,27.1482034,0,1.011518669,47.29246686,9.596353386,0,16.26781244,2.484994362,6.169472954,1.437030405,3.084736477,0,0,17.83113381,21.43250582,0
7-GUA-A,7.365975161,13.5741017,8.349345523,0,15.76415562,4.798176693,0,3.253562488,0,0,0,0,7.057959967,0,8.915566907,16.07437937,0
7-GUA-B,3.682987581,9.049401133,2.783115174,0,141.8774006,0,0,6.507124976,0,6.169472954,0,3.084736477,2.352653322,0,5.943711271,16.07437937,0
7-GUA-C,11.04896274,4.524700567,5.566230348,0,15.76415562,0,0,0,4.969988723,0,0,0,2.352653322,0,8.915566907,0,0
9-BAY-A,22.09792548,4.524700567,2.783115174,0,55.17454467,9.596353386,0,13.01424995,0,0,0,9.254209431,0,0,8.915566907,16.07437937,0
9-BAY-B,11.04896274,9.049401133,5.566230348,0,23.64623343,0,0,3.253562488,0,0,0,9.254209431,0,0,8.915566907,21.43250582,0
9-BAY-C,11.04896274,13.5741017,11.1324607,0,47.29246686,4.798176693,0,0,0,3.084736477,0,6.169472954,0,0,14.85927818,26.79063228,0
11-BAY-A,3.682987581,9.049401133,0,0,7.88207781,14.39453008,0,3.253562488,0,0,0,3.084736477,0,0,8.915566907,21.43250582,0
11-BAY-B,3.682987581,0,2.783115174,0,31.52831124,14.39453008,0,0,0,0,0,0,0,0,0,10.71625291,0
11-BAY-C,7.365975161,13.5741017,0,0,31.52831124,9.596353386,0,3.253562488,0,0,0,3.084736477,0,0,8.915566907,10.71625291,0
13-BAY-A,7.365975161,4.524700567,0,0,94.58493372,4.798176693,0,0,0,3.084736477,2.874060811,0,0,0,11.88742254,21.43250582,0
13-BAY-B,3.682987581,4.524700567,0,0,78.8207781,9.596353386,0,0,0,0,0,6.169472954,0,0,5.943711271,21.43250582,0
13-BAY-C,14.73195032,0,0,0,55.17454467,4.798176693,0,6.507124976,0,0,0,3.084736477,0,0,2.971855636,32.14875874,0
15-LEV-A,7.365975161,0,0,0,23.64623343,9.596353386,0,6.507124976,0,0,0,0,0,0,5.943711271,37.50688519,0
15-LEV-B,0,9.049401133,0,0,55.17454467,0,0,0,0,0,0,6.169472954,0,0,2.971855636,5.358126456,0
15-LEV-C,0,13.5741017,2.783115174,0,39.41038905,23.99088346,0,9.760687465,2.484994362,3.084736477,0,9.254209431,0,0,11.88742254,16.07437937,1.0000221
17-LEV-A,7.365975161,4.524700567,0,0,23.64623343,14.39453008,0,0,0,3.084736477,0,0,0,0,0,21.43250582,0
17-LEV-B,7.365975161,0,2.783115174,0,7.88207781,0,0,0,0,0,0,0,0,0,2.971855636,26.79063228,0
17-LEV-C,14.73195032,9.049401133,0,0,55.17454467,0,0,6.507124976,0,0,0,0,0,0,8.915566907,10.71625291,0
2-RP-A,11.04896274,13.5741017,2.783115174,3.034556007,47.29246686,14.39453008,0,6.507124976,0,0,0,0,0,0,14.85927818,21.43250582,0
2-RP-B,0,9.049401133,2.783115174,1.011518669,23.64623343,0,0,3.253562488,0,0,0,0,0,0,2.971855636,5.358126456,0
2-RP-C,14.73195032,4.524700567,0,0,47.29246686,0,0,3.253562488,2.484994362,3.084736477,0,0,0,0,8.915566907,16.07437937,0
4-RP-A,29.46390064,27.1482034,2.783115174,0,63.05662248,4.798176693,0,0,0,0,0,0,0,0,11.88742254,21.43250582,0
4-RP-B,7.365975161,31.67290397,8.349345523,0,70.93870029,0,0,0,0,3.084736477,0,0,0,0,29.71855636,26.79063228,2.000044201
4-RP-C,25.78091306,36.19760453,11.1324607,0,78.8207781,19.19270677,0,6.507124976,2.484994362,9.254209431,0,0,0,0,59.43711271,5.358126456,0
8-GUA-A,18.4149379,13.5741017,0,1.011518669,39.41038905,0,4.130743825,0,0,3.084736477,0,0,0,0,14.85927818,16.07437937,0
8-GUA-B,14.73195032,4.524700567,0,4.046074675,47.29246686,0,0,3.253562488,0,6.169472954,0,0,0,0,17.83113381,26.79063228,0
8-GUA-C,3.682987581,4.524700567,11.1324607,1.011518669,31.52831124,4.798176693,0,0,4.969988723,0,1.437030405,0,0,0,8.915566907,21.43250582,0
10-BAY-A,29.46390064,13.5741017,0,3.034556007,23.64623343,14.39453008,0,0,0,12.33894591,0,0,0,1.000001,11.88742254,32.14875874,0
10-BAY-B,18.4149379,18.09880227,2.783115174,1.011518669,7.88207781,9.596353386,0,6.507124976,0,0,0,0,0,2.000002,14.85927818,5.358126456,0
10-BAY-C,11.04896274,18.09880227,0,0,0,0,0,3.253562488,0,3.084736477,0,0,0,1.000001,5.943711271,10.71625291,0
12-BAY-A,7.365975161,4.524700567,0,0,31.52831124,4.798176693,0,3.253562488,0,0,0,0,0,0,29.71855636,16.07437937,0
12-BAY-B,7.365975161,9.049401133,0,0,39.41038905,19.19270677,0,3.253562488,0,0,0,3.084736477,0,0,11.88742254,21.43250582,0
12-BAY-C,0,18.09880227,11.1324607,0,78.8207781,4.798176693,0,3.253562488,0,3.084736477,0,0,0,0,11.88742254,16.07437937,0
14-BAY-A,3.682987581,0,0,0,126.113245,14.39453008,0,0,0,3.084736477,0,0,0,0,11.88742254,26.79063228,0
14-BAY-B,7.365975161,4.524700567,0,0,0,4.798176693,0,3.253562488,0,3.084736477,0,0,0,2.000002,11.88742254,21.43250582,0
