Plant_Species,Acrididae,Aetalionidae,Amelidae,Anobiidae,Anthomyiidae,Anyphaenidae,Aphididae,Apidae,Araneidae,Bibionidae,Bulimulidae,Calliphoridae,Cheiracanthiidae,Chironomidae,Chrysomelidae,Cicadellidae,Cixiidae,Clastopteridae,Coccidae,Coccinellidae,Coreidae,Curculionidae,Derbidae,Erebidae,Flatidae,Formicidae,Heteroptera,Ichneumonidae,Largidae,Lebillulidae,Limoniidae,Linyphiidae,Lygaeidae,Mantidae,Meloidae,Membracidae,Miridae,Muscidae,Myrmeleontidae,Ortheziidae,Oxyopidae,Pentatomidae,Phlaeothripidae,Pogonomyrmex,Reduviidae,Rhopalidae,Romaleidae,Salticidae,Sicariidae,Sphecidae,Syrphidae,Tenebrionidae,Tetragnathidae,Tettigoniidae,Theridiidae,Thomisidae,Throscidae,Tipulidae,Torticidae,Trogiidae,unknown,Vespidae
AcnArb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AcnArb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AcnArb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
AcnArb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AcnArb,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AcnArb,0,0,0,0,0,0,50,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,50,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AcnArb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
AcnArb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
AcnArb,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AcnArb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
