Site,Height,Flowers_fruits,log_flowers_fruits
Colony,230,5,1.6094379124
Colony,209,19,2.9444389792
Colony,202,9,2.1972245773
Colony,220,1,0
Colony,127,1,0
Colony,167,1,0
Colony,250,2,0.6931471806
Colony,180,3,1.0986122887
Colony,224,3,1.0986122887
Colony,220,9,2.1972245773
Colony,215,9,2.1972245773
Colony,182,5,1.6094379124
Colony,260,17,2.8332133441
Colony,235,17,2.8332133441
Colony,215,12,2.4849066498
Colony,237,7,1.9459101491
Colony,227,5,1.6094379124
Colony,135,3,1.0986122887
Colony,160,3,1.0986122887
Colony,188,5,1.6094379124
Colony,220,9,2.1972245773
Colony,250,7,1.9459101491
Colony,230,5,1.6094379124
Colony,300,11,2.3978952728
Colony,260,8,2.0794415417
Colony,123,2,0.6931471806
Colony,250,10,2.302585093
Colony,124,1,0
Outside,190,2,0.6931471806
Outside,121,2,0.6931471806
Outside,115,1,0
Outside,117,1,0
Outside,147,1,0
Outside,200,1,0
Outside,135,2,0.6931471806
Outside,221,4,1.3862943611
Outside,120,2,0.6931471806
Outside,163,2,0.6931471806
Outside,90,2,0.6931471806
Outside,171,3,1.0986122887
Outside,135,3,1.0986122887
Outside,225,2,0.6931471806
Outside,168,7,1.9459101491
Outside,173,1,0
Outside,207,1,0
Outside,186,2,0.6931471806
Outside,181,12,2.4849066498
Outside,152,1,0
