Tree_ID,diameter,ripeness
five,10.5,u
five,10.7,u
five,10.9,u
five,11.7,u
five,10.8,u
five,11.8,u
five,9.5,r
five,11,u
five,10.7,u
five,8.7,r
five,11.2,u
five,10.9,u
five,10.9,u
five,10.8,u
five,9.1,u
five,10.3,u
five,10.8,u
five,9.6,u
five,11.3,u
five,10.6,u
five,11.9,u
five,11.3,u
five,9.6,u
five,11.5,u
five,11.5,u
five,12.1,u
five,9.6,u
five,10.6,u
five,10.4,u
five,9.6,u
five,8.1,r
five,11.4,u
five,11.5,u
five,8.6,r
five,11.6,u
five,11.2,u
five,10.6,u
five,11.7,u
five,11.2,u
five,11.9,u
five,8.8,r
five,10.6,u
five,11,u
five,10.6,u
five,11.7,u
five,8.9,u
five,8.1,u
five,10.1,u
five,10.4,u
five,8.7,r
one,11.2,u
one,11.2,u
one,12.5,u
one,12.6,r
one,10.8,u
one,9.5,r
one,9.6,u
one,9.7,r
one,11.5,u
one,9.6,r
one,11.1,r
one,10.3,u
one,10.9,u
one,8.9,r
one,10.2,r
one,11.6,r
one,11.1,u
one,10,r
one,9.7,r
one,10.9,u
one,8,r
one,10.1,r
one,10.1,u
one,10.1,u
one,10.7,u
one,10,r
one,10.2,u
one,8.5,u
one,8.6,r
one,11.4,u
one,11.2,u
one,11.8,u
one,10.4,u
one,8.4,r
one,11.1,u
one,11.9,u
one,11,u
one,12.2,u
one,9.8,u
one,9.4,r
one,11,r
one,11,u
one,9.1,r
one,11.5,u
one,8,u
one,10.3,r
one,11,r
one,8.8,u
one,9.3,u
two,11.6,u
two,12.5,u
two,10.8,u
two,11.8,u
two,12,u
two,12.8,u
two,12.2,u
two,11.2,u
two,12.6,u
two,13.3,u
two,11.4,u
two,10.8,u
two,11.4,u
two,11.1,u
two,10.6,u
two,10.2,u
two,11,u
two,11.5,u
two,11.7,u
two,10.9,u
two,11.9,u
two,12.8,u
two,12,u
two,11.2,u
two,12.2,u
two,12.5,u
two,12.5,u
two,13.2,u
two,11.5,u
two,11.1,u
two,11.9,u
two,11.2,u
two,10.9,u
two,10.4,u
two,8.9,u
two,9.3,u
two,12.4,u
two,11.4,u
two,11.6,u
two,11.7,u
two,10.9,u
two,11.2,u
two,9.1,u
two,9.1,u
two,11.5,u
two,11.5,u
two,9.7,u
two,11,u
two,10.6,u
three,11.6,u
three,9.9,u
three,12.4,u
three,12.9,u
three,14.1,u
three,13.1,u
three,12.1,u
three,13,u
three,11.8,u
three,12.3,u
three,12.9,u
three,12.3,u
three,13.1,u
three,12,u
three,12.2,u
three,11,u
three,12.5,u
three,11.6,r
three,12.3,u
three,13.3,u
three,11.4,u
three,13.1,u
three,11.3,u
three,11.6,u
three,12.1,u
three,12.8,u
three,11.7,u
three,12,u
three,11.5,u
three,13.1,u
three,12.7,u
three,11.7,u
three,12.2,u
three,13.1,u
three,11.2,u
three,11.8,u
three,11.9,u
three,13.2,u
three,12.2,u
three,14.1,u
three,13.2,u
three,11.5,u
three,13.3,u
three,12.2,u
three,12.9,u
three,12.6,u
three,12.8,u
three,13.8,u
three,11.8,u
four,10.3,u
four,7.5,r
four,11.9,u
four,12.5,u
four,12.2,u
four,12.3,u
four,10.8,u
four,11,u
four,12.3,u
four,10,u
four,10.9,u
four,9.1,r
four,11.4,u
four,8.8,u
four,9.5,u
four,10.7,u
four,11.4,u
four,9.1,u
four,9.2,r
four,11.1,u
four,9.8,u
four,11.4,u
four,10.5,u
four,10.3,u
four,9.7,u
four,10.5,u
four,10.3,u
four,9.8,u
four,12,u
four,11.3,u
four,11.2,u
four,11.4,u
four,11.6,u
four,11.1,u
four,10.1,u
four,9.3,r
four,10.7,u
four,10.9,u
four,9.3,r
four,10.8,u
four,9,u
four,10.6,u
four,9.7,u
four,10.7,u
four,11.1,u
four,11.8,u
four,10.1,u
four,11.5,u
four,11,r
