plot,site,Elev,Asp,richness,diversity_adults,diversity_seedl,year
A1,A,1200,south,5,1.114177981,0.871040966,1
A2,A,1200,south,4,1.235741487,0.456334432,1
A3,A,1200,south,5,1.198452305,0.79631164,1
A4,A,1200,south,6,1.569152946,1.262996596,2
A5,A,1200,south,6,1.638603721,1.263430093,2
A6,A,1200,south,9,1.743496797,0.725201548,2
A7,A,1200,south,7,1.599971421,0.437494957,3
A8,A,1200,south,6,0.601923972,0.964068122,3
A9,A,1200,south,5,1.032822432,0.92654654,3
A10,A,1200,south,4,0.513545775,0.376770161,4
A11,A,1200,south,6,1.052961912,0.977732131,4
A12,A,1200,south,5,1.077425976,1.029653014,4
A13,A,1200,south,6,1.032711817,0.699514491,5
A14,A,1200,south,7,1.354864537,0.626766277,5
A15,A,1200,south,5,1.493042767,0.610951299,6
A16,A,1200,south,6,1.351681195,0.402230902,6
B1,B,2200,south,7,1.761654474,0.636514168,1
B2,B,2200,south,4,0.998931505,0,1
B3,B,2200,south,5,1.291416769,1.220607265,1
B4,B,2200,south,5,1.151760192,1.011404265,2
B5,B,2200,south,6,1.579597845,0,2
B6,B,2200,south,4,0.887870163,0.673011667,2
B7,B,2200,south,4,1.316995185,0,3
B8,B,2200,south,5,1.465336257,0.693147181,3
B9,B,2200,south,4,1.280968797,0.474139313,3
B10,B,2200,south,8,1.183310528,0.753531703,4
B11,B,2200,south,5,1.401945459,1.104776028,4
B12,B,2200,south,8,1.579535199,1.22669194,4
B13,B,2200,south,6,1.306844102,1.337860678,5
B14,B,2200,south,7,1.704748092,1.265001375,5
B15,B,2200,south,7,1.753307555,0.562335145,6
B16,B,2200,south,6,1.642918072,1.060856947,6
C1,C,2200,north,5,1.013827276,0.926506603,1
C2,C,2200,north,4,0.696437538,0,1
C3,C,2200,north,7,1.559443688,0.376770161,1
C4,C,2200,north,4,0.825582703,0,2
C5,C,2200,north,5,1.352807322,0,2
C6,C,2200,north,5,1.160453882,0,2
C7,C,2200,north,3,0.608933855,0,3
C8,C,2200,north,4,0.678434192,0,3
C9,C,2200,north,5,1.095657688,0,3
C11,C,2200,north,7,1.275471922,1.319945501,4
C12,C,2200,north,3,0.132691421,0.673011667,4
C13,C,2200,north,4,0.785925169,0.500402424,5
C14,C,2200,north,6,1.08551482,1.204876207,5
C15,C,2200,north,4,0.760457866,0.519579839,6
C16,C,2200,north,4,0.827360604,0.598269589,6
