Plant_sp,Plant_den,Height_of_display, block,visits.all,richness,bumblebee,honeybee
goldenrod,high,short,A,0,0,0,0
goldenrod,high,tall,A,25,4,15,8
goldenrod,low,short,A,0,0,0,0
goldenrod,low,tall,A,4,1,4,0
mixed,high,short,A,0,0,0,0
mixed,high,tall,A,13,2,11,2
mixed,low,short,A,0,0,0,0
mixed,low,tall,A,5,2,2,3
thistle,high,short,A,0,0,0,0
thistle,high,tall,A,8,2,7,1
thistle,low,short,A,0,0,0,0
thistle,low,tall,A,1,1,1,0
goldenrod,high,short,B,0,0,0,0
goldenrod,high,tall,B,9,3,6,2
goldenrod,low,short,B,0,0,0,0
goldenrod,low,tall,B,8,3,2,5
mixed,high,short,B,0,0,0,0
mixed,high,tall,B,16,3,9,6
mixed,low,short,B,0,0,0,0
mixed,low,tall,B,6,2,2,4
thistle,high,short,B,0,0,0,0
thistle,high,tall,B,10,3,7,1
thistle,low,short,B,0,0,0,0
thistle,low,tall,B,4,2,3,1
goldenrod,high,short,C,30,6,5,20
goldenrod,high,tall,C,0,0,0,0
goldenrod,low,short,C,21,2,3,18
goldenrod,low,tall,C,0,0,0,0
mixed,high,short,C,22,3,6,14
mixed,high,tall,C,1,1,0,1
mixed,low,short,C,20,2,8,12
mixed,low,tall,C,2,2,1,1
thistle,high,short,C,14,3,12,1
thistle,high,tall,C,0,0,0,0
thistle,low,short,C,6,2,5,1
thistle,low,tall,C,1,1,0,1
goldenrod,high,short,D,8,2,1,7
goldenrod,high,tall,D,0,0,0,0
goldenrod,low,short,D,7,2,0,6
goldenrod,low,tall,D,0,0,0,0
mixed,high,short,D,8,2,2,6
mixed,high,tall,D,0,0,0,0
mixed,low,short,D,2,2,0,1
mixed,low,tall,D,0,0,0,0
thistle,high,short,D,3,3,1,1
thistle,high,tall,D,0,0,0,0
thistle,low,short,D,1,1,1,0
thistle,low,tall,D,0,0,0,0
goldenrod,high,short,E,1,1,0,1
goldenrod,high,tall,E,7,1,0,7
goldenrod,low,short,E,0,0,0,0
goldenrod,low,tall,E,0,0,0,0
mixed,high,short,E,0,0,0,0
mixed,high,tall,E,8,2,3,5
mixed,low,short,E,0,0,0,0
mixed,low,tall,E,3,1,0,3
thistle,high,short,E,0,0,0,0
thistle,high,tall,E,4,1,4,0
thistle,low,short,E,0,0,0,0
thistle,low,tall,E,4,3,2,0
goldenrod,high,short,F,14,3,9,4
goldenrod,high,tall,F,0,0,0,0
goldenrod,low,short,F,2,2,1,1
goldenrod,low,tall,F,0,0,0,0
mixed,high,short,F,10,2,7,3
mixed,high,tall,F,0,0,0,0
mixed,low,short,F,5,1,5,0
mixed,low,tall,F,0,0,0,0
thistle,high,short,F,9,2,8,0
thistle,high,tall,F,0,0,0,0
thistle,low,short,F,2,1,2,0
thistle,low,tall,F,0,0,0,0
goldenrod,high,short,G,12,4,2,7
goldenrod,high,tall,G,0,0,0,0
goldenrod,low,short,G,6,2,1,5
goldenrod,low,tall,G,0,0,0,0
mixed,high,short,G,21,4,3,15
mixed,high,tall,G,0,0,0,0
mixed,low,short,G,1,1,0,1
mixed,low,tall,G,0,0,0,0
thistle,high,short,G,6,3,4,1
thistle,high,tall,G,0,0,0,0
thistle,low,short,G,1,1,0,0
thistle,low,tall,G,0,0,0,0
goldenrod,high,short,H,2,1,0,2
goldenrod,high,tall,H,20,2,1,19
goldenrod,low,short,H,2,1,0,2
goldenrod,low,tall,H,15,5,1,10
mixed,high,short,H,1,1,1,0
mixed,high,tall,H,23,4,0,17
mixed,low,short,H,0,0,0,0
mixed,low,tall,H,3,1,0,3
thistle,high,short,H,2,1,0,0
thistle,high,tall,H,5,2,1,0
thistle,low,short,H,2,2,1,0
thistle,low,tall,H,4,4,1,1
