plot,site,Elev,Asp,Tree spp.,Adults,seedl,prop.adu,prop.seedl,difference
A1,A,1200,south,Tupelo,29,0,0.630434783,0,-0.630434783
A1,A,1200,south,Chestnut_Oak,7,18,0.152173913,0.233766234,0.081592321
A1,A,1200,south,Red_Maple,5,50,0.108695652,0.649350649,0.540654997
A1,A,1200,south,White_Pine,4,9,0.086956522,0.116883117,0.029926595
A10,A,1200,south,Black_Birch,142,0,0.871165644,0,-0.871165644
A10,A,1200,south,Chestnut_Oak,3,0,0.018404908,0,-0.018404908
A10,A,1200,south,Red_Maple,9,35,0.055214724,0.875,0.819785276
A10,A,1200,south,White_Pine,9,5,0.055214724,0.125,0.069785276
A11,A,1200,south,Black_Birch,1,5,0.020833333,0.030674847,0.009841513
A11,A,1200,south,Tupelo,32,0,0.666666667,0,-0.666666667
A11,A,1200,south,Chestnut_Oak,7,86,0.145833333,0.527607362,0.381774029
A11,A,1200,south,Red_Maple,6,64,0.125,0.392638037,0.267638037
A11,A,1200,south,Red_Oak,1,1,0.020833333,0.006134969,-0.014698364
A11,A,1200,south,White_Pine,1,7,0.020833333,0.042944785,0.022111452
A12,A,1200,south,Tupelo,30,0,0.612244898,0,-0.612244898
A12,A,1200,south,Chestnut_Oak,5,2,0.102040816,0.2,0.097959184
A12,A,1200,south,Red_Maple,5,5,0.102040816,0.5,0.397959184
A12,A,1200,south,Red_Oak,0,3,0,0.3,0.3
A12,A,1200,south,White_Pine,9,0,0.183673469,0,-0.183673469
A13,A,1200,south,Tupelo,2,0,0.025974026,0,-0.025974026
A13,A,1200,south,Chestnut_Oak,3,0,0.038961039,0,-0.038961039
A13,A,1200,south,Red_Maple,3,25,0.038961039,0.78125,0.742288961
A13,A,1200,south,Red_Oak,0,1,0,0.03125,0.03125
A13,A,1200,south,White_Pine,25,5,0.324675325,0.15625,-0.168425325
A14,A,1200,south,Tupelo,31,1,0.534482759,0.032258065,-0.502224694
A14,A,1200,south,Chestnut_Oak,3,0,0.051724138,0,-0.051724138
A14,A,1200,south,Hemlock,1,24,0.017241379,0.774193548,0.756952169
A14,A,1200,south,Red_Maple,4,0,0.068965517,0,-0.068965517
A14,A,1200,south,Red_Oak,2,0,0.034482759,0,-0.034482759
A14,A,1200,south,White_Pine,14,6,0.24137931,0.193548387,-0.047830923
A2,A,1200,south,Tupelo,15,1,0.5,0.041666667,-0.458333333
A2,A,1200,south,Chestnut_Oak,4,0,0.133333333,0,-0.133333333
A2,A,1200,south,Red_Maple,5,21,0.166666667,0.875,0.708333333
