species,s.sapl.count,total.s.sapl,trees,total.trees,prop.s.sapl,prop.trees,difference,site
Black_Birch,0,77,0,45,0,0,0,low.south
Chestnut_Oak,18,77,7,45,0.2337662338,0.1555555556,0.0782106782,low.south
Hemlock,0,77,0,45,0,0,0,low.south
Red_Maple,50,77,5,45,0.6493506494,0.1111111111,0.5382395383,low.south
Red_Oak,0,77,0,45,0,0,0,low.south
Tupelo,0,77,29,45,0,0.6444444444,-0.644444444,low.south
White_Pine,9,77,4,45,0.1168831169,0.0888888889,0.027994228,low.south
Black_Birch,0,24,0,30,0,0,0,low.south
Chestnut_Oak,0,24,4,30,0,0.1333333333,-0.133333333,low.south
Hemlock,0,24,0,30,0,0,0,low.south
Red_Maple,21,24,5,30,0.875,0.1666666667,0.7083333333,low.south
Red_Oak,0,24,0,30,0,0,0,low.south
Tupelo,1,24,15,30,0.0416666667,0.5,-0.458333333,low.south
White_Pine,2,24,6,30,0.0833333333,0.2,-0.116666667,low.south
Black_Birch,5,7,43,79,0.7142857143,0.5443037975,0.1699819168,low.south
Chestnut_Oak,0,7,2,79,0,0.0253164557,-0.025316456,low.south
Hemlock,0,7,0,79,0,0,0,low.south
Red_Maple,1,7,12,79,0.1428571429,0.1518987342,-0.009041591,low.south
Red_Oak,0,7,0,79,0,0,0,low.south
Tupelo,0,7,4,79,0,0.0506329114,-0.050632911,low.south
White_Pine,1,7,18,79,0.1428571429,0.2278481013,-0.084990958,low.south
Black_Birch,4,11,1,23,0.3636363636,0.0434782609,0.3201581027,low.south
Chestnut_Oak,0,11,0,23,0,0,0,low.south
Hemlock,0,11,0,23,0,0,0,low.south
Red_Maple,4,11,8,23,0.3636363636,0.347826087,0.0158102766,low.south
Red_Oak,0,11,1,23,0,0.0434782609,-0.043478261,low.south
Tupelo,0,11,8,23,0,0.347826087,-0.347826087,low.south
White_Pine,3,11,5,23,0.2727272727,0.2173913043,0.0553359684,low.south
Black_Birch,7,23,2,20,0.3043478261,0.1,0.2043478261,low.south
Chestnut_Oak,0,23,0,20,0,0,0,low.south
Hemlock,0,23,0,20,0,0,0,low.south
Red_Maple,0,23,7,20,0,0.35,-0.35,low.south
Red_Oak,3,23,2,20,0.1304347826,0.1,0.0304347826,low.south
Tupelo,0,23,7,20,0,0.35,-0.35,low.south
White_Pine,13,23,2,20,0.5652173913,0.1,0.4652173913,low.south
Black_Birch,42,53,1,24,0.7924528302,0.0416666667,0.7507861635,low.south
Chestnut_Oak,7,53,2,24,0.1320754717,0.0833333333,0.0487421384,low.south
Hemlock,1,53,0,24,0.0188679245,0,0.0188679245,low.south
Red_Maple,2,53,7,24,0.0377358491,0.2916666667,-0.253930818,low.south
Red_Oak,0,53,1,24,0,0.0416666667,-0.041666667,low.south
Tupelo,0,53,7,24,0,0.2916666667,-0.291666667,low.south
White_Pine,1,53,6,24,0.0188679245,0.25,-0.231132076,low.south
Black_Birch,0,32,0,17,0,0,0,low.south
Chestnut_Oak,0,32,4,17,0,0.2352941176,-0.235294118,low.south
Hemlock,0,32,0,17,0,0,0,low.south
Red_Maple,29,32,4,17,0.90625,0.2352941176,0.6709558824,low.south
Red_Oak,0,32,2,17,0,0.1176470588,-0.117647059,low.south
Tupelo,0,32,6,17,0,0.3529411765,-0.352941177,low.south
White_Pine,3,32,1,17,0.09375,0.0588235294,0.0349264706,low.south
Black_Birch,1,25,0,15,0.04,0,0.04,low.south
Chestnut_Oak,10,25,13,15,0.4,0.8666666667,-0.466666667,low.south
Hemlock,0,25,0,15,0,0,0,low.south
Red_Maple,13,25,0,15,0.52,0,0.52,low.south
Red_Oak,1,25,0,15,0.04,0,0.04,low.south
Tupelo,0,25,2,15,0,0.1333333333,-0.133333333,low.south
White_Pine,0,25,0,15,0,0,0,low.south
Black_Birch,0,38,7,75,0,0.0933333333,-0.093333333,low.south
Chestnut_Oak,9,38,11,75,0.2368421053,0.1466666667,0.0901754386,low.south
Hemlock,0,38,0,75,0,0,0,low.south
Red_Maple,25,38,6,75,0.6578947368,0.08,0.5778947368,low.south
Red_Oak,0,38,0,75,0,0,0,low.south
Tupelo,2,38,50,75,0.0526315789,0.6666666667,-0.614035088,low.south
White_Pine,2,38,1,75,0.0526315789,0.0133333333,0.0392982456,low.south
Black_Birch,0,40,142,163,0,0.8711656442,-0.871165644,low.south
Chestnut_Oak,0,40,3,163,0,0.018404908,-0.018404908,low.south
Hemlock,0,40,0,163,0,0,0,low.south
Red_Maple,35,40,9,163,0.875,0.0552147239,0.8197852761,low.south
Red_Oak,0,40,0,163,0,0,0,low.south
Tupelo,0,40,0,163,0,0,0,low.south
White_Pine,5,40,9,163,0.125,0.0552147239,0.0697852761,low.south
Black_Birch,5,163,1,48,0.0306748466,0.0208333333,0.0098415133,low.south
