students,TreeID,Bird_sp,time_on_tree,Fruit_handled,drop_fruit,,,
Anisha.Ty.Ziyang,one,NA,NA,0,0,,,
mystery1,one,NA,NA,0,0,,,
mystery2,one,Robin,2,4,0,,,
mystery2,one,Robin,1,2,0,,,
mystery3,one,NA,NA,0,0,,,
Mystery 4,one,starling,0.5,5,0,,,
Mystery 4,one,starling,0.5,1,1,,,
Mystery 4,one,Robin,1,0,0,,,
Anisha.Ty.Ziyang,two,NA,NA,0,0,,,
mystery1,two,Robin,1,1,0,,,
mystery2,two,Robin,1,0,0,,,
mystery2,two,Robin,0.5,0,0,,,
mystery3,two,NA,NA,0,0,,,
Mystery 4,two,NA,NA,0,0,,,
Anisha.Ty.Ziyang,three,NA,NA,0,0,,,
mystery1,three,Robin,1,0,0,,,
mystery1,three,Robin,3,0,0,,,
mystery1,three,Robin,2,0,0,,,
mystery2,three,NA,NA,0,0,,,
mystery3,three,NA,NA,0,0,,,
Mystery 4,three,NA,NA,0,0,,,
Anisha.Ty.Ziyang,four,Waxing,12,0,0,,,
Anisha.Ty.Ziyang,four,Robin,2,5,0,,,
mystery1,four,NA,NA,0,0,,,
mystery2,four,NA,NA,0,0,,,
mystery3,four,NA,NA,0,0,,,
Mystery 4,four,NA,NA,0,0,,,
Anisha.Ty.Ziyang,five,Robin,12,0,0,,,
Anisha.Ty.Ziyang,five,Robin,2,0,0,,,
Anisha.Ty.Ziyang,five,Robin,0.5,0,0,,,
Anisha.Ty.Ziyang,five,Robin,4,4,0,,,
Anisha.Ty.Ziyang,five,Robin,1,0,0,,,
mystery1,five,Waxing,NA,2,0,,,
mystery1,five,Robin,1,0,0,,,
mystery1,five,Robin,NA,0,0,,,
mystery1,five,Robin,1,0,0,,,
mystery1,five,Robin,1,1,0,,,
mystery1,five,Robin,3,0,0,,,
mystery1,five,Robin,1,0,0,,,
mystery1,five,Robin,1,1,0,,,
mystery1,five,Robin,2,0,0,,,
mystery1,five,Robin,NA,0,0,,,
mystery2,five,Robin,NA,0,0,,,
mystery2,five,Robin,NA,0,0,,,
mystery2,five,Robin,NA,0,0,,,
mystery2,five,Robin,NA,0,0,,,
mystery2,five,Robin,NA,0,0,,,
mystery2,five,Robin,NA,0,0,,,
mystery2,five,Waxing,NA,0,0,,,
mystery3,five,Robin,2,1,0,,,
mystery3,five,Robin,1,2,0,,,
mystery3,five,Robin,1,23,0,,,
mystery3,five,Robin,0.5,3,0,,,1.2
mystery3,five,Robin,NA,0,0,,,
mystery3,five,Robin,NA,0,0,,,
mystery3,five,Robin,NA,0,0,,,
mystery3,five,Robin,NA,0,0,,,
mystery3,five,sparrow,NA,0,0,,,
Mystery 4,five,Robin,2,0,0,,,
Mystery 4,five,Robin,5,5,0,,,
Mystery 4,five,Waxing,1,0,0,,,
Mystery 4,five,Waxing,2,2,0,,,
