Tree_ID,Total_crop,Branch_position,fruit_missing_branch,remaining_fruit_branch,Avg_fruit_diam_branch,%_ripe_branch,total_fruit,removal_rate,site,log(p/1-p)
a,8000,L,140,120,10.918,27.27,260,0.538461538,A,0.15415068
a,8000,L,90,92,10.947,25,182,0.494505495,A,-0.021978907
a,8000,H,134,13,8.565,10,147,0.911564626,A,2.332890442
a,8000,H,160,27,9.394,20,187,0.855614973,A,1.779336949
b,22848,L,18,122,10.941,0,140,0.128571429,A,-1.913649287
b,22848,L,7,95,11.094,0,102,0.068627451,A,-2.607966743
b,22848,H,6,137,11.531,0,143,0.041958042,A,-3.128221457
b,22848,H,3,71,10.793,10,74,0.040540541,A,-3.164067588
c,22450,L,23,184,9.55,0,207,0.111111111,A,-2.079441542
c,22450,L,0,86,11.19,5.9,86,0,A,0
c,22450,H,1,286,12.21,0,287,0.003484321,A,-5.655991811
c,22450,H,9,108,10.68,2.6,117,0.076923077,A,-2.48490665
d,32000,L,11,236,11.21,44,247,0.044534413,A,-3.065936532
d,32000,L,5,104,10.74,0,109,0.04587156,A,-3.034952987
d,32000,H,1,69,10.78,52,70,0.014285714,A,-4.234106505
d,32000,H,0,64,10.43,25,64,0,A,0
e,120000,L,6,346,9.96,17.6,352,0.017045455,A,-4.054679306
e,120000,L,22,355,8.5,16.6,377,0.058355438,A,-2.781075336
e,120000,H,20,351,8.7,70,371,0.053908356,A,-2.86505395
e,120000,H,12,372,8.1,14.2,384,0.03125,A,-3.433987204
f,25000,L,31,245,10.159,19.23,276,0.112318841,B,-2.067271006
f,25000,L,17,233,9.579,13.33,250,0.068,B,-2.61782511
f,25000,H,19,38,9.56,11.11,57,0.333333333,B,-0.693147181
f,25000,H,56,32,9.491,4.54,88,0.636363636,B,0.559615788
g,34200,L,13,163,9.541,14.2,176,0.073863636,B,-2.528800843
g,34200,L,16,98,9.266,0,114,0.140350877,B,-1.812378756
g,34200,H,18,67,10.743,11.9,85,0.211764706,B,-1.314320861
g,34200,H,34,47,10.031,18.5,81,0.419753086,B,-0.323787077
h,37200,L,10,126,9.45,3.6,136,0.073529412,B,-2.533696814
h,37200,L,8,95,7.69,2,103,0.077669903,B,-2.47443535
h,37200,H,25,143,9.26,27.8,168,0.148809524,B,-1.743968805
h,37200,H,31,100,9.89,20.7,131,0.236641221,B,-1.171182982
i,14400,L,15,119,8.81,16,134,0.111940299,B,-2.071073292
i,14400,L,11,137,8.26,33.3,148,0.074324324,B,-2.522085653
i,14400,H,102,40,8.91,20,142,0.718309859,B,0.936093359
i,14400,H,4,79,8.48,27.8,83,0.048192771,B,-2.983153491
j,11000,L,5,251,6.8,13.3,256,0.01953125,B,-3.916015027
j,11000,L,28,147,7.5,12,175,0.16,B,-1.658228077
j,11000,H,6,142,7.6,0,148,0.040540541,B,-3.164067588
j,11000,H,52,264,6.9,56,316,0.164556962,B,-1.624705385
