Site,Treatment,Plant Species,phylo_dist,Label,Data
1JM1,AcnArb,AcnArb,0,ant,3
1JM1,AcnArb,AcnArb,0,herbivore,4
1JM1,AcnArb,AcnArb,0,phloem_feeder,1
1JM1,AcnArb,AcnArb,0,pollinator,0
1JM1,AcnArb,AcnArb,0,predator,3
1JM1,AcnArbCapBac,AcnArb,35.1,ant,1
1JM1,AcnArbCapBac,AcnArb,35.1,herbivore,5
1JM1,AcnArbCapBac,AcnArb,35.1,phloem_feeder,1
1JM1,AcnArbCapBac,AcnArb,35.1,pollinator,0
1JM1,AcnArbCapBac,AcnArb,35.1,predator,2
1JM1,AcnArbCapBac,CapBac,35.1,ant,0
1JM1,AcnArbCapBac,CapBac,35.1,herbivore,0
1JM1,AcnArbCapBac,CapBac,35.1,phloem_feeder,6
1JM1,AcnArbCapBac,CapBac,35.1,pollinator,0
1JM1,AcnArbCapBac,CapBac,35.1,predator,0
1JM1,AcnArbCasDec,AcnArb,247.5,ant,1
1JM1,AcnArbCasDec,AcnArb,247.5,herbivore,2
1JM1,AcnArbCasDec,AcnArb,247.5,phloem_feeder,4
1JM1,AcnArbCasDec,AcnArb,247.5,pollinator,0
1JM1,AcnArbCasDec,AcnArb,247.5,predator,2
1JM1,AcnArbCasDec,CasDec,247.5,ant,0
1JM1,AcnArbCasDec,CasDec,247.5,herbivore,0
1JM1,AcnArbCasDec,CasDec,247.5,phloem_feeder,0
1JM1,AcnArbCasDec,CasDec,247.5,pollinator,0
1JM1,AcnArbCasDec,CasDec,247.5,predator,2
1JM1,AcnArbCasSyl,AcnArb,247.5,ant,1
1JM1,AcnArbCasSyl,AcnArb,247.5,herbivore,9
1JM1,AcnArbCasSyl,AcnArb,247.5,phloem_feeder,5
1JM1,AcnArbCasSyl,AcnArb,247.5,pollinator,0
1JM1,AcnArbCasSyl,AcnArb,247.5,predator,0
1JM1,AcnArbCasSyl,CasSyl,247.5,ant,0
1JM1,AcnArbCasSyl,CasSyl,247.5,herbivore,1
1JM1,AcnArbCasSyl,CasSyl,247.5,phloem_feeder,3
