Site,Treatment,Treat2,Plot,plant_sp,N Rows,Grass,Height.avg,Diameter,Fruit.number,Fruit.per.ind,Visits,Visits.per.ind,n.seeds_avg,sum.seeds,seeds.per.ind,Div_treat,logHeight,LogDiam,root_grass,log_fruit_percapita,het_treat
01JM1,AcnArb,Intra,11,Acnistus_arborescens,50,5,232.66667,97.23,290,12.083333333333,6,0.25,12.578947368421,239,9.9583333333333,1,5.4538955985,4.5873116677,2.2360679775,2.5713391556,1
01JM1,AcnArb&CapBac,Hetero.same,17,Acnistus_arborescens,50,25,364.66667,148.62,627,52.25,14,1.1666666666667,11.909090909091,131,10.916666666667,2,5.9017221717,5.0080987464,5,3.9749978046,2
01JM1,AcnArb&CapBac,Hetero.same,17,Capsicum_baccatum,50,25,123,0,255.71428571429,21.309523809524,1,0.0833333333333,23.428571428571,164,13.666666666667,2,4.8202815656,0,5,3.105013664,2
01JM1,AcnArb&CasDec,Hetero.diff,5,Acnistus_arborescens,200,10,209.66667,81.82,230.71428571429,19.226190476191,11,0.9166666666667,24.705882352941,420,35,2,5.3502771056,4.4166695781,3.1622776602,3.0069783228,3
01JM1,AcnArb&CasSyl,Hetero.diff,19,Acnistus_arborescens,200,25,294.66667,146,558.25,46.520833333333,8,0.6666666666667,23.157894736842,440,36.666666666667,2,5.6892326938,4.9904325868,5,3.8611682114,3
01JM1,AcnArb&CasSyl,Hetero.diff,19,Casearia_sylvestris,200,25,112.66667,30.8175,60,5,0,0,0,0,0,2,4.7332701889,3.4600164529,5,1.7917594692,3
01JM1,AcnArb&CelIgu,Hetero.diff,22,Acnistus_arborescens,200,10,304,120.5025,243.75,20.3125,4,0.3333333333333,12.8125,205,17.083333333333,2,5.7203117766,4.7999348387,3.1622776602,3.059293755,3
01JM1,AcnArb&CelIgu,Hetero.diff,22,Celtis_iguanaea,200,10,255,53.01,0,0,0,0,0,0,0,2,5.5451774445,3.9891692146,3.1622776602,0,3
01JM1,AcnArb&TreMic,Hetero.diff,15,Acnistus_arborescens,200,2,368,114.76,216.66666666667,18.055555555556,0,0,1.5,3,0.25,2,5.910796644,4.7515190823,1.4142135624,2.9473586893,3
01JM1,AcnArb&TreMic,Hetero.diff,15,Trema_micrantha,200,2,463.33333,72.6325,1394.4444444444,116.2037037037,26,2.1666666666667,32.421052631579,616,51.333333333333,2,6.140602685,4.2990865044,1.4142135624,4.7639134782,3
01JM1,All,Hetero.All,12,Acnistus_arborescens,50,10,260.66667,135.33,153.75,38.4375,5,1.25,22.875,183,45.75,6,5.5670714292,4.9150784172,3.1622776602,3.6747171403,6
01JM1,All,Hetero.All,12,Capsicum_baccatum,50,10,137.33333,26.9225,106.15384615385,26.538461538462,0,0,23.888888888889,215,53.75,6,4.9296662313,3.3294328154,3.1622776602,3.3155836289,6
01JM1,All,Hetero.All,12,Casearia_sylvestris,50,10,87.333333,31.9225,0,0,0,0,0,0,0,6,4.4811175373,3.4941563146,3.1622776602,0,6
01JM1,All,Hetero.All,12,Celtis_iguanaea,50,10,126.66667,46.656667,0,0,0,0,0,0,0,6,4.8494227008,3.8640225294,3.1622776602,0,6
01JM1,All,Hetero.All,12,Trema_micrantha,50,10,188.33333,53.163333,232.85714285714,58.214285714286,2,0.5,19.2,96,24,6,5.2435091299,3.9920041727,3.1622776602,4.0811628255,6
01JM1,CapBac,Intra,9,Capsicum_baccatum,50,5,172.66667,43.146667,651.47058823529,27.144607843137,14,0.5833333333333,54.947368421053,1044,43.5,1,5.1571377533,3.787517424,2.2360679775,3.3373557854,1
01JM1,CapBac&CasDec,Hetero.diff,20,Capsicum_baccatum,200,15,155,57.4025,560,46.666666666667,5,0.4166666666667,55.823529411765,949,79.083333333333,2,5.0498560072,4.0673586971,3.8729833462,3.8642323416,3
01JM1,CapBac&CasSyl,Hetero.diff,21,Capsicum_baccatum,200,10,164.33333,45.62,432.14285714286,36.011904761905,8,0.6666666666667,37,555,46.25,2,5.1079636379,3.8420296336,3.1622776602,3.6112396112,3
01JM1,CapBac&CasSyl,Hetero.diff,21,Casearia_sylvestris,200,10,115,24.2525,50,4.1666666666667,0,0,0,0,0,2,4.7535901911,3.2289251607,3.1622776602,1.6422277353,3
01JM1,CapBac&CelIgu,Hetero.diff,10,Capsicum_baccatum,200,10,145,40.785,308.57142857143,25.714285714286,6,0.5,37.125,594,49.5,2,4.9836066217,3.7325374235,3.1622776602,3.2851984678,3
01JM1,CapBac&CelIgu,Hetero.diff,10,Celtis_iguanaea,200,10,221.66667,48.7775,0,0,0,0,0,0,0,2,5.405675885,3.9075630747,3.1622776602,0,3
01JM1,CapBac&TreMic,Hetero.diff,3,Capsicum_baccatum,200,30,90.333333,27.1725,218.27272727273,18.189393939394,7,0.5833333333333,63.875,511,42.583333333333,2,4.5145158177,3.3383463248,5.4772255751,2.9543577274,3
01JM1,CapBac&TreMic,Hetero.diff,3,Trema_micrantha,200,30,175,114.58,200,16.666666666667,7,0.5833333333333,24.625,197,16.416666666667,2,5.170483995,4.7499629309,5.4772255751,2.8716796249,3
01JM1,CasDec&CasSyl,Hetero.same,6,Casearia_sylvestris,50,20,147.66667,68.9875,850,70.833333333333,3,0.25,19.25,308,25.666666666667,2,5.0017066636,4.2483166547,4.472135955,4.2743486209,2
01JM1,CasDec&CelIgu,Hetero.diff,2,Celtis_iguanaea,200,1,350.33333,73.035,60,5,0,0,5.6666666666667,17,1.4166666666667,2,5.8617354403,4.3045379544,1,1.7917594692,3
01JM1,CasDec&TreMic,Hetero.diff,8,Trema_micrantha,200,0,493.33333,61.2,760,63.333333333333,18,1.5,36.666666666667,770,64.166666666667,2,6.2032100534,4.1303549997,0,4.1640779002,3
