plot,Black_Birch,Black_Oak,Chestnut_Oak,Dogwood,Hemlock,Red_Maple,Red_Oak,Sassafras,Serviceberry,Striped_Maple,Tulip_Tree,Tupelo,White_Oak,White_Pine,Witch_Hazel,Yellow_Birch
A1,0,0,7,0,0,5,0,0,0,0,0,29,1,4,0,0
A2,0,0,4,0,0,5,0,0,0,0,0,15,0,6,0,0
A3,43,0,2,0,0,12,0,0,0,0,0,4,0,18,0,0
A4,1,0,0,0,0,8,1,0,0,0,0,8,5,5,0,0
A5,2,0,0,0,0,7,2,0,0,0,0,7,4,2,0,0
A6,1,1,2,0,0,7,1,0,1,0,0,7,0,6,0,0
A7,0,0,4,0,0,4,2,0,0,0,1,6,0,1,0,0
A8,0,1,13,0,0,0,0,0,0,0,0,2,0,0,0,0
A9,7,0,11,0,0,6,0,0,0,0,0,50,0,1,0,0
A10,142,0,3,0,0,9,0,0,0,0,0,0,0,9,0,0
A11,1,0,7,0,0,6,1,0,0,0,0,32,0,1,0,0
A12,0,0,5,0,0,5,0,0,0,0,0,30,0,9,0,0
A13,0,0,3,0,0,3,0,0,0,0,0,2,0,25,0,44
A14,0,0,3,0,1,4,2,0,0,0,0,31,0,14,0,3
A15,14,0,5,0,0,4,0,0,0,0,0,9,0,5,0,0
A16,0,0,4,0,2,0,0,0,0,0,0,2,0,4,0,0
B1,0,2,8,0,0,7,1,0,6,0,0,6,0,0,2,0
B2,0,0,3,0,0,13,1,0,0,0,0,3,0,0,0,0
B3,0,0,2,0,0,5,5,0,0,0,0,2,0,0,0,0
B4,1,0,4,0,0,10,2,0,0,0,0,22,0,0,0,0
B5,1,0,8,0,0,9,3,0,2,0,0,6,0,0,0,0
B6,0,0,7,0,0,6,0,0,1,0,0,32,0,0,0,0
B7,0,0,4,0,0,10,5,0,0,0,0,5,0,0,0,0
B8,0,0,8,0,0,5,5,0,0,0,0,17,0,5,0,0
B9,5,0,14,0,0,18,0,0,0,0,0,8,0,0,0,0
B10,0,3,4,0,0,12,0,0,0,0,0,16,0,0,0,0
B11,0,0,8,0,0,12,6,0,2,0,0,0,0,0,2,0
B12,0,3,4,0,0,0,0,1,0,0,0,10,2,1,1,0
B13,0,0,5,0,0,12,0,0,0,0,0,1,0,1,2,1
B14,0,1,4,2,2,4,0,8,0,0,0,0,0,0,1,0
B15,2,0,5,0,4,6,0,0,1,0,0,2,0,1,0,0
B16,14,0,8,0,2,18,7,0,0,10,0,0,0,0,0,0
C1,2,0,2,0,27,11,0,0,0,1,0,0,0,0,0,0
C2,2,0,2,0,33,0,0,0,0,4,0,0,0,0,0,0
C3,2,0,4,0,10,16,13,0,0,0,0,1,0,1,0,0
C4,0,1,9,0,45,0,7,0,0,0,0,0,0,0,0,0
C5,0,0,8,0,12,17,4,0,0,0,0,1,0,0,0,0
C6,3,0,5,0,26,10,0,0,0,0,0,1,0,0,0,0
C7,0,0,0,0,29,5,2,0,0,0,0,0,0,0,0,0
C8,4,0,2,0,29,1,0,0,0,0,0,0,0,0,0,0
C9,10,0,16,0,53,9,0,0,0,0,0,0,0,0,0,0
C11,1,0,10,0,33,39,3,0,2,0,0,0,0,1,0,0
C12,0,0,0,0,33,1,0,0,0,0,0,0,0,0,0,0
C13,0,0,3,0,29,10,0,0,0,0,0,0,0,0,0,0
C14,0,0,0,0,19,4,2,0,0,0,0,0,0,1,0,3
C15,10,0,0,0,41,3,1,0,0,0,0,0,0,0,0,0
C16,7,0,0,0,25,1,2,0,0,0,0,0,0,0,0,0
