Site,Date,Weather,Temperature,Time,Treatment,Plant,Position,Plant_Species,Height(meters),0(percent herbivory),less10(percent herbivory),10to50(percent herbivory),>greater50(percent herbivory),100(percent herbivory),herb_leaves,total_leaves,Stress,Total_Herbivory,Herbivory_not_including_100,Herbiv.AT,Plot_Classification,Intra_dens,phylo_dist
1JM1,27-May,sunny,67,9:00,CasSylTreMic,1,Outside,TreMic,2.4,30,10,8,3,1,22,52,No,0.127884615,0.110784314,0.127884615,Hetero.diff,12,231.6
1JM1,27-May,sunny,67,9:00,CasSylTreMic,1,Outside,TreMic,2.4,28,14,8,3,5,30,58,No,0.190517241,0.114150943,0.190517241,Hetero.diff,12,231.6
1JM1,27-May,sunny,67,9:00,CasSylTreMic,1,Outside,TreMic,2.4,6,3,3,3,4,13,19,No,0.392105263,0.23,0.392105263,Hetero.diff,12,231.6
1JM1,27-May,sunny,67,9:00,CasSylTreMic,2,Inside,TreMic,1.4,28,6,1,1,2,10,38,No,0.096052632,0.045833333,0.096052632,Hetero.diff,12,231.6
1JM1,27-May,sunny,67,9:00,CasSylTreMic,2,Inside,TreMic,1.4,51,9,5,1,2,17,68,No,0.075735294,0.047727273,0.075735294,Hetero.diff,12,231.6
1JM1,27-May,sunny,67,9:00,CasSylTreMic,2,Inside,TreMic,1.4,13,2,0,0,1,3,16,No,0.075,0.013333333,0.075,Hetero.diff,12,231.6
1JM1,27-May,sunny,67,9:00,CasSylTreMic,3,Outside,CasSyl,0.8,7,4,0,2,0,6,13,No,0.146153846,0.146153846,0.146153846,Hetero.diff,12,231.6
1JM1,27-May,sunny,67,9:00,CasSylTreMic,3,Outside,CasSyl,0.8,9,9,3,2,4,18,27,No,0.27037037,0.143478261,0.143478261,Hetero.diff,12,231.6
1JM1,27-May,sunny,67,9:00,CasSylTreMic,3,Outside,CasSyl,0.8,0,5,3,4,3,15,15,No,0.493333333,0.366666667,0.366666667,Hetero.diff,12,231.6
1JM1,27-May,sunny,67,9:00,CasSylTreMic,4,Inside,CasSyl,0.4,10,2,0,0,3,5,15,No,0.213333333,0.016666667,0.016666667,Hetero.diff,12,231.6
1JM1,27-May,sunny,67,9:00,CasSylTreMic,4,Inside,CasSyl,0.4,11,1,2,3,2,8,19,No,0.260526316,0.173529412,0.173529412,Hetero.diff,12,231.6
1JM1,27-May,sunny,67,9:00,CasSylTreMic,4,Inside,CasSyl,0.4,10,2,0,0,0,2,12,No,0.016666667,0.016666667,0.016666667,Hetero.diff,12,231.6
1JM1,27-May,sunny,70,10:00,CasDecCelIgu,1,Outside,CasDec,0.9,6,0,0,0,10,10,16,Yes,0.625,0,0,Hetero.diff,12,231.6
