,ANMA_sum,BANA_sum,BFGR_sum,BRMA_sum,COGD_sum,EUCD_sum,GAGR_sum,GRAK_sum,GTCA_sum,NOMO_sum,PETH_sum,PRSP_sum,PRWO_sum,RLTH_sum,SNPI_sum,WCPI_sum,WWDO_sum,WWPA_sum,ZEND_sum
1-RP-A1,0,7,0,0,0,0,55,5,0,7,0,0,1,3,0,0,21,0,16
1-RP-A,0,11,9,0,0,1,110,19,0,3,0,3,0,0,5,2,27,0,21
1-RP-B1,0,18,5,0,0,0,87,0,0,0,5,0,0,6,0,0,9,0,38
1-RP-B,0,22,18,0,0,0,24,10,2,0,12,3,0,3,0,0,18,0,11
1-RP-C,0,18,18,0,0,0,63,0,0,10,12,3,0,0,2,1,21,0,32
1-RP-C,0,18,23,0,0,0,24,24,0,3,7,0,0,3,7,1,21,0,27
10-BAY-AA1,0,29,14,0,0,3,24,14,0,0,0,12,0,0,0,1,12,0,32
10-BAY-AA,0,15,9,0,6,0,24,10,0,7,0,3,0,0,0,0,0,0,16
10-BAY-BB1,0,18,18,0,3,1,8,10,0,7,0,0,0,0,0,2,15,0,5
10-BAY-BB,0,7,18,0,11,0,39,5,0,10,0,0,0,3,0,0,9,0,21
10-BAY-CC1,0,11,18,0,0,0,0,0,0,3,0,3,0,0,0,1,6,0,11
10-BAY-CC,0,7,14,0,0,0,39,5,0,3,0,3,0,3,0,1,30,0,5
11-BAY-A,0,4,9,0,0,0,8,14,0,3,0,0,0,3,0,0,9,0,21
11-BAY-A1,2,15,14,0,3,0,71,5,0,0,0,9,0,9,0,0,9,0,27
11-BAY-B,0,4,0,0,3,0,32,14,0,0,0,0,0,0,0,0,0,0,11
11-BAY-B1,0,11,14,0,3,0,24,10,0,10,0,0,0,3,0,0,9,0,11
11-BAY-C,0,7,14,0,0,0,32,10,0,3,0,0,0,3,0,0,9,0,11
11-BAY-C1,0,11,14,0,0,0,32,14,0,10,0,0,0,3,0,2,9,0,16
12-BAY-AA,0,7,5,0,0,0,32,5,0,3,0,0,0,0,0,0,30,0,16
12-BAY-AA1,0,18,18,0,0,0,39,10,0,3,0,3,0,0,0,0,18,0,16
12-BAY-BB,0,7,9,0,0,0,39,19,0,3,0,0,0,3,0,0,12,0,21
12-BAY-BB1,0,11,5,0,0,0,55,14,0,3,0,3,0,6,0,0,21,0,27
12-BAY-CC,0,0,18,0,11,0,79,5,0,3,0,3,0,0,0,0,12,0,16
12-BAY-CC1,0,0,18,0,6,0,39,19,0,7,0,3,0,0,0,0,18,0,27
13-BAY-A,0,7,5,0,0,0,95,5,0,0,0,3,3,0,0,0,12,0,21
13-BAY-A1,2,4,18,0,0,0,47,5,0,3,0,0,3,0,0,0,21,0,21
13-BAY-B,0,4,5,0,0,0,79,10,0,0,0,0,0,6,0,0,6,0,21
13-BAY-B1,6,7,5,0,11,0,32,5,0,13,0,0,0,3,0,0,9,0,32
13-BAY-C,0,15,0,0,0,0,55,5,0,7,0,0,0,3,0,0,3,0,32
13-BAY-C1,0,4,14,0,0,0,39,24,0,7,0,3,0,15,0,0,9,0,21
14-BAY-AA,0,4,0,0,0,0,126,14,0,0,0,3,0,0,0,0,12,0,27
14-BAY-AA1,0,7,14,0,6,0,71,5,0,3,0,0,0,0,0,0,15,0,21
