Full_Transect,Pair,Socioeconomic,frugivore,granivore,nectarivore,omnivore,ln_ripe_fruit,woody,total_foraging,Mean_FLOWERS
1-RP-A,A,High,1,6,5,3,73.12374688,54,15,2.380952381
1-RP-B,A,High,2,13,6,1,23.20649732,72,22,2.333333333
1-RP-C,A,High,3,3,5,2,57.96353472,133,13,2.326923077
2-RP-A,A,Low,1,1,3,1,7.147559271,42,6,2.714285714
2-RP-B,A,Low,0,1,1,1,1.335001067,31,3,2.75
2-RP-C,A,Low,1,6,1,2,47.91169463,65,10,2.322580645
3-RP-A,B,High,2,4,1,1,26.9021243,35,8,2.09375
3-RP-B,B,High,1,16,3,1,21.11621029,97,21,3.344827586
3-RP-C,B,High,0,5,3,1,32.6130534,73,9,2.628571429
4-RP-A,B,Low,1,6,20,2,6.733401892,81,29,2.1
4-RP-B,B,Low,1,7,0,2,26.15002498,40,10,2.090909091
4-RP-C,B,Low,0,4,2,3,31.49642071,75,9,2.222222222
9-BAY-A,E,High,0,2,13,2,18.28671296,114,17,3
9-BAY-B,E,High,2,13,2,1,2.63905733,78,18,2.44
9-BAY-C,E,High,0,7,0,2,14.5574979,71,9,2.407407407
10-BAY-A,E,Low,1,3,8,1,32.72068404,109,13,2
10-BAY-B,E,Low,1,9,10,1,10.55664572,73,21,2.269230769
10-BAY-C,E,Low,0,5,2,2,5.505331536,53,9,2.272727273
17-LEV-A,I,High,0,6,0,1,12.96035255,50,7,2.085106383
17-LEV-B,I,High,0,3,13,1,14.84155861,178,17,2.725
17-LEV-C,I,High,1,6,2,1,23.76807466,123,10,2.913793103
18-LEV-A,I,Low,1,2,9,13,34.5918998,86,25,2.295081967
18-LEV-B,I,Low,0,12,17,5,10.40592812,55,34,1.986842105
18-LEV-C,I,Low,3,5,5,2,63.85862493,30,15,2.330434783
