distance,size,Sample.Label,Region.Label,Effort,TREE
30,1,s.robinson,SC,3,0.00707
32,1,s.robinson,SC,3,0.00707
33,1,s.robinson,SC,3,0.00707
31,1,s.robinson,SC,3,0.00707
41,1,s.robinson,SC,3,0.00707
39,1,s.robinson,SC,3,0.00707
42,1,s.robinson,SC,3,0.00707
40,1,s.robinson,SC,3,0.00707
38,1,n.forum,SC,3,0.0099
37,1,n.forum,SC,3,0.0099
33,1,n.forum,SC,3,0.0099
12,1,n.forum,SC,3,0.0099
10,1,n.forum,SC,3,0.0099
9,1,n.forum,SC,3,0.0099
14,1,n.forum,SC,3,0.0099
19,1,n.forum,SC,3,0.0099
18,1,n.forum,SC,3,0.0099
43,1,e.cedar,SC,3,0.00424
39,1,e.cedar,SC,3,0.00424
27,1,s.chapel,SC,3,0.04527
34,1,w.kern,SC,3,0.01981
32,1,s.inn,SC,3,0.02122
16,1,s.ferguson,SC,3,0.00707
80,1,s.robinson,SC,3,0.00707
130,1,s.robinson,SC,3,0.00707
50,1,n.forum,SC,3,0.0099
31,1,n.forum,SC,3,0.0099
84,1,n.forum,SC,3,0.0099
12,1,n.forum,SC,3,0.0099
27,1,n.forum,SC,3,0.0099
110,1,e.cedar,SC,3,0.00424
92,1,e.cedar,SC,3,0.00424
37,1,s.chapel,SC,3,0.04527
14,1,s.chapel,SC,3,0.04527
28,1,w.jordan,SC,3,0.00566
46,1,w.jordan,SC,3,0.00566
49,1,w.jordan,SC,3,0.00566
53,1,w.jordan,SC,3,0.00566
42,1,w.jordan,SC,3,0.00566
28,1,w.kern,SC,3,0.01981
62,1,s.inn,SC,3,0.02122
48,1,s.borland,SC,3,0.01132
56,1,s.borland,SC,3,0.01132
36,1,s.robinson,SC,3,0.00707
136,1,s.robinson,SC,3,0.00707
76,1,n.forum,SC,3,0.0099
81,1,n.forum,SC,3,0.0099
79,1,n.forum,SC,3,0.0099
85,1,n.forum,SC,3,0.0099
92,1,n.forum,SC,3,0.0099
95,1,n.forum,SC,3,0.0099
101,1,n.forum,SC,3,0.0099
103,1,n.forum,SC,3,0.0099
98,1,n.forum,SC,3,0.0099
109,1,n.forum,SC,3,0.0099
48,1,n.forum,SC,3,0.0099
21,1,e.cedar,SC,3,0.00424
16,1,e.cedar,SC,3,0.00424
32,1,e.cedar,SC,3,0.00424
59,1,w.jordan,SC,3,0.00566
79,1,w.jordan,SC,3,0.00566
98,1,w.kern,SC,3,0.01981
107,1,w.kern,SC,3,0.01981
92,1,w.kern,SC,3,0.01981
19,1,s.inn,SC,3,0.02122
22,1,s.inn,SC,3,0.02122
20,1,s.inn,SC,3,0.02122
17,1,s.inn,SC,3,0.02122
31,1,s.inn,SC,3,0.02122
