Site,Ammodramus_humeralis,Basileuterus_culicivorus,Cacicus_chrysopterus,Camptostoma_obsoletum,Chrysomus_ruficapillus,Coereba_flaveola,Colaptes_campestris,Columbina_picui,Columbina_squammata,Columbina_talpacoti,Coryphospingus_cucullatus,Crotophaga_ani,Cyanocorax_chrysops,Cyanoloxia_brissonii,Dacnis_cayana,Elaenia_sp,Emberizoides_herbicola,Empidonomus_varius,Euphonia_chlorotica,Euphonia_violacea,Fluvicola_nengeta,Forpus_xanthopterygius,Furnarius_rufus,Geothlypis_aequinoctialis,Guira_guira,Habia_rubica,Icterus_pyrrhopterus,Legatus_leucophaius,Leptotila_rufaxilla,Leptotila_verreauxi,Machetornis_rixosa,Megarynchus_pitangua,Melanerpes_candidus,Mimus_saturninus,Mionectes_rufiventris,Molothrus_bonariensis,Myiarchus_sp,Myiodynastes_maculatus,Myiothlypis_flaveola,Myiozetetes_similis,Nemosia_pileata,Not_identified,Passer_domesticus,Patagioenas_cayennensis,Patagioenas_picazuro,Patagioenas_sp,Piaya_cayana,Pitangus_sulphuratus,Pyrocephalus_rubinus,Ramphastos_toco,Ramphocelus_carbo,Serpophaga_subcristata,Setophaga_pitiayumi,Sicalis_flaveola,Sicalis_luteola,Sicalis_sp,Spinus_magellanicus,Sporophila_caerulescens,Sporophila_lineola,Sporophila_sp,Stilpnia_cayana,Synallaxis_sp,Tachyphonus_coronatus,Tangara_seledon,Tapera_naevia,Tersina_viridis,Thamnophilus_caerulescens,Thamnophilus_doliatus,Thlypopsis_sordida,Thraupis_ornata,Thraupis_palmarum,Thraupis_sayaca,Thraupis_sp,Trichothraupis_melanops,Troglodytes_aedon,Troglodytes_musculus,Turdus_amaurochalinus,Turdus_leucomelas,Turdus_rufiventris,Turdus_sp,Tyrannus_melancholicus,Tyrannus_savana,Vireo_chivi,Volatinia_jacarina,Xolmis_velatus,Zenaida_auriculata,Zonotrichia_capensis
0.none01JM1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,7,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,4,0,0,8
0.none02JM2,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,0,4
0.none03SS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3
0.none04AJ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,3,7,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,4,0,10,0,0,4
0.none05PF1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
0.none06PF2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,12
0.none07ZM,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,1,0,1,0,0,5
0.none08NEI,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,1,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,4,1,0,2,0,0,1
0.none09DITO,1,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,0,1,0,1,0,0,6
0.none10JG,1,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,3,2,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,7,0,0,6
