Sites,Alopochelidon_fucata,Ammodramus_humeralis,Apodiformes,Athene_cunicularia,Cacicus_chysupterus,Camptostoma_obsoletum,Cariama_cristata,Cathartes_aura,Coereba_flaveola,Colaptes_campestris,Columbina_talpacoti,Coragyps_atratus,Coryphospingus_cucullatus,Dacnis_cayana,Elaenia_flavogaster,Elaenia_sp,Empidonomus_varius,Euphonia_violaceae,Florisuga_fusca,Fluvicola_albiventer,Fluvicola_nengeta,Furnarius_rufus,Geothlypis_velata,Guira_guira,Hylocharis_chysura,Icterus_pyrrhopterus,Leptotila_verreauxi,Machetornis_rixosa,Melanerpes_candidus,Mimus_saturninus,Molothrus_bonariensis,Myiarchus_ferox,Myiarchus_sp,Myiarchus_swainsoni,Myiarchus_tyrannulus,Myiodynastes_maculatus,Myiozetetes_similis,Nemosia_pileata,Not_id,Passer_domesticus,Patagioenas_picazuro,Patagioenas_sp,Piaya_cayana,Pitangus_sulphuratus,Progne_sp,Pygochelidon_cyanoleuca,Pyrocephalus_rubinus,Ramphocelus_carbo,Serpophaga_subcristata,Sicalis_flaveola,Sicalis_luteola,Sicalis_sp,Sinallaxis_sp,Spinus_magellanicus,Sporophila_caerulescens,Sporophila_leucoptera,Sporophila_lineola,Sporophila_sp,Stelgidopteryx_ruficollis,Stilpnia_cayana,Tachycineta_leucorrhoa,Tachyphonus_coronatus,Tangara_cayana,Tersina_viridis,Thamnophilus_caerulescens,Thamnophilus_doliatus,Thraupis_sayaca,Thraupis_sp,Trichothraupis_melanops,Trochilidae,Troglodytes_aedon,Troglodytes_musculus,Turdus_leucomelas,Turdus_rufiventris,Turdus_sp,Tyrannus_melancholicus,Tyrannus_savana,Volatinia_jacarina,Xolmis_velatus,Zonotrichia_capensis
AcnArb1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,2,0,0,0
AcnArb2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,1,0,2
AcnArb3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
AcnArb4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,2,4,3,0,1
AcnArb5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AcnArb6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2
AcnArb7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0
AcnArb8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
AcnArb9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
AcnArb10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
