Area,Treatment,Seed_species,Year,Month,initial_day,final_day,total,exclosure,survival
01JM1,AcnArb,Schinus_terebinthifolius,2024,May,6,8,5,Out,5
01JM1,AcnArb,Schinus_terebinthifolius,2024,May,6,8,5,In,5
01JM1,AcnArb&CapBac,Schinus_terebinthifolius,2024,May,6,8,5,Out,0
01JM1,AcnArb&CapBac,Schinus_terebinthifolius,2024,May,6,8,5,In,1
01JM1,AcnArb&CasSyl,Schinus_terebinthifolius,2024,May,6,8,5,Out,5
01JM1,AcnArb&CasSyl,Schinus_terebinthifolius,2024,May,6,8,5,In,3
01JM1,AcnArb&TreMic,Schinus_terebinthifolius,2024,May,6,8,5,Out,0
01JM1,AcnArb&TreMic,Schinus_terebinthifolius,2024,May,6,8,5,In,0
01JM1,All,Schinus_terebinthifolius,2024,May,6,8,5,Out,5
01JM1,All,Schinus_terebinthifolius,2024,May,6,8,5,In,5
01JM1,CapBac,Schinus_terebinthifolius,2024,May,6,8,5,Out,5
01JM1,CapBac,Schinus_terebinthifolius,2024,May,6,8,5,In,5
01JM1,CapBac&CasSyl,Schinus_terebinthifolius,2024,May,6,8,5,Out,0
01JM1,CapBac&CasSyl,Schinus_terebinthifolius,2024,May,6,8,5,In,0
01JM1,CapBac&TreMic,Schinus_terebinthifolius,2024,May,6,8,5,Out,2
01JM1,CapBac&TreMic,Schinus_terebinthifolius,2024,May,6,8,5,In,5
01JM1,CasSyl,Schinus_terebinthifolius,2024,May,6,8,5,Out,5
01JM1,CasSyl,Schinus_terebinthifolius,2024,May,6,8,5,In,5
01JM1,CasSyl&TreMic,Schinus_terebinthifolius,2024,May,6,8,5,Out,4
01JM1,CasSyl&TreMic,Schinus_terebinthifolius,2024,May,6,8,5,In,3
01JM1,Control,Schinus_terebinthifolius,2024,May,6,8,5,Out,4
01JM1,Control,Schinus_terebinthifolius,2024,May,6,8,5,In,5
01JM1,TreMic,Schinus_terebinthifolius,2024,May,6,8,5,Out,1
01JM1,TreMic,Schinus_terebinthifolius,2024,May,6,8,5,In,0
02JM2,AcnArb,Schinus_terebinthifolius,2024,May,6,8,5,Out,0
02JM2,AcnArb,Schinus_terebinthifolius,2024,May,6,8,5,In,2
02JM2,AcnArb&CapBac,Schinus_terebinthifolius,2024,May,6,8,5,Out,4
02JM2,AcnArb&CapBac,Schinus_terebinthifolius,2024,May,6,8,5,In,4
02JM2,AcnArb&CasSyl,Schinus_terebinthifolius,2024,May,6,8,5,Out,1
02JM2,AcnArb&CasSyl,Schinus_terebinthifolius,2024,May,6,8,5,In,0
02JM2,AcnArb&TreMic,Schinus_terebinthifolius,2024,May,6,8,5,Out,4
02JM2,AcnArb&TreMic,Schinus_terebinthifolius,2024,May,6,8,5,In,1
02JM2,All,Schinus_terebinthifolius,2024,May,6,8,5,Out,0
02JM2,All,Schinus_terebinthifolius,2024,May,6,8,5,In,3
02JM2,CapBac,Schinus_terebinthifolius,2024,May,6,8,5,Out,5
02JM2,CapBac,Schinus_terebinthifolius,2024,May,6,8,5,In,1
02JM2,CapBac&CasSyl,Schinus_terebinthifolius,2024,May,6,8,5,Out,5
02JM2,CapBac&CasSyl,Schinus_terebinthifolius,2024,May,6,8,5,In,4
02JM2,CapBac&TreMic,Schinus_terebinthifolius,2024,May,6,8,5,Out,1
02JM2,CapBac&TreMic,Schinus_terebinthifolius,2024,May,6,8,5,In,1
02JM2,CasSyl,Schinus_terebinthifolius,2024,May,6,8,5,Out,2
02JM2,CasSyl,Schinus_terebinthifolius,2024,May,6,8,5,In,3
02JM2,CasSyl&TreMic,Schinus_terebinthifolius,2024,May,6,8,5,Out,0
02JM2,CasSyl&TreMic,Schinus_terebinthifolius,2024,May,6,8,5,In,3
02JM2,Control,Schinus_terebinthifolius,2024,May,6,8,5,Out,5
02JM2,Control,Schinus_terebinthifolius,2024,May,6,8,5,In,5
02JM2,TreMic,Schinus_terebinthifolius,2024,May,6,8,5,Out,4
02JM2,TreMic,Schinus_terebinthifolius,2024,May,6,8,5,In,3
03SS,AcnArb,Schinus_terebinthifolius,2024,May,6,8,5,Out,0
03SS,AcnArb,Schinus_terebinthifolius,2024,May,6,8,5,In,0
03SS,AcnArb&CapBac,Schinus_terebinthifolius,2024,May,6,8,5,Out,
03SS,AcnArb&CapBac,Schinus_terebinthifolius,2024,May,6,8,5,In,
03SS,AcnArb&CasSyl,Schinus_terebinthifolius,2024,May,6,8,5,Out,5
03SS,AcnArb&CasSyl,Schinus_terebinthifolius,2024,May,6,8,5,In,5
03SS,AcnArb&TreMic,Schinus_terebinthifolius,2024,May,6,8,5,Out,4
03SS,AcnArb&TreMic,Schinus_terebinthifolius,2024,May,6,8,5,In,5
03SS,All,Schinus_terebinthifolius,2024,May,6,8,5,Out,0
03SS,All,Schinus_terebinthifolius,2024,May,6,8,5,In,0
03SS,CapBac,Schinus_terebinthifolius,2024,May,6,8,5,Out,0
03SS,CapBac,Schinus_terebinthifolius,2024,May,6,8,5,In,0
03SS,CapBac&CasSyl,Schinus_terebinthifolius,2024,May,6,8,5,Out,0
03SS,CapBac&CasSyl,Schinus_terebinthifolius,2024,May,6,8,5,In,4
03SS,CapBac&TreMic,Schinus_terebinthifolius,2024,May,6,8,5,Out,5
03SS,CapBac&TreMic,Schinus_terebinthifolius,2024,May,6,8,5,In,5
03SS,CasSyl,Schinus_terebinthifolius,2024,May,6,8,5,Out,2
03SS,CasSyl,Schinus_terebinthifolius,2024,May,6,8,5,In,5
03SS,CasSyl&TreMic,Schinus_terebinthifolius,2024,May,6,8,5,Out,0
03SS,CasSyl&TreMic,Schinus_terebinthifolius,2024,May,6,8,5,In,0
03SS,Control,Schinus_terebinthifolius,2024,May,6,8,5,Out,0
03SS,Control,Schinus_terebinthifolius,2024,May,6,8,5,In,0
03SS,TreMic,Schinus_terebinthifolius,2024,May,6,8,5,Out,4
03SS,TreMic,Schinus_terebinthifolius,2024,May,6,8,5,In,5
04AJ,AcnArb,Schinus_terebinthifolius,2024,May,6,8,5,Out,0
04AJ,AcnArb,Schinus_terebinthifolius,2024,May,6,8,5,In,0
04AJ,AcnArb&CapBac,Schinus_terebinthifolius,2024,May,6,8,5,Out,0
04AJ,AcnArb&CapBac,Schinus_terebinthifolius,2024,May,6,8,5,In,0
04AJ,AcnArb&CasSyl,Schinus_terebinthifolius,2024,May,6,8,5,Out,0
04AJ,AcnArb&CasSyl,Schinus_terebinthifolius,2024,May,6,8,5,In,3
04AJ,AcnArb&TreMic,Schinus_terebinthifolius,2024,May,6,8,5,Out,5
04AJ,AcnArb&TreMic,Schinus_terebinthifolius,2024,May,6,8,5,In,4
04AJ,All,Schinus_terebinthifolius,2024,May,6,8,5,Out,2
04AJ,All,Schinus_terebinthifolius,2024,May,6,8,5,In,2
04AJ,CapBac,Schinus_terebinthifolius,2024,May,6,8,5,Out,3
04AJ,CapBac,Schinus_terebinthifolius,2024,May,6,8,5,In,3
04AJ,CapBac&CasSyl,Schinus_terebinthifolius,2024,May,6,8,5,Out,1
04AJ,CapBac&CasSyl,Schinus_terebinthifolius,2024,May,6,8,5,In,4
04AJ,CapBac&TreMic,Schinus_terebinthifolius,2024,May,6,8,5,Out,5
04AJ,CapBac&TreMic,Schinus_terebinthifolius,2024,May,6,8,5,In,5
04AJ,CasSyl,Schinus_terebinthifolius,2024,May,6,8,5,Out,0
04AJ,CasSyl,Schinus_terebinthifolius,2024,May,6,8,5,In,0
04AJ,CasSyl&TreMic,Schinus_terebinthifolius,2024,May,6,8,5,Out,4
04AJ,CasSyl&TreMic,Schinus_terebinthifolius,2024,May,6,8,5,In,2
04AJ,Control,Schinus_terebinthifolius,2024,May,6,8,5,Out,1
04AJ,Control,Schinus_terebinthifolius,2024,May,6,8,5,In,0
04AJ,TreMic,Schinus_terebinthifolius,2024,May,6,8,5,Out,0
04AJ,TreMic,Schinus_terebinthifolius,2024,May,6,8,5,In,1
05PF1,AcnArb,Schinus_terebinthifolius,2024,May,7,9,5,Out,0
05PF1,AcnArb,Schinus_terebinthifolius,2024,May,7,9,5,In,3
05PF1,AcnArb&CapBac,Schinus_terebinthifolius,2024,May,7,9,5,Out,0
05PF1,AcnArb&CapBac,Schinus_terebinthifolius,2024,May,7,9,5,In,0
05PF1,AcnArb&CasSyl,Schinus_terebinthifolius,2024,May,7,9,5,Out,2
05PF1,AcnArb&CasSyl,Schinus_terebinthifolius,2024,May,7,9,5,In,0
05PF1,AcnArb&TreMic,Schinus_terebinthifolius,2024,May,7,9,5,Out,0
05PF1,AcnArb&TreMic,Schinus_terebinthifolius,2024,May,7,9,5,In,0
05PF1,All,Schinus_terebinthifolius,2024,May,7,9,5,Out,0
05PF1,All,Schinus_terebinthifolius,2024,May,7,9,5,In,3
05PF1,CapBac,Schinus_terebinthifolius,2024,May,7,9,5,Out,1
05PF1,CapBac,Schinus_terebinthifolius,2024,May,7,9,5,In,0
05PF1,CapBac&CasSyl,Schinus_terebinthifolius,2024,May,7,9,5,Out,5
05PF1,CapBac&CasSyl,Schinus_terebinthifolius,2024,May,7,9,5,In,3
05PF1,CapBac&TreMic,Schinus_terebinthifolius,2024,May,7,9,5,Out,3
05PF1,CapBac&TreMic,Schinus_terebinthifolius,2024,May,7,9,5,In,5
05PF1,CasSyl,Schinus_terebinthifolius,2024,May,7,9,5,Out,0
05PF1,CasSyl,Schinus_terebinthifolius,2024,May,7,9,5,In,0
05PF1,CasSyl&TreMic,Schinus_terebinthifolius,2024,May,7,9,5,Out,0
