label_sites,Treat.,Acnistus,Capsicum,Casearia,Trema
01JM1,AcnArb,10,0,0,0
02JM2,AcnArb,28,0,0,0
03SS,AcnArb,800,0,0,0
04AJ,AcnArb,0,0,0,0
05PF1,AcnArb,320,0,0,0
06PF2,AcnArb,345,0,0,0
07ZM,AcnArb,56,0,0,0
08NEI,AcnArb,0,0,0,0
09DITO,AcnArb,50,0,0,0
10JG,AcnArb,8,0,0,0
01JM1,AcnArb&CapBac,200,410,0,0
02JM2,AcnArb&CapBac,60,1748,0,0
03SS,AcnArb&CapBac,146,374,0,0
04AJ,AcnArb&CapBac,36,890,0,0
05PF1,AcnArb&CapBac,30,576,0,0
06PF2,AcnArb&CapBac,50,1565,0,0
07ZM,AcnArb&CapBac,30,1812,0,0
08NEI,AcnArb&CapBac,38,1608,0,0
09DITO,AcnArb&CapBac,38,128,0,0
10JG,AcnArb&CapBac,0,1020,0,0
01JM1,AcnArb&CasDec,32,0,0,0
02JM2,AcnArb&CasDec,0,0,0,0
03SS,AcnArb&CasDec,986,0,0,0
04AJ,AcnArb&CasDec,210,0,0,0
05PF1,AcnArb&CasDec,120,0,0,0
06PF2,AcnArb&CasDec,244.5,0,0,0
07ZM,AcnArb&CasDec,450,0,0,0
08NEI,AcnArb&CasDec,210,0,0,0
09DITO,AcnArb&CasDec,48,0,0,0
01JM1,AcnArb&CasSyl,40,0,0,0
02JM2,AcnArb&CasSyl,0,0,0,0
03SS,AcnArb&CasSyl,800,0,100,0
04AJ,AcnArb&CasSyl,296,0,0,0
05PF1,AcnArb&CasSyl,0,0,0,0
06PF2,AcnArb&CasSyl,133,0,0,0
07ZM,AcnArb&CasSyl,21,0,0,0
08NEI,AcnArb&CasSyl,210,0,0,0
09DITO,AcnArb&CasSyl,660,0,0,0
10JG,AcnArb&CasSyl,0,0,0,0
01JM1,AcnArb&CelIgu,290,0,0,0
02JM2,AcnArb&CelIgu,24,0,0,0
04AJ,AcnArb&CelIgu,336,0,0,0
05PF1,AcnArb&CelIgu,0,0,0,0
06PF2,AcnArb&CelIgu,1003,0,0,0
07ZM,AcnArb&CelIgu,5.4,0,0,0
08NEI,AcnArb&CelIgu,120,0,0,0
09DITO,AcnArb&CelIgu,60,0,0,0
10JG,AcnArb&CelIgu,42,0,0,0
01JM1,AcnArb&TreMic,5,0,0,0
02JM2,AcnArb&TreMic,8,0,0,40
03SS,AcnArb&TreMic,481,0,0,0
04AJ,AcnArb&TreMic,180,0,0,0
05PF1,AcnArb&TreMic,0,0,0,0
06PF2,AcnArb&TreMic,0,0,0,0
07ZM,AcnArb&TreMic,144,0,0,0
09DITO,AcnArb&TreMic,4.5,0,0,0
10JG,AcnArb&TreMic,0,0,0,75
01JM1,All,4,139,0,0
02JM2,All,24,581,0,0
03SS,All,10,268,0,0
04AJ,All,198,638,0,0
05PF1,All,0,160,2,0
06PF2,All,1,249,0,0
07ZM,All,0,301,0,0
08NEI,All,20,394,0,48
09DITO,All,0,412,0,0
10JG,All,0,229,0,0
01JM1,CapBac,0,5836,0,0
02JM2,CapBac,0,3029,0,0
03SS,CapBac,0,1266,0,0
04AJ,CapBac,0,3106,0,0
05PF1,CapBac,0,1476,0,0
06PF2,CapBac,0,1035,0,0
07ZM,CapBac,0,903,0,0
08NEI,CapBac,0,2068,0,0
09DITO,CapBac,0,3040,0,0
10JG,CapBac,0,772,0,0
01JM1,CapBac&CasDec,0,1895,0,0
02JM2,CapBac&CasDec,0,1840,0,0
03SS,CapBac&CasDec,0,524,0,0
04AJ,CapBac&CasDec,0,2514.5,0,0
05PF1,CapBac&CasDec,0,734,0,0
06PF2,CapBac&CasDec,0,1164.5,0,0
07ZM,CapBac&CasDec,0,2420,0,0
08NEI,CapBac&CasDec,0,979,0,0
09DITO,CapBac&CasDec,0,721,0,0
10JG,CapBac&CasDec,0,390,0,0
01JM1,CapBac&CasSyl,0,1216,0,0
02JM2,CapBac&CasSyl,0,2112.2,0,0
03SS,CapBac&CasSyl,0,311.8,38,0
04AJ,CapBac&CasSyl,0,1474,0,0
05PF1,CapBac&CasSyl,0,438,0,0
06PF2,CapBac&CasSyl,0,470,0,0
07ZM,CapBac&CasSyl,0,1851,0,0
08NEI,CapBac&CasSyl,0,712,16,0
09DITO,CapBac&CasSyl,0,401,0,0
10JG,CapBac&CasSyl,0,538,0,0
01JM1,CapBac&CelIgu,0,1526,0,0
02JM2,CapBac&CelIgu,0,1635,0,0
03SS,CapBac&CelIgu,0,346,0,0
04AJ,CapBac&CelIgu,0,648,0,0
05PF1,CapBac&CelIgu,0,256.7,0,0
06PF2,CapBac&CelIgu,0,1472,0,0
08NEI,CapBac&CelIgu,0,250,0,0
09DITO,CapBac&CelIgu,0,664,0,0
10JG,CapBac&CelIgu,0,903.9,0,0
01JM1,CapBac&TreMic,0,100,0,0
02JM2,CapBac&TreMic,0,2167.4,0,0
03SS,CapBac&TreMic,0,491,0,0
04AJ,CapBac&TreMic,0,1312,0,0
05PF1,CapBac&TreMic,0,1148,0,48
06PF2,CapBac&TreMic,0,869,0,0
07ZM,CapBac&TreMic,0,1092,0,0
08NEI,CapBac&TreMic,0,1076,0,0
09DITO,CapBac&TreMic,0,202,0,0
10JG,CapBac&TreMic,0,410,0,0
02JM2,CasDec,0,0,0,0
03SS,CasDec,0,0,0,0
04AJ,CasDec,0,0,0,0
05PF1,CasDec,0,0,0,0
06PF2,CasDec,0,0,0,0
08NEI,CasDec,0,0,0,0
09DITO,CasDec,0,0,0,0
10JG,CasDec,0,0,0,0
01JM1,CasDec&CasSyl,0,0,0,0
02JM2,CasDec&CasSyl,0,0,0,0
03SS,CasDec&CasSyl,0,0,0,0
04AJ,CasDec&CasSyl,0,0,0,0
05PF1,CasDec&CasSyl,0,0,0,0
06PF2,CasDec&CasSyl,0,0,4,0
07ZM,CasDec&CasSyl,0,0,60,0
08NEI,CasDec&CasSyl,0,0,0,0
09DITO,CasDec&CasSyl,0,0,0,0
10JG,CasDec&CasSyl,0,0,0,0
01JM1,CasDec&CelIgu,0,0,0,0
02JM2,CasDec&CelIgu,0,0,0,0
04AJ,CasDec&CelIgu,0,0,0,0
05PF1,CasDec&CelIgu,0,0,0,0
06PF2,CasDec&CelIgu,0,0,0,0
07ZM,CasDec&CelIgu,0,0,0,0
08NEI,CasDec&CelIgu,0,0,0,0
09DITO,CasDec&CelIgu,0,0,0,0
10JG,CasDec&CelIgu,0,0,0,0
01JM1,CasDec&TreMic,0,0,0,400
02JM2,CasDec&TreMic,0,0,0,0
03SS,CasDec&TreMic,0,0,0,0
04AJ,CasDec&TreMic,0,0,0,0
05PF1,CasDec&TreMic,0,0,0,20
06PF2,CasDec&TreMic,0,0,0,0
07ZM,CasDec&TreMic,0,0,0,0
08NEI,CasDec&TreMic,0,0,0,0
09DITO,CasDec&TreMic,0,0,0,10
01JM1,CasSyl,0,0,0,0
02JM2,CasSyl,0,0,0,0
03SS,CasSyl,0,0,0,0
04AJ,CasSyl,0,0,0,0
05PF1,CasSyl,0,0,0,0
06PF2,CasSyl,0,0,0,0
07ZM,CasSyl,0,0,0,0
08NEI,CasSyl,0,0,0,0
09DITO,CasSyl,3,0,0,0
10JG,CasSyl,0,0,0,0
02JM2,CasSyl&CelIgu,0,0,0,0
03SS,CasSyl&CelIgu,0,0,0,0
04AJ,CasSyl&CelIgu,0,0,0,0
05PF1,CasSyl&CelIgu,0,0,0,0
06PF2,CasSyl&CelIgu,0,0,0,0
07ZM,CasSyl&CelIgu,0,0,0,0
08NEI,CasSyl&CelIgu,0,0,0,0
09DITO,CasSyl&CelIgu,0,0,0,0
10JG,CasSyl&CelIgu,0,0,0,0
01JM1,CasSyl&TreMic,0,0,0,0
02JM2,CasSyl&TreMic,0,0,0,40
03SS,CasSyl&TreMic,0,0,0,0
04AJ,CasSyl&TreMic,0,0,0,0
05PF1,CasSyl&TreMic,0,0,0,0
06PF2,CasSyl&TreMic,0,0,0,0
07ZM,CasSyl&TreMic,0,0,0,0
08NEI,CasSyl&TreMic,0,0,0,0
09DITO,CasSyl&TreMic,0,0,0,22
10JG,CasSyl&TreMic,0,0,0,0
01JM1,CelIgu,0,0,0,0
02JM2,CelIgu,0,0,0,0
03SS,CelIgu,0,0,0,0
04AJ,CelIgu,0,0,0,0
05PF1,CelIgu,0,0,0,0
06PF2,CelIgu,0,0,0,0
07ZM,CelIgu,0,0,0,0
08NEI,CelIgu,0,0,0,0
09DITO,CelIgu,0,0,0,0
10JG,CelIgu,0,0,0,0
01JM1,CelIgu&TreMic,0,0,0,0
02JM2,CelIgu&TreMic,0,0,0,9
03SS,CelIgu&TreMic,0,0,0,0
04AJ,CelIgu&TreMic,0,0,0,0
05PF1,CelIgu&TreMic,0,0,0,0
06PF2,CelIgu&TreMic,0,0,0,0
07ZM,CelIgu&TreMic,0,0,0,18
08NEI,CelIgu&TreMic,0,0,0,0
09DITO,CelIgu&TreMic,0,0,0,53
10JG,CelIgu&TreMic,0,0,0,6
01JM1,Control,0,0,0,0
02JM2,Control,0,0,0,0
03SS,Control,0,0,0,0
04AJ,Control,0,0,0,0
05PF1,Control,0,0,0,0
07ZM,Control,0,0,0,0
08NEI,Control,0,0,0,0
09DITO,Control,0,0,0,0
10JG,Control,0,0,0,0
01JM1,TreMic,0,0,0,0
02JM2,TreMic,0,0,0,0
03SS,TreMic,0,0,0,0
04AJ,TreMic,0,0,0,0
05PF1,TreMic,0,0,0,70
06PF2,TreMic,0,0,0,0
07ZM,TreMic,0,0,0,0
08NEI,TreMic,0,0,0,0
09DITO,TreMic,0,0,0,0
10JG,TreMic,0,0,0,0
