Road_name,speed_limit,car,distance,angle,wind speed_mph,block
Atherton_1,35,yes,1,7,0.7,site1
Atherton_1,35,yes,1,90,0.6,site1
Atherton_1,35,yes,9,3,0.6,site1
Atherton_1,35,yes,1.7,60,,site1
Atherton_1,35,yes,3,85,,site1
Atherton_1,35,yes,2.2,5,,site1
Atherton_1,35,yes,1.7,24,,site1
Atherton_1,35,yes,3.2,78,,site1
Atherton_1,35,yes,1.9,25,,site1
Atherton_1,35,yes,1.7,85,,site1
Atherton_1,35,no,4,23,0.4,site1
Atherton_1,35,no,20,39,0.2,site1
Atherton_1,35,no,1.5,45,0.3,site1
Atherton_1,35,no,5,28,,site1
Atherton_1,35,no,1.1,18,,site1
Atherton_1,35,no,2.2,21,,site1
Atherton_1,35,no,3.4,2,,site1
Atherton_1,35,no,1.25,20,,site1
Atherton_1,35,no,15.4,58,,site1
Atherton_1,35,no,3.8,36,,site1
Atherton_1,35,Control,1.2,42,1.4,site1
Atherton_1,35,Control,4.4,25,1.2,site1
Atherton_1,35,Control,0.4,43,1.5,site1
Atherton_1,35,Control,1,32,,site1
Atherton_1,35,Control,4.3,83,,site1
Atherton_1,35,Control,1.3,28,,site1
Atherton_1,35,Control,1.9,27,,site1
Atherton_1,35,Control,11.2,54,,site1
Atherton_1,35,Control,0.2,45,,site1
Atherton_1,35,Control,1.3,2,,site1
Park_2,35,yes,2.7,50,4.9214,site10
Park_2,35,yes,1.5,1,3.8029,site10
Park_2,35,yes,5,15,4.0266,site10
Park_2,35,yes,4.4,35,,site10
Park_2,35,yes,15,20,,site10
Park_2,35,yes,4.1,5,,site10
Park_2,35,yes,2,45,,site10
Park_2,35,yes,2.3,45,,site10
Park_2,35,yes,0.45,15,,site10
Park_2,35,yes,3.3,50,,site10
Park_2,35,no,6.8,30,3.1318,site10
Park_2,35,no,1.9,0,2.9081,site10
Park_2,35,no,1.7,1,3.1318,site10
Park_2,35,no,4,20,,site10
Park_2,35,no,2.8,15,,site10
Park_2,35,no,20,20,,site10
Park_2,35,no,1.3,90,,site10
Park_2,35,no,2.5,60,,site10
Park_2,35,no,2.6,30,,site10
Park_2,35,no,2,45,,site10
Park_2,35,Control,0.17,85,2.0133,site10
Park_2,35,Control,1,80,2.237,site10
Park_2,35,Control,2.4,90,2.4607,site10
Park_2,35,Control,2.6,89,,site10
Park_2,35,Control,0.76,75,,site10
Park_2,35,Control,2.5,60,,site10
Park_2,35,Control,0.46,60,,site10
Park_2,35,Control,1.5,70,,site10
Park_2,35,Control,1.4,85,,site10
