patch_size,distance_m,Plot_id,land_management,seedlings
small,10,small1,plowed,0
small,10,small1,unplowed,7
small,1,small1,plowed,24
small,1,small1,unplowed,20
small,10,small2,plowed,0
small,10,small2,unplowed,0
small,1,small2,plowed,0
small,1,small2,unplowed,25
small,10,small3,plowed,0
small,10,small3,unplowed,2
small,1,small3,plowed,1
small,1,small3,unplowed,7
large,10,large1,plowed,1
large,10,large1,unplowed,2
large,1,large1,plowed,4
large,1,large1,unplowed,0
large,10,large2,plowed,0
large,10,large2,unplowed,1
large,1,large2,plowed,4
large,1,large2,unplowed,6
large,10,large3,plowed,0
large,10,large3,unplowed,17
large,1,large3,plowed,2
large,1,large3,unplowed,4
