distance,size,Sample.Label,Region.Label,Effort,Area
17,1,Allen,Campus,322,800000
11,5,Allen,Campus,322,800000
57,1,Allen,Campus,322,800000
7,1,Burrows,Campus,966,800000
40,1,Burrows,Campus,966,800000
45,1,Burrows,Campus,966,800000
6,1,Burrows,Campus,966,800000
16,1,Burrows,Campus,966,800000
1,1,Burrows,Campus,966,800000
22,1,Burrows,Campus,966,800000
13,1,Holmes,Campus,1000,800000
9,1,Holmes,Campus,1000,800000
10,1,Holmes,Campus,1000,800000
4,1,Holmes,Campus,1000,800000
12,1,Holmes,Campus,1000,800000
25,1,Holmes,Campus,1000,800000
9,3,Holmes,Campus,1000,800000
9,1,Holmes,Campus,1000,800000
16,1,Holmes,Campus,1000,800000
22,1,Holmes,Campus,1000,800000
13,1,Holmes,Campus,1000,800000
12,2,Holmes,Campus,1000,800000
12,3,Holmes,Campus,1000,800000
2,1,Holmes,Campus,1000,800000
9,1,Holmes,Campus,1000,800000
0,1,McKee,Campus,1135,800000
9,2,McKee,Campus,1135,800000
34,1,McKee,Campus,1135,800000
2,1,McKee,Campus,1135,800000
5,3,McKee,Campus,1135,800000
17,1,McKee,Campus,1135,800000
9,3,McKee,Campus,1135,800000
7,3,Pattee,Campus,490,800000
1,2,Pattee,Campus,490,800000
13,1,Pattee,Campus,490,800000
0,1,Pattee,Campus,490,800000
3,2,Pattee,Campus,490,800000
19,1,Pattee,Campus,490,800000
30,1,Pattee,Campus,490,800000
14,1,Pattee,Campus,490,800000
7,1,Pattee,Campus,490,800000
11,1,Pattee,Campus,490,800000
23,1,Pattee,Campus,490,800000
53,1,Pattee,Campus,490,800000
55,1,Pattee,Campus,490,800000
37,1,Pattee,Campus,490,800000
3,1,Pattee,Campus,490,800000
35,1,Pattee,Campus,490,800000
22,2,Shortlidge,Campus,1000,800000
14,1,Shortlidge,Campus,1000,800000
7,1,Shortlidge,Campus,1000,800000
25,3,Shortlidge,Campus,1000,800000
9,1,Shortlidge,Campus,1000,800000
7,1,Shortlidge,Campus,1000,800000
5,2,Shortlidge,Campus,1000,800000
8,4,Shortlidge,Campus,1000,800000
8,2,Shortlidge,Campus,1000,800000
35,1,Adams,Residential,500,230000
16,1,Adams,Residential,500,230000
20,1,Adams,Residential,500,230000
10,2,Adams,Residential,500,230000
16,1,Allen,Residential,230,230000
9,2,Allen,Residential,230,230000
12,1,Allen,Residential,230,230000
1,2,Allen,Residential,230,230000
15,1,Allen,Residential,230,230000
4,1,Holmes,Residential,645,230000
21,1,Holmes,Residential,645,230000
9,1,Holmes,Residential,645,230000
19,1,Holmes,Residential,645,230000
3,1,Holmes,Residential,645,230000
14,1,Jackson,Residential,250,230000
31,1,Jackson,Residential,250,230000
10,1,Jackson,Residential,250,230000
12,1,Jackson,Residential,250,230000
4,1,Jackson,Residential,250,230000
22,1,McKee,Residential,483,230000
42,1,McKee,Residential,483,230000
27,1,McKee,Residential,483,230000
3,1,McKee,Residential,483,230000
24,1,McKee,Residential,483,230000
1,1,McKee,Residential,483,230000
27,1,Thomas,Residential,500,230000
16,1,Thomas,Residential,500,230000
0,1,Thomas,Residential,500,230000
36,1,Thomas,Residential,500,230000
13,1,Thomas,Residential,500,230000
32,1,Thomas,Residential,500,230000
18,1,Thomas,Residential,500,230000
40,1,Thomas,Residential,500,230000
10,1,Thomas,Residential,500,230000
