ID,Location,Behavior,Distance
1,Library,Searching,2
2,Library,Eating,2.65
3,Library,Eating/Searching,3.7
4,Library,Eating,9.24
5,Library,Resting,1.4
6,Library,Resting/Searching,5.1
7,Library,Resting,3.6
8,Library,Resting,2.15
9,Library,Searching,1.45
10,Library,Digging/Eating,3.7
11,HUB,Digging,2.3
12,HUB,Searching,1.8
13,HUB,Searching,1.65
14,HUB,Digging/Eating,3.7
15,HUB,Eating,3.3
16,HUB,Digging,0.9
17,HUB,Searching,1.3
18,HUB,Searching/Resting,4.6
19,HUB,Seraching,1.7
20,HUB,Eating,5.4
21,HUB,Resting,4.6
22,HUB,Digging/Eating,4.2
23,Tennis,Searching/Digging,2.8
24,Tennis,Digging,3.1
25,Tennis,Eating,2.6
26,Tennis,Eating,4.6
27,Tennis,Eating,2.2
28,Tennis,Eating,3.1
29,Tennis,Searching/Resting,5.1
30,Tennis,Resting,1.4
31,Tennis,Searching,11.6
