Plant_sp,Plant_den,Height_of_display,block,visits.all,insect_species,visits
goldenrod,high,short,A,0,bumblebee,0
goldenrod,high,short,A,0,honeybee,0
goldenrod,high,tall,A,25,bumblebee,15
goldenrod,high,tall,A,25,honeybee,8
goldenrod,low,short,A,0,bumblebee,0
goldenrod,low,short,A,0,honeybee,0
goldenrod,low,tall,A,4,bumblebee,4
goldenrod,low,tall,A,4,honeybee,0
mixed,high,short,A,0,bumblebee,0
mixed,high,short,A,0,honeybee,0
mixed,high,tall,A,13,bumblebee,11
mixed,high,tall,A,13,honeybee,2
mixed,low,short,A,0,bumblebee,0
mixed,low,short,A,0,honeybee,0
mixed,low,tall,A,5,bumblebee,2
mixed,low,tall,A,5,honeybee,3
thistle,high,short,A,0,bumblebee,0
thistle,high,short,A,0,honeybee,0
thistle,high,tall,A,8,bumblebee,7
thistle,high,tall,A,8,honeybee,1
thistle,low,short,A,0,bumblebee,0
thistle,low,short,A,0,honeybee,0
thistle,low,tall,A,1,bumblebee,1
thistle,low,tall,A,1,honeybee,0
goldenrod,high,short,B,0,bumblebee,0
goldenrod,high,short,B,0,honeybee,0
goldenrod,high,tall,B,9,bumblebee,6
goldenrod,high,tall,B,9,honeybee,2
goldenrod,low,short,B,0,bumblebee,0
goldenrod,low,short,B,0,honeybee,0
goldenrod,low,tall,B,8,bumblebee,2
goldenrod,low,tall,B,8,honeybee,5
mixed,high,short,B,0,bumblebee,0
mixed,high,short,B,0,honeybee,0
mixed,high,tall,B,16,bumblebee,9
mixed,high,tall,B,16,honeybee,6
mixed,low,short,B,0,bumblebee,0
mixed,low,short,B,0,honeybee,0
mixed,low,tall,B,6,bumblebee,2
mixed,low,tall,B,6,honeybee,4
thistle,high,short,B,0,bumblebee,0
thistle,high,short,B,0,honeybee,0
thistle,high,tall,B,10,bumblebee,7
thistle,high,tall,B,10,honeybee,1
thistle,low,short,B,0,bumblebee,0
thistle,low,short,B,0,honeybee,0
thistle,low,tall,B,4,bumblebee,3
thistle,low,tall,B,4,honeybee,1
goldenrod,high,short,C,30,bumblebee,5
goldenrod,high,short,C,30,honeybee,20
goldenrod,high,tall,C,0,bumblebee,0
goldenrod,high,tall,C,0,honeybee,0
goldenrod,low,short,C,21,bumblebee,3
goldenrod,low,short,C,21,honeybee,18
goldenrod,low,tall,C,0,bumblebee,0
goldenrod,low,tall,C,0,honeybee,0
mixed,high,short,C,22,bumblebee,6
mixed,high,short,C,22,honeybee,14
mixed,high,tall,C,1,bumblebee,0
mixed,high,tall,C,1,honeybee,1
mixed,low,short,C,20,bumblebee,8
mixed,low,short,C,20,honeybee,12
mixed,low,tall,C,2,bumblebee,1
mixed,low,tall,C,2,honeybee,1
thistle,high,short,C,14,bumblebee,12
thistle,high,short,C,14,honeybee,1
thistle,high,tall,C,0,bumblebee,0
thistle,high,tall,C,0,honeybee,0
thistle,low,short,C,6,bumblebee,5
thistle,low,short,C,6,honeybee,1
thistle,low,tall,C,1,bumblebee,0
thistle,low,tall,C,1,honeybee,1
goldenrod,high,short,D,8,bumblebee,1
goldenrod,high,short,D,8,honeybee,7
goldenrod,high,tall,D,0,bumblebee,0
goldenrod,high,tall,D,0,honeybee,0
goldenrod,low,short,D,7,bumblebee,0
goldenrod,low,short,D,7,honeybee,6
goldenrod,low,tall,D,0,bumblebee,0
goldenrod,low,tall,D,0,honeybee,0
mixed,high,short,D,8,bumblebee,2
mixed,high,short,D,8,honeybee,6
mixed,high,tall,D,0,bumblebee,0
