Forest_stand,habitat,avg.DBH,spp_richness
OG1,mature,349.5018875,4
OG2,mature,621.8384706,4
OG3,mature,415.4752775,5
OG4,mature,163.36268,7
OG5,mature,191.8333394,8
OG6,mature,245.3806189,7
OG7,mature,187.0227797,6
OG8,mature,377.5143983,3
OG9,mature,92.90130429,7
SG1,successional,91.8915075,8
SG2,successional,120.1658175,6
SG3,successional,136.0701169,4
SG4,successional,16.4933475,6
SG5,successional,42.411465,4
SG6,successional,16.4933475,4
SG7,successional,40.64432063,4
SG8,successional,68.91863063,4
SG9,successional,120.1658175,3
