site,plot,richness,density,diversity
low.south,A1,5,46,1.1141779808
low.south,A2,4,30,1.235741487
low.south,A3,5,79,1.1984523054
low.south,A4,6,28,1.5691529462
low.south,A5,6,24,1.6386037214
low.south,A6,8,26,1.7434967971
low.south,A7,6,18,1.5999714209
low.south,A8,3,16,0.6019239717
low.south,A9,5,75,1.0328224318
low.south,A10,4,163,0.5135457748
low.south,A11,6,48,1.052961912
low.south,A12,4,49,1.0774259763
low.south,A13,5,77,1.0327118166
low.south,A14,7,58,1.3548645366
low.south,A15,5,37,1.4930427673
low.south,A16,4,12,1.3296613489
low.south,A17,6,37,1.5223007074
high.south,B1,7,32,1.7616544737
high.south,B2,4,20,0.9989315046
high.south,B3,4,14,1.2914167691
high.south,B4,5,39,1.151760192
high.south,B5,6,29,1.5795978447
high.south,B6,4,46,0.8878701628
high.south,B7,4,24,1.3169951846
high.south,B8,5,40,1.4653362574
high.south,B9,4,45,1.2809687975
high.south,B10,4,35,1.1833105282
high.south,B11,5,30,1.4019454594
high.south,B12,7,22,1.5795351987
high.south,B13,6,22,1.3068441024
high.south,B14,7,22,1.7047480922
high.south,B15,7,21,1.7533075547
high.south,B16,6,59,1.6429180723
high.south,B17,9,25,1.8864291179
high.north,C1,5,43,1.013827276
high.north,C2,4,41,0.6964375376
high.north,C3,7,47,1.5594436881
high.north,C4,4,62,0.8255827031
high.north,C5,5,42,1.3528073225
high.north,C6,5,45,1.1604538821
high.north,C7,3,36,0.6089338553
high.north,C8,4,36,0.6784341919
high.north,C9,4,88,1.0956576883
high.north,C10,7,89,1.2754719216
high.north,C11,2,34,0.1326914208
high.north,C12,3,42,0.7859251691
high.north,C13,5,29,1.0855148205
high.north,C14,4,55,0.7604578665
high.north,C15,4,35,0.8273606036
high.north,C16,7,46,1.586282156
high.north,C17,6,36,1.256423936
